time_jst,address,kind,coin,side,usd,entry_px
2026-07-03 22:34,0xc30c7ea910a71ce06ae840868b0c7e47616ba4c9,OPEN,ETH,S,207644,1737.83
2026-07-03 22:34,0x1523a34418baf92316cab7e9bcb722487bb7fb6c,OPEN,BTC,S,551289,59923.3
2026-07-03 22:34,0x1523a34418baf92316cab7e9bcb722487bb7fb6c,OPEN,ETH,S,559715,1618.4
2026-07-03 22:34,0x408d807d1dbb778f59a9c088e56d4c27bdd362ac,OPEN,BTC,S,2482960,61918.0
2026-07-03 22:34,0xeff7fe671d9a7acf86f48994bc5d5161042415b6,OPEN,BTC,L,434518,61832.5
2026-07-04 01:23,0x51651b81c895e654e5402a3fc371e3b60b0dfb1e,OPEN,BTC,L,149900,62140.9
2026-07-04 08:01,0xc30c7ea910a71ce06ae840868b0c7e47616ba4c9,CLOSE,ETH,S,229664,1731.8
2026-07-04 13:55,0xfc37faf026597474691dca71ed9dcae1a6633b84,OPEN,BTC,L,681748,62560.0
2026-07-04 13:55,0xfc37faf026597474691dca71ed9dcae1a6633b84,OPEN,HYPE,L,255328,70.6944
2026-07-04 21:37,0xc30c7ea910a71ce06ae840868b0c7e47616ba4c9,CLOSE,BTC,S,730676,62626.0
2026-07-04 21:37,0x408d807d1dbb778f59a9c088e56d4c27bdd362ac,OPEN,ETH,S,200597,1758.3
2026-07-04 21:37,0x408d807d1dbb778f59a9c088e56d4c27bdd362ac,OPEN,SOL,S,101184,81.7491
2026-07-04 23:46,0xc30c7ea910a71ce06ae840868b0c7e47616ba4c9,OPEN,BTC,S,465851,62662.7
2026-07-04 23:46,0xc30c7ea910a71ce06ae840868b0c7e47616ba4c9,OPEN,ETH,S,310853,1770.9
