date,week,action,code,name,reason
2026-07-16,2026-W29,add,MAAS,Maase Inc.,値上がり率4位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,MANE,"Veradermics, Incorporated",値上がり率6位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,MNSO,MINISO Group Holding Limited,値上がり率7位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,ERAS,"Erasca, Inc.",値上がり率8位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,RH,RH,値上がり率9位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,MESO,Mesoblast Limited,値上がり率10位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,COMP,"Compass, Inc.",値上がり率11位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,SAH,"Sonic Automotive, Inc.",値上がり率12位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,BILL,"BILL Holdings, Inc.",値上がり率13位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,AEO,"American Eagle Outfitters, Inc.",値上がり率14位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,CWK,Cushman & Wakefield Ltd.,値上がり率15位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,MD,"Pediatrix Medical Group, Inc.",値上がり率16位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,MBX,"MBX Biosciences, Inc.",値上がり率17位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,HTFL,"Heartflow, Inc.",値上がり率18位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,ADPT,Adaptive Biotechnologies Corpor,値上がり率19位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,FLYW,Flywire Corporation - Voting,値上がり率20位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,GPI,"Group 1 Automotive, Inc.",値上がり率21位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,ROAD,"Construction Partners, Inc.",値上がり率22位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,YMM,Full Truck Alliance Co. Ltd.,値上がり率24位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,IMOS,ChipMOS TECHNOLOGIES INC.,値上がり率25位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,KRMN,Karman Holdings Inc.,値上がり率26位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,Z,"Zillow Group, Inc.",値上がり率27位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,RELY,"Remitly Global, Inc.",値上がり率29位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,ZG,"Zillow Group, Inc.",値上がり率30位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,IREN,IREN LIMITED,取引高上位28位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-16,2026-W29,add,SMG,Scotts Miracle-Gro Company (The,値上がり率30位 にランクイン(ユニバース外の話題株として新規採用)
