code,name,bucket,sector,group,surge_ratio,zscore,recent_turnover_usd,baseline_median_usd,share_recent_pct,share_base_pct,share_delta_pp,last_close,pct_window
Q,Qnity Electronics,core,Semiconductor Materials & Equipment,半導体,3.773,1.78,54750072,14510118,0.075,0.053,+0.022,133.4,+4.02
VRSN,Verisign,core,Internet Services & Infrastructure,情報技術,3.770,1.61,36240765,9611891,0.049,0.034,+0.016,292.6,+4.25
NDAQ,"Nasdaq, Inc.",core,Financial Exchanges & Data,金融,3.770,2.17,47741038,12663788,0.065,0.043,+0.022,94.7,+0.97
TKO,TKO Group Holdings,core,Movies & Entertainment,コミュニケーション・サービス,3.747,1.40,35975401,9600235,0.049,0.037,+0.013,187.2,+1.27
FRVO,Fervo Energy Company,hot,,不明,3.742,1.31,10725405,2866227,0.015,0.011,+0.003,23.0,-3.22
CFG,Citizens Financial Group,core,Regional Banks,金融,3.729,2.46,40833034,10950754,0.056,0.035,+0.021,72.4,+1.38
CEG,Constellation Energy,leader,Electric Utilities,公益事業,3.727,2.61,141351098,37930072,0.193,0.123,+0.070,261.2,-0.36
GIS,General Mills,core,Packaged Foods & Meats,生活必需品,3.722,3.57,55450945,14899900,0.076,0.045,+0.031,36.1,-3.36
MMED,"MiniMed Group, Inc.",hot,,不明,3.721,1.31,3107422,835200,0.004,0.003,+0.001,18.4,+2.68
ULTA,Ulta Beauty,core,Other Specialty Retail,一般消費財,3.719,1.93,47636402,12808110,0.065,0.043,+0.022,538.8,+10.26
MMYT,MakeMyTrip Limited,hot,,不明,3.719,2.22,11276146,3031939,0.015,0.010,+0.005,60.0,+13.96
SAH,"Sonic Automotive, Inc.",hot,,不明,3.707,2.17,6753740,1822130,0.009,0.006,+0.003,85.0,-18.53
MRNA,Moderna,core,Biotechnology,ヘルスケア,3.706,1.92,49085547,13244061,0.067,0.048,+0.019,53.8,-1.91
KEYS,Keysight Technologies,core,Electronic Equipment & Instruments,情報技術,3.705,2.35,64769598,17479450,0.088,0.055,+0.033,336.9,+9.90
CBOE,Cboe Global Markets,core,Financial Exchanges & Data,金融,3.697,2.00,63812025,17261117,0.087,0.058,+0.029,288.7,-0.33
W,Wayfair Inc.,hot,,不明,3.692,0.72,77776497,21065786,0.106,0.095,+0.012,104.1,+7.82
C,Citigroup,core,Diversified Banks,金融,3.684,4.05,236299733,64139224,0.323,0.184,+0.139,133.8,+1.28
ERAS,"Erasca, Inc.",hot,,不明,3.681,2.34,11413937,3100544,0.016,0.010,+0.006,18.3,-0.44
BKNG,Booking Holdings,leader,"Hotels, Resorts & Cruise Lines",一般消費財,3.677,1.97,239335218,65091696,0.327,0.224,+0.102,207.4,+8.57
STLD,Steel Dynamics,core,Steel,素材,3.655,2.48,48923475,13384727,0.067,0.044,+0.023,261.4,+4.28
FER,Ferrovial N.V. Ordinary Shares,leader,,不明,3.655,1.00,18417108,5039378,0.025,0.021,+0.004,65.4,+5.19
LMND,"Lemonade, Inc.",hot,,不明,3.654,0.83,18026656,4933776,0.025,0.022,+0.003,51.8,-14.37
BRO,Brown & Brown,core,Insurance Brokers,金融,3.647,1.53,30751424,8433013,0.042,0.032,+0.010,71.2,+2.15
FDS,FactSet,core,Financial Exchanges & Data,金融,3.643,1.30,34248279,9400260,0.047,0.039,+0.008,274.6,+1.06
UHS,Universal Health Services,core,Health Care Facilities,ヘルスケア,3.631,1.46,28904273,7959891,0.039,0.029,+0.011,169.8,+12.29
AME,Ametek,core,Electrical Components & Equipment,資本財,3.617,1.63,52215330,14435104,0.071,0.052,+0.019,251.4,+4.07
YSS,York Space Systems Inc.,hot,,不明,3.610,1.79,7819609,2166387,0.011,0.007,+0.003,10.9,-38.90
GWW,W. W. Grainger,core,Industrial Machinery & Supplies & Components,資本財,3.599,2.14,77539422,21546550,0.106,0.072,+0.033,1282.4,-8.35
CNP,CenterPoint Energy,core,Multi-Utilities,公益事業,3.569,2.45,51336344,14384078,0.070,0.046,+0.024,40.7,-8.34
DE,Deere & Company,core,Agricultural & Farm Machinery,資本財,3.563,1.56,103397008,29016922,0.141,0.102,+0.039,614.9,-2.58
UNH,UnitedHealth Group,core,Managed Health Care,ヘルスケア,3.547,2.32,306888024,86511040,0.419,0.280,+0.139,404.0,-3.66
KMB,Kimberly-Clark,core,Household Products,生活必需品,3.545,1.54,80147133,22606938,0.109,0.084,+0.026,108.7,-4.20
IT,Gartner,core,IT Consulting & Other Services,情報技術,3.543,1.62,54374800,15347140,0.074,0.053,+0.022,184.8,+21.51
DHI,D. R. Horton,core,Homebuilding,一般消費財,3.542,2.36,49679094,14024283,0.068,0.045,+0.023,146.0,-2.59
SOUN,"SoundHound AI, Inc.",hot,,不明,3.541,1.14,44942498,12691846,0.061,0.045,+0.017,7.1,+12.98
PYPL,PayPal,leader,Transaction & Payment Processing Services,金融,3.538,1.53,102309035,28914770,0.140,0.104,+0.035,59.8,+5.03
TGT,Target Corporation,core,Consumer Staples Merchandise Retail,生活必需品,3.536,2.15,74810381,21154516,0.102,0.071,+0.031,147.1,+3.94
CDNS,Cadence Design Systems,leader,Application Software,情報技術,3.531,1.39,114273852,32366689,0.156,0.122,+0.034,338.3,-0.25
NSC,Norfolk Southern,core,Rail Transportation,資本財,3.528,1.67,41348783,11720087,0.056,0.041,+0.016,342.4,-0.58
BEN,Franklin Resources,core,Asset Management & Custody Banks,金融,3.520,2.03,30335326,8617166,0.041,0.030,+0.012,34.0,+3.17
RVTY,Revvity,core,Health Care Equipment,ヘルスケア,3.513,1.61,35590963,10130722,0.049,0.034,+0.014,114.3,+4.67
CTVA,Corteva,core,Fertilizers & Agricultural Chemicals,素材,3.512,1.83,82260450,23420929,0.112,0.083,+0.030,76.9,-13.20
DAL,Delta Air Lines,core,Passenger Airlines,資本財,3.510,2.18,78625299,22400975,0.107,0.077,+0.030,92.0,+5.96
LOW,Lowe's,core,Home Improvement Retail,一般消費財,3.502,1.76,78540053,22424017,0.107,0.080,+0.027,218.5,+1.02
ZBRA,Zebra Technologies,core,Electronic Equipment & Instruments,情報技術,3.498,1.50,64951770,18568914,0.089,0.068,+0.021,364.0,+37.28
KMI,Kinder Morgan,core,Oil & Gas Storage & Transportation,エネルギー,3.490,2.36,43048385,12335488,0.059,0.041,+0.018,31.3,-1.57
NDSN,Nordson Corporation,core,Industrial Machinery & Supplies & Components,資本財,3.485,2.31,12613564,3619494,0.017,0.012,+0.005,309.0,+3.90
USB,U.S. Bancorp,core,Diversified Banks,金融,3.473,1.81,66316244,19092378,0.091,0.063,+0.027,63.8,+0.16
SWK,Stanley Black & Decker,core,Industrial Machinery & Supplies & Components,資本財,3.472,2.35,39398807,11348796,0.054,0.036,+0.018,101.0,+6.97
PLD,Prologis,core,Industrial REITs,不動産,3.461,0.73,100481374,29030900,0.137,0.135,+0.003,139.1,-5.09
STZ,Constellation Brands,core,Distillers & Vintners,生活必需品,3.444,1.83,35472019,10298444,0.048,0.035,+0.013,132.5,+0.76
NTRS,Northern Trust,core,Asset Management & Custody Banks,金融,3.442,2.38,27675988,8040145,0.038,0.026,+0.012,184.1,+1.21
UDR,"UDR, Inc.",core,Multi-Family Residential REITs,不動産,3.437,1.68,23745400,6909012,0.032,0.024,+0.009,38.2,-1.23
EXPD,Expeditors International,core,Air Freight & Logistics,資本財,3.436,1.30,33654212,9795936,0.046,0.037,+0.009,178.6,+4.61
IP,International Paper,core,Paper & Plastic Packaging Products & Materials,素材,3.435,1.46,32735994,9529936,0.045,0.035,+0.010,40.5,-7.30
MA,Mastercard,core,Transaction & Payment Processing Services,金融,3.434,2.11,310202624,90329897,0.424,0.297,+0.127,576.0,+2.43
EFX,Equifax,core,Research & Consulting Services,資本財,3.433,1.76,34899422,10167288,0.048,0.035,+0.013,175.8,-2.27
YMM,Full Truck Alliance Co. Ltd.,hot,,不明,3.430,1.20,8876184,2588150,0.012,0.010,+0.002,9.5,+3.65
WST,West Pharmaceutical Services,core,Health Care Supplies,ヘルスケア,3.423,1.96,33373919,9749716,0.046,0.032,+0.014,348.2,+3.96
DGX,Quest Diagnostics,core,Health Care Services,ヘルスケア,3.407,1.58,31683745,9300557,0.043,0.032,+0.011,238.5,+1.46
NEM,Newmont,core,Gold,素材,3.406,2.39,106677956,31323921,0.146,0.100,+0.045,105.4,+14.91
ACGL,Arch Capital Group,core,Property & Casualty Insurance,金融,3.405,1.42,25622172,7525150,0.035,0.028,+0.007,99.3,-5.65
EMR,Emerson Electric,core,Electrical Components & Equipment,資本財,3.396,2.01,83620925,24626343,0.114,0.081,+0.033,156.9,+5.55
PEG,Public Service Enterprise Group,core,Electric Utilities,公益事業,3.385,1.64,34306462,10134488,0.047,0.035,+0.012,75.0,-5.67
CHRN,ChronoScale Holdings Corporatio,hot,,不明,3.384,1.57,653804,193224,0.001,0.001,+0.000,20.1,-1.38
