code,name,bucket,sector,group,surge_ratio,zscore,recent_turnover_usd,baseline_median_usd,share_recent_pct,share_base_pct,share_delta_pp,last_close,pct_window
BFLY,"Butterfly Network, Inc.",hot,,不明,2.947,1.57,10539947,3576549,0.014,0.011,+0.003,8.3,+18.18
VRTX,Vertex Pharmaceuticals,leader,Biotechnology,ヘルスケア,2.946,1.47,77222562,26212961,0.105,0.088,+0.017,484.2,-0.01
LNT,Alliant Energy,core,Electric Utilities,公益事業,2.938,1.58,26384138,8980270,0.036,0.029,+0.007,69.5,-6.71
SW,Smurfit Westrock,core,Paper & Plastic Packaging Products & Materials,素材,2.932,1.30,32244808,10996944,0.044,0.039,+0.005,46.9,-7.74
JPM,JPMorgan Chase,core,Diversified Banks,金融,2.920,1.45,272598523,93361653,0.372,0.331,+0.042,356.3,-0.59
DNTH,"Dianthus Therapeutics, Inc.",hot,,不明,2.915,1.44,11696886,4012010,0.016,0.014,+0.002,109.9,+9.90
FCX,Freeport-McMoRan,core,Copper,素材,2.912,1.83,124855431,42872681,0.170,0.138,+0.032,68.2,+12.38
RHI,Robert Half Inc.,hot,,不明,2.910,0.80,11091224,3811123,0.015,0.014,+0.001,40.7,+2.26
ROP,Roper Technologies,leader,Electronic Equipment & Instruments,情報技術,2.899,1.40,43835680,15123258,0.060,0.052,+0.008,397.3,+2.26
PFG,Principal Financial Group,core,Life & Health Insurance,金融,2.898,1.11,19175315,6617359,0.026,0.024,+0.002,115.4,+4.86
ON,ON Semiconductor,core,Semiconductors,半導体,2.885,1.17,132581146,45951922,0.181,0.161,+0.020,78.3,-9.55
CHTR,Charter Communications,core,Cable & Satellite,コミュニケーション・サービス,2.881,1.63,61679209,21407890,0.084,0.070,+0.015,157.5,+17.95
CMI,Cummins,core,Construction Machinery & Heavy Transportation Equipment,資本財,2.880,1.72,121991361,42353953,0.167,0.129,+0.037,643.6,-0.09
FTNT,Fortinet,leader,Systems Software,情報技術,2.875,0.96,125954650,43811126,0.172,0.160,+0.012,160.1,+6.07
EROC,"ERock, Inc.",hot,,不明,2.874,0.68,2281172,793744,0.003,0.003,+0.000,10.4,+0.82
PSN,Parsons Corporation,hot,,不明,2.872,0.43,16736346,5827310,0.023,0.027,-0.004,47.9,-20.56
DPZ,Domino's,core,Restaurants,一般消費財,2.866,1.24,39897514,13919422,0.054,0.049,+0.006,358.3,+1.57
MAS,Masco,core,Building Products,資本財,2.862,0.79,35802847,12509734,0.049,0.048,+0.001,75.5,-8.80
MANE,"Veradermics, Incorporated",hot,,不明,2.861,0.49,12430642,4345437,0.017,0.020,-0.003,108.6,-3.69
MCO,Moody's Corporation,core,Financial Exchanges & Data,金融,2.860,1.87,50629208,17701478,0.069,0.055,+0.014,473.1,-2.05
RCL,Royal Caribbean Group,core,"Hotels, Resorts & Cruise Lines",一般消費財,2.854,1.25,84589298,29638340,0.115,0.103,+0.012,320.6,+8.71
HUBB,Hubbell Incorporated,core,Industrial Machinery & Supplies & Components,資本財,2.846,0.95,47920663,16839965,0.065,0.062,+0.003,507.7,+8.63
BXP,"BXP, Inc.",core,Office REITs,不動産,2.830,0.61,12254193,4330590,0.017,0.019,-0.002,68.8,-1.04
PGR,Progressive Corporation,core,Property & Casualty Insurance,金融,2.821,1.56,56323137,19967643,0.077,0.065,+0.012,215.4,-0.97
BAC,Bank of America,core,Diversified Banks,金融,2.811,2.00,222906508,79293508,0.304,0.251,+0.053,63.0,+1.41
LIND,Lindblad Expeditions Holdings I,hot,,不明,2.801,0.74,3652917,1304014,0.005,0.005,-0.000,34.0,+20.49
VTR,Ventas,core,Health Care REITs,不動産,2.792,1.07,39108619,14007052,0.053,0.048,+0.005,92.3,-8.65
BKR,Baker Hughes,leader,Oil & Gas Equipment & Services,エネルギー,2.792,1.03,54369000,19473714,0.074,0.070,+0.005,62.8,+3.65
AOS,A. O. Smith,core,Building Products,資本財,2.791,1.15,15294212,5479527,0.021,0.019,+0.002,63.0,-0.33
TRMB,Trimble Inc.,core,Application Software,情報技術,2.790,1.19,16647345,5966619,0.023,0.020,+0.002,58.6,+3.68
PANW,Palo Alto Networks,leader,Systems Software,情報技術,2.790,2.14,296859685,106415045,0.405,0.329,+0.077,359.6,+12.65
RNG,"Ringcentral, Inc.",hot,,不明,2.789,1.63,18073163,6480562,0.025,0.020,+0.004,61.8,+11.72
KLAC,KLA Corporation,leader,Semiconductor Materials & Equipment,半導体,2.784,1.25,288606179,103666398,0.394,0.367,+0.027,193.2,-0.19
GRMN,Garmin,core,Consumer Electronics,一般消費財,2.777,0.65,41944097,15102820,0.057,0.062,-0.004,301.9,+22.84
TMUS,T-Mobile US,leader,Wireless Telecommunication Services,コミュニケーション・サービス,2.765,1.50,116652144,42188858,0.159,0.142,+0.017,180.0,-1.13
NUE,Nucor,core,Steel,素材,2.760,1.32,56021728,20296556,0.076,0.067,+0.009,272.0,+6.39
CMG,Chipotle Mexican Grill,core,Restaurants,一般消費財,2.754,0.48,90133646,32726718,0.123,0.139,-0.016,33.7,-0.28
LH,Labcorp,core,Health Care Services,ヘルスケア,2.743,0.79,30588581,11152673,0.042,0.043,-0.001,316.5,+3.55
FSLR,First Solar,core,Semiconductors,半導体,2.736,0.75,85671997,31314839,0.117,0.120,-0.003,244.1,+20.79
OUST,"Ouster, Inc.",hot,,不明,2.732,1.54,17761013,6501496,0.024,0.021,+0.003,45.6,+38.36
IQV,IQVIA,core,Life Sciences Tools & Services,ヘルスケア,2.726,0.58,50521308,18530421,0.069,0.076,-0.007,232.4,-1.45
TECH,Bio-Techne,core,Life Sciences Tools & Services,ヘルスケア,2.726,0.52,31988939,11736733,0.044,0.050,-0.007,71.9,+0.17
FTAI,FTAI Aviation Ltd.,hot,,不明,2.719,0.96,63529474,23361282,0.087,0.085,+0.001,221.2,+6.33
WEC,WEC Energy Group,core,Electric Utilities,公益事業,2.713,0.62,27383167,10093146,0.037,0.038,-0.001,108.0,-5.78
CVNA,Carvana,core,Automotive Retail,一般消費財,2.706,0.68,98871708,36539794,0.135,0.140,-0.005,68.3,+7.12
AZO,AutoZone,core,Automotive Retail,一般消費財,2.703,1.17,52373280,19376697,0.072,0.068,+0.003,3069.6,-1.53
MSFT,Microsoft,leader,Systems Software,情報技術,2.703,0.78,2966064209,1097439645,4.050,3.892,+0.158,499.9,+26.45
CCL,Carnival Corporation,core,"Hotels, Resorts & Cruise Lines",一般消費財,2.693,1.51,69764453,25905057,0.095,0.088,+0.007,28.8,+6.77
AEO,"American Eagle Outfitters, Inc.",hot,,不明,2.693,1.55,10029219,3724835,0.014,0.011,+0.002,17.7,-1.25
KKR,KKR & Co.,core,Asset Management & Custody Banks,金融,2.678,1.51,58008558,21662753,0.079,0.069,+0.010,103.3,+2.47
NVR,"NVR, Inc.",core,Homebuilding,一般消費財,2.674,3.05,33353703,12471692,0.046,0.033,+0.013,6309.9,-2.37
DIS,Walt Disney Company (The),core,Movies & Entertainment,コミュニケーション・サービス,2.674,1.41,182953238,68410612,0.250,0.218,+0.032,104.7,+7.25
ERIE,Erie Indemnity,core,Insurance Brokers,金融,2.669,1.47,8899404,3333974,0.012,0.010,+0.002,253.8,+8.53
CNH,CNH Industrial N.V.,hot,,不明,2.656,1.48,29393807,11066177,0.040,0.034,+0.006,10.9,-3.12
ASAN,"Asana, Inc.",hot,,不明,2.652,1.09,5908001,2227774,0.008,0.008,+0.000,8.7,+9.46
FLEX,Flex Ltd.,core,Electronic Manufacturing Services,情報技術,2.651,0.85,83038639,31327632,0.113,0.116,-0.003,122.6,+12.37
EL,Estée Lauder Companies (The),core,Personal Care Products,生活必需品,2.637,1.27,22426241,8504446,0.031,0.028,+0.002,85.5,+2.02
WMT,Walmart,leader,Consumer Staples Merchandise Retail,生活必需品,2.632,1.44,316305870,120167972,0.432,0.398,+0.034,112.1,-1.65
WYNN,Wynn Resorts,core,Casinos & Gaming,一般消費財,2.625,0.65,20820586,7932625,0.028,0.029,-0.001,101.5,+1.61
MMM,3M,core,Industrial Conglomerates,資本財,2.620,1.00,67291634,25684569,0.092,0.089,+0.003,180.8,+0.69
GS,Goldman Sachs,core,Investment Banking & Brokerage,金融,2.613,1.35,243236913,93090387,0.332,0.315,+0.017,1032.5,-0.15
VLO,Valero Energy,core,Oil & Gas Refining & Marketing,エネルギー,2.608,1.98,108177521,41479376,0.148,0.124,+0.024,303.1,-0.66
FANG,Diamondback Energy,leader,Oil & Gas Exploration & Production,エネルギー,2.589,1.20,46522506,17967732,0.064,0.061,+0.003,189.5,-4.17
GE,GE Aerospace,core,Aerospace & Defense,資本財,2.588,1.47,134721379,52054630,0.184,0.172,+0.012,374.6,+2.55
PPG,PPG Industries,core,Specialty Chemicals,素材,2.587,0.60,28036104,10838514,0.038,0.043,-0.005,117.2,-3.95
MCD,McDonald's,core,Restaurants,一般消費財,2.578,1.13,157696177,61170763,0.215,0.207,+0.008,276.3,+0.56
IONQ,"IonQ, Inc.",hot,,不明,2.564,0.74,93911645,36624451,0.128,0.139,-0.011,39.7,+15.98
TEL,TE Connectivity,core,Electronic Manufacturing Services,情報技術,2.547,1.20,64349856,25262631,0.088,0.082,+0.006,215.1,+4.97
TYL,Tyler Technologies,core,Application Software,情報技術,2.543,1.16,47205908,18561527,0.064,0.060,+0.005,306.3,-5.70
PLUG,"Plug Power, Inc.",hot,,不明,2.539,2.02,16176419,6371951,0.022,0.019,+0.003,2.1,+2.49
SCHW,Charles Schwab Corporation,core,Investment Banking & Brokerage,金融,2.537,1.65,83081818,32748293,0.113,0.102,+0.012,107.7,+3.70
WIX,Wix.com Ltd.,hot,,不明,2.536,1.17,16862913,6649377,0.023,0.022,+0.001,61.0,+5.85
CPT,Camden Property Trust,core,Multi-Family Residential REITs,不動産,2.526,0.86,14003246,5542575,0.019,0.020,-0.001,110.7,-2.94
NU,Nu Holdings Ltd.,hot,,不明,2.518,2.26,109224254,43385573,0.149,0.122,+0.027,14.1,-3.29
LMT,Lockheed Martin,core,Aerospace & Defense,資本財,2.515,1.14,77223832,30709534,0.105,0.107,-0.002,582.8,-0.80
CSX,CSX Corporation,leader,Rail Transportation,資本財,2.514,1.30,72313723,28764407,0.099,0.092,+0.007,50.7,-2.11
ANET,Arista Networks,core,Communications Equipment,情報技術,2.513,0.81,221923777,88318581,0.303,0.306,-0.003,192.3,+17.24
NKE,"Nike, Inc.",core,"Apparel, Accessories & Luxury Goods",一般消費財,2.493,0.80,90988065,36494392,0.124,0.135,-0.010,42.0,-1.44
EXR,Extra Space Storage,core,Self-Storage REITs,不動産,2.486,0.66,22797007,9171478,0.031,0.034,-0.003,149.5,+0.13
ADBE,Adobe Inc.,leader,Application Software,情報技術,2.482,0.84,167006060,67284515,0.228,0.245,-0.017,260.2,+6.62
ODFL,Old Dominion,leader,Cargo Ground Transportation,資本財,2.477,1.04,52575964,21222997,0.072,0.072,-0.000,211.4,-6.73
VRSK,Verisk Analytics,core,Research & Consulting Services,資本財,2.477,1.14,46370827,18722591,0.063,0.059,+0.004,189.8,-10.05
MAR,Marriott International,leader,"Hotels, Resorts & Cruise Lines",一般消費財,2.473,0.79,82596878,33399711,0.113,0.124,-0.011,359.8,-5.22
RGTI,"Rigetti Computing, Inc.",hot,,不明,2.470,1.16,39971731,16184739,0.055,0.053,+0.001,16.6,+10.70
SNAP,Snap Inc.,hot,,不明,2.466,0.57,27971841,11341967,0.038,0.043,-0.005,5.2,+13.77
TXN,Texas Instruments,leader,Semiconductors,半導体,2.459,0.64,194255167,79005357,0.265,0.307,-0.042,278.3,+0.77
ETR,Entergy,core,Electric Utilities,公益事業,2.458,0.88,34705908,14122209,0.047,0.047,+0.000,106.5,-6.23
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,leader,,不明,2.457,0.95,31062795,12644907,0.042,0.043,-0.001,108.2,-3.02
LIN,Linde plc,leader,Industrial Gases,素材,2.451,0.90,142651582,58193446,0.195,0.197,-0.003,490.2,-4.54
WTW,Willis Towers Watson,core,Insurance Brokers,金融,2.450,1.01,26973836,11009213,0.037,0.036,+0.000,340.0,+11.49
HIMS,"Hims & Hers Health, Inc.",hot,,不明,2.447,0.63,46009563,18800081,0.063,0.070,-0.007,29.6,-0.67
COST,Costco,leader,Consumer Staples Merchandise Retail,生活必需品,2.441,1.02,195468082,80087610,0.267,0.273,-0.007,949.1,-2.51
AEP,American Electric Power,leader,Electric Utilities,公益事業,2.438,0.59,58392808,23949742,0.080,0.093,-0.014,125.3,-6.66
CARR,Carrier Global,core,Building Products,資本財,2.421,0.59,55728925,23021149,0.076,0.089,-0.013,64.0,-4.09
CTAS,Cintas,leader,Diversified Support Services,資本財,2.420,0.86,51044291,21092324,0.070,0.073,-0.003,202.1,-6.43
AMGN,Amgen,leader,Biotechnology,ヘルスケア,2.412,0.73,120254985,49860786,0.164,0.176,-0.012,405.0,+4.97
TDY,Teledyne Technologies,core,Electronic Equipment & Instruments,情報技術,2.411,1.18,29433702,12206663,0.040,0.039,+0.001,687.9,+6.69
HD,Home Depot (The),core,Home Improvement Retail,一般消費財,2.408,1.14,138735931,57609956,0.189,0.184,+0.006,349.6,+1.53
CIEN,Ciena,core,Communications Equipment,情報技術,2.395,0.89,98459461,41110461,0.134,0.139,-0.004,403.2,+15.15
CINF,Cincinnati Financial,core,Property & Casualty Insurance,金融,2.393,0.77,13387486,5594144,0.018,0.020,-0.001,179.0,+1.71
CHRW,C.H. Robinson,core,Air Freight & Logistics,資本財,2.375,0.38,47798388,20125657,0.065,0.086,-0.021,146.7,-14.20
SBAC,SBA Communications,core,Telecom Tower REITs,不動産,2.369,0.64,31042828,13105485,0.042,0.047,-0.005,182.6,+4.27
T,AT&T,core,Integrated Telecommunication Services,コミュニケーション・サービス,2.359,1.27,164162401,69599673,0.224,0.214,+0.010,23.7,-4.80
BA,Boeing,core,Aerospace & Defense,資本財,2.354,1.21,215178158,91422257,0.294,0.295,-0.001,232.1,+8.72
WAY,Waystar Holding Corp.,hot,,不明,2.347,0.67,8746129,3726441,0.012,0.013,-0.001,23.4,-0.91
FFIV,"F5, Inc.",core,Communications Equipment,情報技術,2.346,0.89,41222170,17568348,0.056,0.059,-0.003,413.1,+8.82
SWKS,Skyworks Solutions,core,Semiconductors,半導体,2.345,0.64,47703952,20338940,0.065,0.073,-0.008,66.9,+3.58
MPWR,Monolithic Power Systems,leader,Semiconductors,半導体,2.345,0.61,142324455,60702784,0.194,0.223,-0.029,1357.7,+4.53
HPE,Hewlett Packard Enterprise,core,"Technology Hardware, Storage & Peripherals",情報技術,2.342,1.07,103896690,44360338,0.142,0.144,-0.002,52.4,+13.53
ARES,Ares Management,core,Asset Management & Custody Banks,金融,2.335,1.01,42898249,18373580,0.059,0.060,-0.001,138.2,+8.21
COF,Capital One,core,Consumer Finance,金融,2.330,1.57,88587341,38025717,0.121,0.113,+0.008,220.0,+5.65
NCLH,Norwegian Cruise Line Holdings,core,"Hotels, Resorts & Cruise Lines",一般消費財,2.329,0.80,43639448,18739969,0.060,0.063,-0.004,19.4,-2.37
ENLT,Enlight Renewable Energy Ltd.,hot,,不明,2.316,0.55,2718321,1173550,0.004,0.004,-0.001,84.2,-5.23
BMNR,"BitMine Immersion Technologies,",hot,,不明,2.314,0.94,59328983,25636732,0.081,0.088,-0.007,18.3,+7.51
VMC,Vulcan Materials Company,core,Construction Materials,素材,2.310,1.09,42844689,18551125,0.058,0.058,+0.000,281.7,-0.95
MARA,"MARA Holdings, Inc.",hot,,不明,2.304,1.32,58258064,25288022,0.080,0.078,+0.001,10.7,-3.57
NBIS,Nebius Group N.V. Class A Ordinary Shares,leader,,不明,2.301,0.87,660742575,287204067,0.902,0.943,-0.041,189.9,+7.99
SYK,Stryker Corporation,core,Health Care Equipment,ヘルスケア,2.299,0.85,90923285,39551291,0.124,0.134,-0.010,337.3,-3.33
FICO,Fair Isaac,core,Application Software,情報技術,2.289,0.67,74737241,32644560,0.102,0.117,-0.015,1032.3,-20.85
LII,Lennox International,core,Building Products,資本財,2.282,0.47,41592647,18223716,0.057,0.070,-0.013,435.6,-19.91
SYRE,"Spyre Therapeutics, Inc.",hot,,不明,2.281,0.73,9213128,4038496,0.013,0.014,-0.002,103.3,+7.23
AEHR,Aehr Test Systems,hot,,不明,2.281,0.58,21287473,9332204,0.029,0.036,-0.007,99.7,+42.69
COHR,Coherent Corp.,core,Electronic Components,情報技術,2.277,0.53,189483340,83210117,0.259,0.309,-0.051,334.1,+32.87
FIGR,"Figure Technology Solutions, In",hot,,不明,2.266,1.26,10834383,4781998,0.015,0.015,+0.000,28.6,+2.99
CPRT,Copart,leader,Diversified Support Services,資本財,2.262,0.77,31374658,13872028,0.043,0.049,-0.006,29.0,-5.17
GD,General Dynamics,core,Aerospace & Defense,資本財,2.260,0.65,41988243,18578205,0.057,0.067,-0.009,386.8,-1.41
DELL,Dell Technologies,core,"Technology Hardware, Storage & Peripherals",情報技術,2.238,0.95,322233095,143965937,0.440,0.457,-0.017,437.6,+9.40
PDD,PDD Holdings Inc. American Depositary Shares,leader,,不明,2.215,0.70,55064386,24857066,0.075,0.084,-0.009,90.9,+6.36
CAT,Caterpillar Inc.,core,Construction Machinery & Heavy Transportation Equipment,資本財,2.210,0.64,325941583,147478031,0.445,0.517,-0.072,857.3,+0.92
TXT,Textron,core,Aerospace & Defense,資本財,2.195,0.36,16888021,7694814,0.023,0.031,-0.008,87.9,-2.47
PCG,PG&E Corporation,core,Multi-Utilities,公益事業,2.186,0.85,54782803,25057953,0.075,0.084,-0.009,17.0,-4.97
AWK,American Water Works,core,Water Utilities,公益事業,2.183,0.20,30703219,14062870,0.042,0.062,-0.020,134.8,-0.68
LVS,Las Vegas Sands,core,Casinos & Gaming,一般消費財,2.168,1.03,27996065,12910563,0.038,0.040,-0.001,46.1,-4.45
COAG,"Hemab Therapeutics Holdings, In",hot,,不明,2.168,0.98,3029957,1397733,0.004,0.004,-0.000,52.0,+3.97
PVLA,"Palvella Therapeutics, Inc.",hot,,不明,2.158,1.05,2795541,1295268,0.004,0.004,+0.000,154.8,+9.00
AAL,"American Airlines Group, Inc.",hot,,不明,2.156,2.12,128903077,59780984,0.176,0.164,+0.012,16.0,+7.44
PWR,Quanta Services,core,Construction & Engineering,資本財,2.153,0.62,94107046,43718089,0.128,0.156,-0.027,667.8,+11.16
LLY,Lilly (Eli),core,Pharmaceuticals,ヘルスケア,2.146,0.63,372321041,173496128,0.508,0.591,-0.083,1192.8,-2.77
PEP,PepsiCo,leader,Soft Drinks & Non-alcoholic Beverages,生活必需品,2.142,0.94,100281830,46809059,0.137,0.152,-0.015,138.5,-3.63
HL,Hecla Mining Company,hot,,不明,2.141,1.43,65845413,30758219,0.090,0.087,+0.003,15.9,+7.41
WDC,Western Digital,leader,"Technology Hardware, Storage & Peripherals",情報技術,2.137,0.65,526785091,246507262,0.719,0.838,-0.119,451.5,-1.97
WU,Western Union Company (The),hot,,不明,2.130,0.09,11346527,5327940,0.015,0.025,-0.010,7.2,-13.41
SMCI,Supermicro,core,"Technology Hardware, Storage & Peripherals",情報技術,2.105,0.86,116469685,55327648,0.159,0.177,-0.018,29.4,+2.69
CMCSA,Comcast,leader,Cable & Satellite,コミュニケーション・サービス,2.095,0.68,67451321,32192411,0.092,0.109,-0.017,25.2,+8.18
VOD,Vodafone Group Plc,hot,,不明,2.095,0.67,9382406,4478941,0.013,0.015,-0.002,16.0,-1.60
ACN,Accenture,core,IT Consulting & Other Services,情報技術,2.079,0.57,113007784,54356111,0.154,0.192,-0.038,171.1,+7.61
FUTU,Futu Holdings Limited,hot,,不明,2.079,0.46,10211853,4912810,0.014,0.018,-0.004,104.6,+4.05
FIX,Comfort Systems USA,core,Construction & Engineering,資本財,2.078,0.61,86086112,41433841,0.118,0.145,-0.028,1711.9,+2.51
HCA,HCA Healthcare,core,Health Care Facilities,ヘルスケア,2.065,0.55,55223500,26748888,0.075,0.093,-0.018,408.8,+3.92
F,Ford Motor Company,core,Automobile Manufacturers,一般消費財,2.058,0.94,99029609,48129768,0.135,0.147,-0.012,13.8,-6.42
REGN,Regeneron Pharmaceuticals,leader,Biotechnology,ヘルスケア,2.057,0.64,61440347,29868395,0.084,0.099,-0.015,772.1,+14.03
GLUE,"Monte Rosa Therapeutics, Inc.",hot,,不明,2.053,0.12,3397330,1654925,0.005,0.007,-0.003,15.7,-29.34
EXE,Expand Energy,core,Oil & Gas Exploration & Production,エネルギー,2.046,0.47,28730244,14041600,0.039,0.050,-0.011,92.0,+0.98
LCID,"Lucid Group, Inc.",hot,,不明,2.041,0.17,10760159,5272596,0.015,0.022,-0.007,7.0,+8.31
TER,Teradyne,leader,Semiconductor Materials & Equipment,半導体,2.039,0.34,144160183,70701528,0.197,0.266,-0.070,384.9,+22.61
BMY,Bristol Myers Squibb,core,Pharmaceuticals,ヘルスケア,2.037,0.27,79235221,38892573,0.108,0.155,-0.047,64.2,+1.04
KO,Coca-Cola Company (The),core,Soft Drinks & Non-alcoholic Beverages,生活必需品,2.035,0.36,132065515,64897138,0.180,0.241,-0.061,86.8,+0.22
SBUX,Starbucks,leader,Restaurants,一般消費財,2.033,0.44,95622730,47025262,0.131,0.165,-0.034,105.2,-0.29
MSTR,Strategy Inc Common Stock Class A,leader,,不明,2.031,0.69,134264754,66111107,0.183,0.223,-0.040,96.9,+0.70
SPGI,S&P Global,core,Financial Exchanges & Data,金融,2.030,0.71,91890531,45258293,0.125,0.151,-0.026,405.2,-1.85
QBTS,D-Wave Quantum Inc. Common Stock,hot,,不明,2.025,0.45,39104152,19308845,0.053,0.068,-0.015,19.4,+4.61
ABBV,AbbVie,core,Biotechnology,ヘルスケア,2.019,0.83,146376604,72502052,0.200,0.225,-0.025,243.9,-7.25
JCI,Johnson Controls,core,Building Products,資本財,2.006,0.93,68176872,33982239,0.093,0.100,-0.007,154.5,+10.86
RKLB,Rocket Lab Corporation Common Stock,leader,,不明,2.005,0.49,115803851,57759417,0.158,0.205,-0.047,75.7,+18.59
LITE,Lumentum,leader,Communications Equipment,情報技術,1.972,0.47,369271123,187246531,0.504,0.648,-0.144,838.5,+26.66
ESS,Essex Property Trust,core,Multi-Family Residential REITs,不動産,1.966,0.54,11482173,5840540,0.016,0.019,-0.003,285.1,-2.56
VRT,Vertiv,core,Electrical Components & Equipment,資本財,1.964,0.54,255306556,130023693,0.349,0.434,-0.086,275.3,+1.02
V,Visa Inc.,core,Transaction & Payment Processing Services,金融,1.945,0.68,244948620,125933723,0.334,0.404,-0.070,370.5,+1.49
AVGO,Broadcom,leader,Semiconductors,半導体,1.940,0.63,653688283,337009230,0.893,1.120,-0.228,420.5,+11.97
LHX,L3Harris,core,Aerospace & Defense,資本財,1.939,0.21,42827037,22082554,0.058,0.088,-0.029,289.5,-5.45
ISRG,Intuitive Surgical,leader,Health Care Equipment,ヘルスケア,1.925,0.85,109965993,57122297,0.150,0.179,-0.029,373.8,+1.53
JBHT,J.B. Hunt,core,Cargo Ground Transportation,資本財,1.920,0.79,22080743,11500581,0.030,0.035,-0.005,267.2,-4.95
GEV,GE Vernova,core,Heavy Electrical Equipment,資本財,1.910,0.78,265060115,138751759,0.362,0.423,-0.061,999.3,+5.02
AON,Aon plc,core,Insurance Brokers,金融,1.908,0.20,39862956,20891032,0.054,0.082,-0.028,360.7,-2.71
USAR,"USA Rare Earth, Inc.",hot,,不明,1.904,0.82,19442585,10210026,0.027,0.032,-0.005,17.4,+21.29
ARM,Arm Holdings plc American Depositary Shares,leader,,不明,1.902,0.24,160705412,84492963,0.219,0.319,-0.100,286.7,+14.88
UNP,Union Pacific Corporation,core,Rail Transportation,資本財,1.896,0.57,75137143,39619208,0.103,0.129,-0.026,295.5,-1.35
INTU,Intuit,leader,Application Software,情報技術,1.880,0.56,114390184,60844642,0.156,0.199,-0.043,322.0,+4.11
GLW,Corning Inc.,core,Electronic Components,情報技術,1.875,0.33,243231338,129690874,0.332,0.454,-0.122,157.2,+26.73
SO,Southern Company,core,Electric Utilities,公益事業,1.870,0.42,50045434,26757294,0.068,0.089,-0.020,92.9,-4.55
ORLY,O’Reilly Automotive,leader,Automotive Retail,一般消費財,1.865,0.44,52775768,28298136,0.072,0.096,-0.023,93.4,+1.25
MRSH,Marsh McLennan,core,Insurance Brokers,金融,1.853,0.30,40613467,21921481,0.055,0.078,-0.023,193.3,+3.36
PATH,"UiPath, Inc.",hot,,不明,1.818,1.56,94275627,51859926,0.129,0.137,-0.008,14.0,+18.35
LRCX,Lam Research,leader,Semiconductor Materials & Equipment,半導体,1.815,0.35,310554511,171113008,0.424,0.586,-0.162,305.3,+11.47
NFLX,Netflix,leader,Movies & Entertainment,コミュニケーション・サービス,1.812,0.68,257863840,142295884,0.352,0.444,-0.092,73.7,+2.54
AMAT,Applied Materials,leader,Semiconductor Materials & Equipment,半導体,1.790,0.42,317881989,177598225,0.434,0.582,-0.148,527.7,+7.80
CSCO,Cisco,leader,Communications Equipment,情報技術,1.772,0.51,176232952,99461882,0.241,0.325,-0.084,120.9,+6.58
TT,Trane Technologies,core,Building Products,資本財,1.772,0.33,62719167,35404042,0.086,0.121,-0.035,478.9,+0.71
WDS,Woodside Energy Group Limited,hot,,不明,1.769,0.28,1744369,985859,0.002,0.003,-0.001,22.7,+1.38
NOW,ServiceNow,core,Systems Software,情報技術,1.756,0.22,222482813,126674517,0.304,0.466,-0.163,117.4,+8.07
DHR,Danaher Corporation,core,Life Sciences Tools & Services,ヘルスケア,1.733,0.22,79739257,46001819,0.109,0.161,-0.052,200.0,-1.13
HLT,Hilton Worldwide,core,"Hotels, Resorts & Cruise Lines",一般消費財,1.687,0.41,60813245,36056255,0.083,0.115,-0.032,322.0,+1.57
MDLZ,Mondelez International,leader,Packaged Foods & Meats,生活必需品,1.686,0.18,45922578,27229934,0.063,0.098,-0.036,62.8,+1.14
MBLY,Mobileye Global Inc.,hot,,不明,1.683,0.37,4198128,2494041,0.006,0.008,-0.002,8.4,+4.28
MRK,Merck & Co.,core,Pharmaceuticals,ヘルスケア,1.654,0.59,87973348,53196454,0.120,0.158,-0.038,128.3,-3.66
NVDA,Nvidia,leader,Semiconductors,半導体,1.652,0.38,2195952033,1329000983,2.998,4.319,-1.321,219.0,+12.77
AGM,Federal Agricultural Mortgage C,hot,,不明,1.586,0.20,2510449,1582790,0.003,0.005,-0.002,237.2,+13.60
ETN,Eaton Corporation,core,Electrical Components & Equipment,資本財,1.581,0.50,111628246,70593930,0.152,0.212,-0.059,448.2,+17.20
GOOG,Alphabet Inc. (Class C),leader,Interactive Media & Services,コミュニケーション・サービス,1.552,0.13,560587677,361156605,0.765,1.251,-0.486,356.8,+8.32
HOOD,Robinhood Markets,core,Investment Banking & Brokerage,金融,1.551,0.19,145583997,93841987,0.199,0.312,-0.114,90.7,-1.57
CRWV,"CoreWeave, Inc. Class A Common Stock",leader,,不明,1.541,0.20,197640275,128267287,0.270,0.418,-0.148,85.3,+26.36
PLTR,Palantir Technologies,leader,Application Software,情報技術,1.530,-0.13,453613046,296487878,0.619,1.372,-0.753,156.0,+24.04
APH,Amphenol,core,Electronic Components,情報技術,1.528,0.35,107532868,70378285,0.147,0.217,-0.070,170.6,+17.77
IMOS,ChipMOS TECHNOLOGIES INC.,hot,,不明,1.525,0.14,496354,325542,0.001,0.001,-0.000,52.7,+3.25
IREN,IREN LIMITED,hot,,不明,1.521,0.10,138848087,91300309,0.190,0.316,-0.126,37.9,+10.70
ORCL,Oracle Corporation,core,Application Software,情報技術,1.516,0.03,299059115,197285517,0.408,0.720,-0.312,143.4,+22.33
GOOGL,Alphabet Inc. (Class A),leader,Interactive Media & Services,コミュニケーション・サービス,1.491,0.06,832433669,558265486,1.137,1.942,-0.806,357.9,+8.61
