timestamp_et,epoch,ticker,open,high,low,close,volume
2021-07-12 00:00:00,1626062400,AZO,1574.1500244140625,1612.3299560546875,1573.1300048828125,1605.300048828125,306900
2021-07-19 00:00:00,1626667200,AZO,1606.0400390625,1632.81005859375,1571.47998046875,1632.1300048828125,758400
2021-07-26 00:00:00,1627272000,AZO,1629.8800048828125,1633.800048828125,1594.050048828125,1623.5699462890625,664600
2021-08-02 00:00:00,1627876800,AZO,1633.43994140625,1666.6300048828125,1609.550048828125,1629.8499755859375,648800
2021-08-09 00:00:00,1628481600,AZO,1632.1500244140625,1650.0400390625,1609.0400390625,1612.6099853515625,625000
2021-08-16 00:00:00,1629086400,AZO,1610.0,1653.8699951171875,1599.7099609375,1640.760009765625,650700
2021-08-23 00:00:00,1629691200,AZO,1643.5899658203125,1656.2900390625,1544.31005859375,1548.489990234375,776300
2021-08-30 00:00:00,1630296000,AZO,1555.75,1562.8800048828125,1503.300048828125,1537.25,987700
2021-09-06 00:00:00,1630900800,AZO,1529.989990234375,1567.3699951171875,1521.010009765625,1550.56005859375,520100
2021-09-13 00:00:00,1631505600,AZO,1548.6300048828125,1619.81005859375,1540.97998046875,1592.8800048828125,898200
2021-09-20 00:00:00,1632110400,AZO,1583.6199951171875,1704.02001953125,1559.4300537109375,1694.8299560546875,1176400
2021-09-27 00:00:00,1632715200,AZO,1692.4000244140625,1738.780029296875,1657.4599609375,1672.280029296875,1070500
2021-10-04 00:00:00,1633320000,AZO,1663.43994140625,1699.300048828125,1634.3399658203125,1681.3699951171875,849200
2021-10-11 00:00:00,1633924800,AZO,1680.18994140625,1741.9100341796875,1649.5899658203125,1736.030029296875,700500
2021-10-18 00:00:00,1634529600,AZO,1733.4300537109375,1840.550048828125,1730.3499755859375,1832.8900146484375,964700
2021-10-25 00:00:00,1635134400,AZO,1839.2099609375,1844.989990234375,1772.0400390625,1784.8399658203125,855500
2021-11-01 00:00:00,1635739200,AZO,1794.050048828125,1832.489990234375,1767.52001953125,1817.93994140625,759900
2021-11-08 00:00:00,1636347600,AZO,1826.550048828125,1904.8399658203125,1799.0899658203125,1886.22998046875,776200
2021-11-15 00:00:00,1636952400,AZO,1895.239990234375,1941.3599853515625,1856.989990234375,1859.6800537109375,757000
2021-11-22 00:00:00,1637557200,AZO,1860.280029296875,1883.780029296875,1806.8900146484375,1814.1800537109375,447200
2021-11-29 00:00:00,1638162000,AZO,1828.0999755859375,1897.8800048828125,1806.8299560546875,1863.0,817100
2021-12-06 00:00:00,1638766800,AZO,1877.81005859375,2028.6600341796875,1858.22998046875,2003.02001953125,1140300
2021-12-13 00:00:00,1639371600,AZO,2001.3800048828125,2065.719970703125,1963.6300048828125,1996.3699951171875,1006800
2021-12-20 00:00:00,1639976400,AZO,1985.9300537109375,2039.510009765625,1941.050048828125,2014.5,491000
2021-12-27 00:00:00,1640581200,AZO,2014.97998046875,2110.0,2004.739990234375,2096.389892578125,439100
2022-01-03 00:00:00,1641186000,AZO,2077.489990234375,2098.389892578125,2006.300048828125,2014.77001953125,761200
2022-01-10 00:00:00,1641790800,AZO,1997.6700439453125,2077.070068359375,1960.030029296875,2033.47998046875,720100
2022-01-17 00:00:00,1642395600,AZO,2008.449951171875,2012.760009765625,1930.219970703125,1942.1700439453125,622600
2022-01-24 00:00:00,1643000400,AZO,1920.6600341796875,1979.8299560546875,1876.5699462890625,1951.1600341796875,1082200
2022-01-31 00:00:00,1643605200,AZO,1944.300048828125,2078.72998046875,1944.300048828125,2018.699951171875,1033900
2022-02-07 00:00:00,1644210000,AZO,2023.8900146484375,2047.5999755859375,1904.8399658203125,1949.1099853515625,1020300
2022-02-14 00:00:00,1644814800,AZO,1942.8499755859375,1947.6700439453125,1885.0,1920.010009765625,735300
2022-02-21 00:00:00,1645419600,AZO,1914.0799560546875,1927.6600341796875,1759.02001953125,1864.6300048828125,806700
2022-02-28 00:00:00,1646024400,AZO,1829.68994140625,1953.9599609375,1760.0,1891.3599853515625,1262600
2022-03-07 00:00:00,1646629200,AZO,1878.7099609375,1907.1199951171875,1836.6099853515625,1864.5899658203125,813800
2022-03-14 00:00:00,1647230400,AZO,1879.56005859375,1975.5999755859375,1860.0799560546875,1952.75,1254500
2022-03-21 00:00:00,1647835200,AZO,1936.1400146484375,2043.47998046875,1924.1800537109375,2027.2900390625,896400
2022-03-28 00:00:00,1648440000,AZO,2025.0,2082.199951171875,1971.6400146484375,1974.510009765625,968500
2022-04-04 00:00:00,1649044800,AZO,1964.0999755859375,2221.570068359375,1958.4000244140625,2190.56005859375,951100
2022-04-11 00:00:00,1649649600,AZO,2199.639892578125,2204.219970703125,2136.830078125,2164.60009765625,560900
2022-04-18 00:00:00,1650254400,AZO,2152.199951171875,2267.39990234375,2145.080078125,2160.27001953125,692100
2022-04-25 00:00:00,1650859200,AZO,2154.8798828125,2229.47998046875,1950.1400146484375,1955.469970703125,1152400
2022-05-02 00:00:00,1651464000,AZO,1964.5999755859375,2054.580078125,1918.4200439453125,2000.0,804700
2022-05-09 00:00:00,1652068800,AZO,1971.739990234375,2022.5999755859375,1916.4000244140625,2001.1099853515625,886300
2022-05-16 00:00:00,1652673600,AZO,1988.3399658203125,2056.14990234375,1703.3199462890625,1771.6800537109375,1460400
2022-05-23 00:00:00,1653278400,AZO,1773.8399658203125,2069.340087890625,1759.0999755859375,2055.389892578125,1472800
2022-05-30 00:00:00,1653883200,AZO,2056.080078125,2082.070068359375,1996.93994140625,2058.0400390625,630200
2022-06-06 00:00:00,1654488000,AZO,2070.9599609375,2130.5,2050.7099609375,2064.4599609375,620900
2022-06-13 00:00:00,1655092800,AZO,2031.56005859375,2068.550048828125,1959.5799560546875,1992.550048828125,1113100
2022-06-20 00:00:00,1655697600,AZO,2026.239990234375,2175.27001953125,1980.739990234375,2158.909912109375,892300
2022-06-27 00:00:00,1656302400,AZO,2190.0,2200.219970703125,2100.090087890625,2159.81005859375,842000
2022-07-04 00:00:00,1656907200,AZO,2139.719970703125,2210.159912109375,2103.070068359375,2182.3701171875,608900
2022-07-11 00:00:00,1657512000,AZO,2188.239990234375,2218.85009765625,2122.659912109375,2215.030029296875,677800
2022-07-18 00:00:00,1658116800,AZO,2228.320068359375,2246.409912109375,2115.27001953125,2147.6201171875,839100
2022-07-25 00:00:00,1658721600,AZO,2148.840087890625,2169.330078125,2064.22998046875,2137.389892578125,819700
2022-08-01 00:00:00,1659326400,AZO,2119.530029296875,2196.639892578125,2113.820068359375,2195.18994140625,719000
2022-08-08 00:00:00,1659931200,AZO,2200.0400390625,2259.22998046875,2199.919921875,2259.179931640625,575800
2022-08-15 00:00:00,1660536000,AZO,2259.989990234375,2362.239990234375,2245.050048828125,2332.090087890625,732400
2022-08-22 00:00:00,1661140800,AZO,2321.93994140625,2344.590087890625,2162.219970703125,2163.02001953125,664100
2022-08-29 00:00:00,1661745600,AZO,2145.070068359375,2186.7900390625,2110.679931640625,2120.8798828125,661500
2022-09-05 00:00:00,1662350400,AZO,2121.14990234375,2214.800048828125,2119.080078125,2199.080078125,475800
2022-09-12 00:00:00,1662955200,AZO,2202.97998046875,2222.169921875,2105.7099609375,2165.64990234375,869200
2022-09-19 00:00:00,1663560000,AZO,2204.3701171875,2220.0,2050.2099609375,2096.840087890625,1148700
2022-09-26 00:00:00,1664164800,AZO,2100.47998046875,2179.25,2088.52001953125,2141.929931640625,820200
2022-10-03 00:00:00,1664769600,AZO,2163.35009765625,2273.639892578125,2157.75,2174.0,760800
2022-10-10 00:00:00,1665374400,AZO,2175.64990234375,2300.0,2165.050048828125,2255.169921875,842300
2022-10-17 00:00:00,1665979200,AZO,2261.0,2330.070068359375,2249.360107421875,2301.030029296875,824400
2022-10-24 00:00:00,1666584000,AZO,2320.780029296875,2554.669921875,2320.780029296875,2543.5,1001900
2022-10-31 00:00:00,1667188800,AZO,2525.969970703125,2560.010009765625,2432.719970703125,2465.10009765625,755000
2022-11-07 00:00:00,1667797200,AZO,2460.52001953125,2525.18994140625,2342.050048828125,2408.989990234375,682800
2022-11-14 00:00:00,1668402000,AZO,2416.77001953125,2480.14990234375,2382.8798828125,2460.840087890625,681200
2022-11-21 00:00:00,1669006800,AZO,2477.75,2575.2900390625,2460.8798828125,2562.1201171875,335700
2022-11-28 00:00:00,1669611600,AZO,2558.669921875,2610.050048828125,2520.77001953125,2571.590087890625,718900
2022-12-05 00:00:00,1670216400,AZO,2550.0,2566.68994140625,2386.75,2454.989990234375,1021600
2022-12-12 00:00:00,1670821200,AZO,2475.239990234375,2492.179931640625,2333.2900390625,2380.449951171875,1000600
2022-12-19 00:00:00,1671426000,AZO,2394.580078125,2440.60009765625,2364.919921875,2430.64990234375,593700
2022-12-26 00:00:00,1672030800,AZO,2434.610107421875,2489.60009765625,2429.780029296875,2466.179931640625,328500
2023-01-02 00:00:00,1672635600,AZO,2441.510009765625,2498.050048828125,2413.570068359375,2486.639892578125,562400
2023-01-09 00:00:00,1673240400,AZO,2500.0,2500.0,2325.02001953125,2368.8798828125,657100
2023-01-16 00:00:00,1673845200,AZO,2366.06005859375,2384.340087890625,2300.0,2326.610107421875,537900
2023-01-23 00:00:00,1674450000,AZO,2342.419921875,2431.18994140625,2305.659912109375,2369.340087890625,836400
2023-01-30 00:00:00,1675054800,AZO,2389.75,2502.320068359375,2389.050048828125,2398.510009765625,895700
2023-02-06 00:00:00,1675659600,AZO,2408.760009765625,2560.360107421875,2372.0,2513.68994140625,826000
2023-02-13 00:00:00,1676264400,AZO,2510.5,2605.6201171875,2500.5,2605.6201171875,596100
2023-02-20 00:00:00,1676869200,AZO,2590.639892578125,2605.22998046875,2532.570068359375,2540.56005859375,597600
2023-02-27 00:00:00,1677474000,AZO,2552.18994140625,2584.9599609375,2424.43994140625,2497.340087890625,1050100
2023-03-06 00:00:00,1678078800,AZO,2498.3798828125,2529.659912109375,2404.0,2421.389892578125,695800
2023-03-13 00:00:00,1678680000,AZO,2411.590087890625,2461.3798828125,2360.02001953125,2365.0,824700
2023-03-20 00:00:00,1679284800,AZO,2372.31005859375,2409.489990234375,2294.75,2329.39990234375,647500
2023-03-27 00:00:00,1679889600,AZO,2336.489990234375,2460.14990234375,2333.14990234375,2458.14990234375,846000
2023-04-03 00:00:00,1680494400,AZO,2466.43994140625,2531.3798828125,2465.0,2530.679931640625,630000
2023-04-10 00:00:00,1681099200,AZO,2529.02001953125,2643.070068359375,2521.75,2638.320068359375,668500
2023-04-17 00:00:00,1681704000,AZO,2644.840087890625,2722.60009765625,2643.6201171875,2681.409912109375,709000
2023-04-24 00:00:00,1682308800,AZO,2676.320068359375,2697.360107421875,2629.7900390625,2663.31005859375,594100
2023-05-01 00:00:00,1682913600,AZO,2669.929931640625,2717.570068359375,2652.56005859375,2691.580078125,565100
2023-05-08 00:00:00,1683518400,AZO,2692.239990234375,2750.0,2679.25,2729.06005859375,539100
2023-05-15 00:00:00,1684123200,AZO,2727.2900390625,2727.2900390625,2629.760009765625,2653.179931640625,602600
2023-05-22 00:00:00,1684728000,AZO,2671.25,2679.5,2398.239990234375,2460.7900390625,1448700
2023-05-29 00:00:00,1685332800,AZO,2438.72998046875,2459.89990234375,2277.8798828125,2381.22998046875,1356700
2023-06-05 00:00:00,1685937600,AZO,2376.389892578125,2397.419921875,2303.929931640625,2363.18994140625,1173700
2023-06-12 00:00:00,1686542400,AZO,2390.330078125,2539.489990234375,2389.280029296875,2493.830078125,1291700
2023-06-19 00:00:00,1687147200,AZO,2493.830078125,2493.830078125,2408.1201171875,2423.72998046875,940400
2023-06-26 00:00:00,1687752000,AZO,2428.530029296875,2508.389892578125,2420.0,2493.360107421875,935900
2023-07-03 00:00:00,1688356800,AZO,2468.550048828125,2507.2099609375,2434.3701171875,2469.510009765625,616700
2023-07-10 00:00:00,1688961600,AZO,2464.199951171875,2584.760009765625,2463.93994140625,2556.590087890625,743500
2023-07-17 00:00:00,1689566400,AZO,2556.590087890625,2571.64990234375,2437.860107421875,2457.929931640625,840300
