code,name,bucket,sector,group
TSLA,"Tesla, Inc.",leader,Automobile Manufacturers,一般消費財
TTWO,Take-Two Interactive,leader,Interactive Home Entertainment,コミュニケーション・サービス
TXN,Texas Instruments,leader,Semiconductors,情報技術
VRTX,Vertex Pharmaceuticals,leader,Biotechnology,ヘルスケア
WBD,Warner Bros. Discovery,leader,Broadcasting,コミュニケーション・サービス
WDAY,"Workday, Inc.",leader,Application Software,情報技術
WDC,Western Digital,leader,"Technology Hardware, Storage & Peripherals",情報技術
WMT,Walmart,leader,Consumer Staples Merchandise Retail,生活必需品
XEL,Xcel Energy,leader,Multi-Utilities,公益事業
A,Agilent Technologies,core,Life Sciences Tools & Services,ヘルスケア
ABBV,AbbVie,core,Biotechnology,ヘルスケア
ABT,Abbott Laboratories,core,Health Care Equipment,ヘルスケア
ACGL,Arch Capital Group,core,Property & Casualty Insurance,金融
ACN,Accenture,core,IT Consulting & Other Services,情報技術
ADM,Archer Daniels Midland,core,Agricultural Products & Services,生活必需品
AEE,Ameren,core,Multi-Utilities,公益事業
AES,AES Corporation,core,Independent Power Producers & Energy Traders,公益事業
AFL,Aflac,core,Life & Health Insurance,金融
AIG,American International Group,core,Multi-line Insurance,金融
AIZ,Assurant,core,Multi-line Insurance,金融
AJG,Arthur J. Gallagher & Co.,core,Insurance Brokers,金融
AKAM,Akamai Technologies,core,Internet Services & Infrastructure,情報技術
ALB,Albemarle Corporation,core,Specialty Chemicals,素材
ALGN,Align Technology,core,Health Care Supplies,ヘルスケア
ALL,Allstate,core,Property & Casualty Insurance,金融
ALLE,Allegion,core,Building Products,資本財
AMCR,Amcor,core,Paper & Plastic Packaging Products & Materials,素材
AME,Ametek,core,Electrical Components & Equipment,資本財
AMP,Ameriprise Financial,core,Asset Management & Custody Banks,金融
AMT,American Tower,core,Telecom Tower REITs,不動産
ANET,Arista Networks,core,Communications Equipment,情報技術
AON,Aon plc,core,Insurance Brokers,金融
AOS,A. O. Smith,core,Building Products,資本財
APA,APA Corporation,core,Oil & Gas Exploration & Production,エネルギー
APD,Air Products,core,Industrial Gases,素材
APH,Amphenol,core,Electronic Components,情報技術
APO,Apollo Global Management,core,Asset Management & Custody Banks,金融
APTV,Aptiv,core,Automotive Parts & Equipment,一般消費財
ARE,Alexandria Real Estate Equities,core,Office REITs,不動産
ARES,Ares Management,core,Asset Management & Custody Banks,金融
ATO,Atmos Energy,core,Gas Utilities,公益事業
AVB,AvalonBay Communities,core,Multi-Family Residential REITs,不動産
AVY,Avery Dennison,core,Paper & Plastic Packaging Products & Materials,素材
AWK,American Water Works,core,Water Utilities,公益事業
AXP,American Express,core,Consumer Finance,金融
AZO,AutoZone,core,Automotive Retail,一般消費財
BA,Boeing,core,Aerospace & Defense,資本財
BAC,Bank of America,core,Diversified Banks,金融
BALL,Ball Corporation,core,"Metal, Glass & Plastic Containers",素材
BAX,Baxter International,core,Health Care Equipment,ヘルスケア
BBY,Best Buy,core,Computer & Electronics Retail,一般消費財
BDX,Becton Dickinson,core,Health Care Equipment,ヘルスケア
BEN,Franklin Resources,core,Asset Management & Custody Banks,金融
BF-B,Brown–Forman,core,Distillers & Vintners,生活必需品
BG,Bunge Global,core,Agricultural Products & Services,生活必需品
BIIB,Biogen,core,Biotechnology,ヘルスケア
BLDR,Builders FirstSource,core,Building Products,資本財
BLK,BlackRock,core,Asset Management & Custody Banks,金融
BMY,Bristol Myers Squibb,core,Pharmaceuticals,ヘルスケア
BNY,BNY Mellon,core,Asset Management & Custody Banks,金融
BR,Broadridge Financial Solutions,core,Data Processing & Outsourced Services,資本財
BRK-B,Berkshire Hathaway,core,Multi-Sector Holdings,金融
BRO,Brown & Brown,core,Insurance Brokers,金融
BSX,Boston Scientific,core,Health Care Equipment,ヘルスケア
BX,Blackstone Inc.,core,Asset Management & Custody Banks,金融
BXP,"BXP, Inc.",core,Office REITs,不動産
C,Citigroup,core,Diversified Banks,金融
CAH,Cardinal Health,core,Health Care Distributors,ヘルスケア
CARR,Carrier Global,core,Building Products,資本財
CASY,Casey's,core,Food Retail,生活必需品
