code,name,bucket,sector,group
TRGP,Targa Resources,core,Oil & Gas Storage & Transportation,エネルギー
TRMB,Trimble Inc.,core,Application Software,情報技術
TROW,T. Rowe Price,core,Asset Management & Custody Banks,金融
TRV,Travelers Companies (The),core,Property & Casualty Insurance,金融
TSCO,Tractor Supply,core,Other Specialty Retail,一般消費財
TSN,Tyson Foods,core,Packaged Foods & Meats,生活必需品
TT,Trane Technologies,core,Building Products,資本財
TTD,Trade Desk (The),core,Advertising,コミュニケーション・サービス
TXT,Textron,core,Aerospace & Defense,資本財
TYL,Tyler Technologies,core,Application Software,情報技術
UAL,United Airlines Holdings,core,Passenger Airlines,資本財
UBER,Uber,core,Passenger Ground Transportation,資本財
UDR,"UDR, Inc.",core,Multi-Family Residential REITs,不動産
UHS,Universal Health Services,core,Health Care Facilities,ヘルスケア
ULTA,Ulta Beauty,core,Other Specialty Retail,一般消費財
UNH,UnitedHealth Group,core,Managed Health Care,ヘルスケア
UNP,Union Pacific Corporation,core,Rail Transportation,資本財
UPS,United Parcel Service,core,Air Freight & Logistics,資本財
URI,United Rentals,core,Trading Companies & Distributors,資本財
USB,U.S. Bancorp,core,Diversified Banks,金融
V,Visa Inc.,core,Transaction & Payment Processing Services,金融
VEEV,Veeva Systems,core,Health Care Technology,ヘルスケア
VICI,Vici Properties,core,Hotel & Resort REITs,不動産
VLO,Valero Energy,core,Oil & Gas Refining & Marketing,エネルギー
VLTO,Veralto,core,Environmental & Facilities Services,資本財
VMC,Vulcan Materials Company,core,Construction Materials,素材
VRSK,Verisk Analytics,core,Research & Consulting Services,資本財
VRSN,Verisign,core,Internet Services & Infrastructure,情報技術
VRT,Vertiv,core,Electrical Components & Equipment,資本財
VST,Vistra Corp.,core,Electric Utilities,公益事業
VTR,Ventas,core,Health Care REITs,不動産
VTRS,Viatris,core,Pharmaceuticals,ヘルスケア
VZ,Verizon,core,Integrated Telecommunication Services,コミュニケーション・サービス
WAB,Wabtec,core,Construction Machinery & Heavy Transportation Equipment,資本財
WAT,Waters Corporation,core,Life Sciences Tools & Services,ヘルスケア
WEC,WEC Energy Group,core,Electric Utilities,公益事業
WELL,Welltower,core,Health Care REITs,不動産
WFC,Wells Fargo,core,Diversified Banks,金融
WM,Waste Management,core,Environmental & Facilities Services,資本財
WMB,Williams Companies,core,Oil & Gas Storage & Transportation,エネルギー
WRB,W. R. Berkley Corporation,core,Property & Casualty Insurance,金融
WSM,"Williams-Sonoma, Inc.",core,Homefurnishing Retail,一般消費財
WST,West Pharmaceutical Services,core,Health Care Supplies,ヘルスケア
WTW,Willis Towers Watson,core,Insurance Brokers,金融
WY,Weyerhaeuser,core,Timber REITs,不動産
WYNN,Wynn Resorts,core,Casinos & Gaming,一般消費財
XOM,ExxonMobil,core,Integrated Oil & Gas,エネルギー
XYL,Xylem Inc.,core,Industrial Machinery & Supplies & Components,資本財
XYZ,"Block, Inc.",core,Transaction & Payment Processing Services,金融
YUM,Yum! Brands,core,Restaurants,一般消費財
ZBH,Zimmer Biomet,core,Health Care Equipment,ヘルスケア
ZBRA,Zebra Technologies,core,Electronic Equipment & Instruments,情報技術
ZTS,Zoetis,core,Pharmaceuticals,ヘルスケア
AAL,"American Airlines Group, Inc.",hot,,
ADPT,Adaptive Biotechnologies Corpor,hot,,
AEHR,Aehr Test Systems,hot,,
AEO,"American Eagle Outfitters, Inc.",hot,,
AGL,"agilon health, inc.",hot,,
ATAI,AtaiBeckley Inc.,hot,,
BHVN,Biohaven Ltd.,hot,,
BILL,"BILL Holdings, Inc.",hot,,
BMNR,"BitMine Immersion Technologies,",hot,,
CHRN,ChronoScale Holdings Corporatio,hot,,
CLSK,"CleanSpark, Inc.",hot,,
COAG,"Hemab Therapeutics Holdings, In",hot,,
COMP,"Compass, Inc.",hot,,
CWK,Cushman & Wakefield Ltd.,hot,,
DNTH,"Dianthus Therapeutics, Inc.",hot,,
ERAS,"Erasca, Inc.",hot,,
EROC,"ERock, Inc.",hot,,
FLYW,Flywire Corporation - Voting,hot,,
FRVO,Fervo Energy Company,hot,,
GLUE,"Monte Rosa Therapeutics, Inc.",hot,,
GPI,"Group 1 Automotive, Inc.",hot,,
GRAB,Grab Holdings Limited,hot,,
HL,Hecla Mining Company,hot,,
HTFL,"Heartflow, Inc.",hot,,
IMOS,ChipMOS TECHNOLOGIES INC.,hot,,
IOVA,"Iovance Biotherapeutics, Inc.",hot,,
IREN,IREN LIMITED,hot,,
JBLU,JetBlue Airways Corporation,hot,,
JOBY,"Joby Aviation, Inc.",hot,,
KRMN,Karman Holdings Inc.,hot,,
LASR,"nLIGHT, Inc.",hot,,
LCID,"Lucid Group, Inc.",hot,,
LEU,Centrus Energy Corp.,hot,,
LQDA,Liquidia Corporation,hot,,
MAAS,Maase Inc.,hot,,
MANE,"Veradermics, Incorporated",hot,,
MARA,"MARA Holdings, Inc.",hot,,
MBX,"MBX Biosciences, Inc.",hot,,
MD,"Pediatrix Medical Group, Inc.",hot,,
MESO,Mesoblast Limited,hot,,
MMED,"MiniMed Group, Inc.",hot,,
MNSO,MINISO Group Holding Limited,hot,,
NOK,Nokia Corporation Sponsored,hot,,
NU,Nu Holdings Ltd.,hot,,
ONDS,Ondas Inc,hot,,
OPEN,Opendoor Technologies Inc,hot,,
ORKA,"Oruka Therapeutics, Inc.",hot,,
OUST,"Ouster, Inc.",hot,,
PATH,"UiPath, Inc.",hot,,
PLUG,"Plug Power, Inc.",hot,,
PTGX,"Protagonist Therapeutics, Inc.",hot,,
PVLA,"Palvella Therapeutics, Inc.",hot,,
RAPP,"Rapport Therapeutics, Inc.",hot,,
RELY,"Remitly Global, Inc.",hot,,
RH,RH,hot,,
ROAD,"Construction Partners, Inc.",hot,,
SAH,"Sonic Automotive, Inc.",hot,,
SIND,Sinda Ltd.,hot,,
SION,"Sionna Therapeutics, Inc.",hot,,
SKHY,SK hynix Inc. - American Depos,hot,,
SKHYV,SK hynix Inc. - American Deposi,hot,,
SLS,"SELLAS Life Sciences Group, Inc",hot,,
SMG,Scotts Miracle-Gro Company (The,hot,,
SNAP,Snap Inc.,hot,,
SOFI,"SoFi Technologies, Inc.",hot,,
SOUN,"SoundHound AI, Inc.",hot,,
SPCX,Space Exploration Technologies,hot,,
SYRE,"Spyre Therapeutics, Inc.",hot,,
TALO,"Talos Energy, Inc.",hot,,
TRVI,"Trevi Therapeutics, Inc.",hot,,
VG,"Venture Global, Inc.",hot,,
WDS,Woodside Energy Group Limited,hot,,
WU,Western Union Company (The),hot,,
YMM,Full Truck Alliance Co. Ltd.,hot,,
Z,"Zillow Group, Inc.",hot,,
ZG,"Zillow Group, Inc.",hot,,
