rank,address,display_name,account_value,pnl_day,roi_day,vlm_day,pnl_week,roi_week,vlm_week,pnl_month,roi_month,vlm_month,pnl_allTime,roi_allTime,vlm_allTime
42,0x08e9c89f46dccee91bdb85c6532eb93a4c335efe,,34443630.24,2471180.919711,0.077291,0.0,2350047.926632,0.073225,0.0,2350047.926632,0.073225,0.0,2350047.926632,0.073225,0.0
43,0x123dbca6a27005a3c4ce10cb66ee8ece8fc13bff,,5717754.07,-476169.413493,-0.076877,1467529.34,257501.692623,0.039859,3025636.66,2301265.600517,0.370187,28272413.14,25304564.450691,1.384217,687481254.83
44,0xd3cb1823da2ff584dec3f49ef6a3eea51471e5bc,,7546704.54,0.0,0.0,0.0,1927816.015985,0.33524,0.0,2278623.470515,0.353356,0.0,9447626.383685,2.391635,94469.44
45,0x45d26f28196d226497130c4bac709d808fed4029,,30276267.57,-2103223.693489,-0.064955,0.0,-2368771.304115,-0.072561,1193330.09,2266632.64717,0.132895,4277143.68,76751579.163811,1.628632,681946267.22
46,0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,,1523397.42,-197956.82991,-0.115001,0.0,-139444.616874,-0.026344,8892029.39,2260418.419025,0.400543,25670540.32,11860645.650045,1.016867,525247044.2
47,0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,,22618319.46,1060724.282615,0.049204,6689410.99,1681224.339879,0.080298,8647683.64,2203733.180896,0.144774,73010479.95,69808227.038698,2.734335,4745189913.65
48,0xcf5343ba750a6e30afbb1dadda08bc78f8c8ee11,,13276169.33,-590727.635202,-0.0426,1456107.14,-724751.874358,-0.051765,5705285.55,2179053.720027,0.340994,68625099.95,3276164.726492,0.327616,97120468.57
49,0x66f889094739dbb7d20aa60f645acd88feba75a9,,1632853.74,76879.51697,0.049409,0.0,73710.495678,0.047276,0.0,2141436.761657,0.613343,376281671.08,-339915.325214,-0.056911,1443243033.64
50,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,,100534884.09,8405936.746586,0.091241,48278.64,7731798.449458,0.083305,13449548.12,2126537.368713,0.139447,60121820.68,2048957.256521,0.019601,2072764896.22
51,0x7945772aa99d08bf90e91ff1e8e77d3c11c2a7e6,,222.46,0.0,0.0,0.0,9786.67,0.106981,3471810.22,2124385.54,2.12601,455099220.02,1885575.67,1.523026,497899518.35
52,0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,,17529812.75,703627.622962,0.041817,37985249.5,376286.410257,0.021872,81771546.91,2072602.277364,0.275998,809071863.56,19202610.316596,6.371695,9834456009.69
53,0x51f63885534cb494f4592a0311551f369bff2b39,,4109050.59,54605.280054,0.012923,4670662.97,405017.521262,0.091776,18697124.17,2070556.074001,0.390613,136779733.28,-1709859.773008,-0.188286,1534951984.61
54,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,100067232.73,-2044157.818802,-0.019898,355893507.0,-4556650.185469,-0.043427,1746150602.67,2003744.773771,0.017992,9781624644.55,220077295.625382,2.18035,269239846926.01
55,0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3,,12740963.02,134220.25601,0.010645,283689715.0,381926.544691,0.028032,1746184936.47,1989407.519605,0.461888,6121017074.61,11062036.51457,0.97389,70676736628.36002
56,0xd8c5228c515db3043dfa0c8cd6f22450ee9a99b0,,18186209.38,-49527.481189,-0.002716,3099826.34,-177441.675338,-0.009293,24126814.39,1875884.843631,0.103983,147917731.94,5643333.588707,0.395389,387731276.31
57,0xad227f63d34e7251c1d0ab65e64eeea07aee4e44,,4342159.99,-194791.547966,-0.042933,2966901.88,-206601.042049,-0.045417,34503636.08,1867934.468205,0.963907,306025979.77,3384707.322305,1.977633,574121623.74
58,0xb798aef79972ce8f73d47b9ebbcda6bbb7ec4fbf,lmlmlm,8820708.67,-108893.157942,-0.012194,3060249.57,-314794.770311,-0.033433,14664839.67,1836040.173647,0.141342,33816162.43,9906041.095756,1.469249,252534794.94
59,0x4c78a97cef589b01bb91dbf893fffa14243d2444,,10828597.65,-1346090.486305,-0.110565,3832390.18,3302998.785029,0.286805,21167813.5,1778159.814985,0.127463,64550979.4,-4510399.3179,-0.222857,132439347.77
60,0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,,13551130.09,315677.450607,0.02385,4645857.1,1038281.352465,0.06549,20254960.03,1769842.128139,0.588799,78429305.42,23114357.397967,4.755701,729446159.42
61,0x48d826da83e69844f2f84b2db50703a933d137a2,,6340675.3,-874353.68371,-0.121182,3132635.74,-8371.115636,-0.001188,8638195.36,1769028.286117,0.461772,55164293.86,4460158.241352,0.757985,1114956672.16
62,0xa65ce1d604fa901c13aa29f2126a57d9032e412b,,12237526.45,317041.029667,0.026596,0.0,-435888.92764,-0.034394,0.0,1755102.11665,0.167431,21452450.33,9498683.051442,1.365287,254901655.49
63,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,30242529.88,-196767.512069,-0.006464,161079.82,-433844.010005,-0.013077,9258833.71,1734745.394708,0.048129,49952395.04,181371075.176718,0.560933,4282620687.56
64,0xaeaab54bbf65bfd6efed7d2eb68372298e3c2416,,9168804.54,68200.355146,0.007494,123530394.12,-2602709.440757,-0.221102,440098537.03,1720418.914288,0.230979,634200469.73,1720418.914288,0.230979,634200469.73
65,0x007c20e5c339015c924735cf76cb092bc5d9bacc,,5199094.79,-811594.862053,-0.135023,3679570.78,919116.60756,0.180926,33268737.12,1681424.184885,0.307775,193179153.69,1278944.717115,0.137964,323065004.23
66,0xd67ca2c6f8bc84acf4fa4472b82a8740dc0a53ff,,3122469.95,-40595.180716,-0.012244,35812542.09,-231010.455457,-0.064618,43627126.32,1656474.66803,0.873273,393782335.33,2988287.108346,1.939905,943876294.42
67,0x484bc1608211d0604bf70bae72792a56884562f8,,19892222.41,649969.575317,0.033777,1172545.54,707093.237821,0.036856,7600708.19,1653463.421576,0.081896,43905945.08,4803036.089436,0.245801,50734457.44
68,0xf54ac7966dad594dc4952b3eccc8f77cd77fde92,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1653138.519445,0.28947,19405131.42,81646.570103,0.011211,32954307.51
69,0x91a9cadcd7e36cbe8ff604cb634307d7b7643f70,,4893772.49,-116976.395238,-0.023345,0.0,23972.667633,0.004923,0.0,1649238.977073,0.264186,2912074.47,1593753.485414,0.253049,9999044.67
70,0xf517639a8872e756ac98d3c65507d2ebc25cc032,NMTD -Thank you Jeff,8578050.6,977345.523299,0.128585,14808727.17,1270861.507393,0.173917,103765305.12,1617586.042567,0.268843,731480908.09,26627933.091434,35.84702,13592524648.22
71,0x610b8dd6b392d010c2b6ad8d121dfc09524cb613,,4113967.31,263111.211561,0.068325,0.0,679825.983585,0.197961,1099997.49,1595026.436182,0.811656,26271364.02,1594510.059476,0.81118,26278715.53
72,0xd62d484bda5391d75b414e68f9ddcedb207b7d91,,9044342.17,-167019.028783,-0.018132,0.0,-397770.922692,-0.042127,0.0,1583509.539461,0.212243,0.0,4734466.669675,1.098516,613773144.89
73,0xfd9415c5172f3ba22862870a7ff2de572cae1aab,,5808286.93,297146.6404,0.053917,0.0,2110774.470869,0.570863,0.0,1577422.026811,0.372837,0.0,1727202.882653,0.423222,10.84
74,0x49e96e255ba418d08e66c35b588e2f2f3766e1d0,,26812190.71,-236522.740055,-0.008432,100064460.9,-727176.669684,-0.023579,426227276.77,1572387.11933,0.071273,1513057686.26,4792539.797314,0.152991,1899319603.65
75,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,,20568058.35,-538486.928609,-0.014512,1738929.25,-923688.005902,-0.016066,14334854.05,1552701.363139,0.028223,81594297.84,41314619.509873,0.39026,934417303.55
76,0x3b883b85fd41b81ef23b6041248bc6ac0b1c04a7,,2612645.22,-2301.627912,-0.00088,5460740.65,-235103.933558,-0.059554,41926550.73,1539527.231143,0.635318,183475377.94,1164065.594541,0.502765,1836785168.06
77,0x38de32620cf96426b87274ad2331c95f6dab63bc,,10815707.51,847553.576231,0.085026,0.0,1031485.50935,0.105423,0.0,1530679.82432,0.164855,0.0,1530679.82432,0.164855,0.0
78,0x7839e2f2c375dd2935193f2736167514efff9916,,13178441.29,558291.448507,0.044144,988818135.09,918035.724964,0.069651,4478270411.440001,1515558.728302,0.22183,26499191628.360004,17655100.071053,2.21186,219653912001.58997
79,0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,,11477177.7,0.0,0.0,0.0,0.0,0.0,0.0,1507253.476329,0.151175,201321524.55,-3533474.09,-0.186266,981186916.63
80,0xa6ee1ed1ae80b8352603654b39f5e7b9bedd5078,,4824184.94,161695.542302,0.03468,66700813.82,479765.389662,0.110433,507007071.9,1507027.007314,0.454313,2405310515.19,1886637.428204,0.296922,7851083180.46
81,0x4cd80aa0ce4881eb8679eda1f6fbe3d89aec0f7f,,2121506.96,-55451.460197,-0.025472,0.0,106849.123945,0.053036,261839.32,1415379.22168,1.024698,11918506.86,2019677.463971,0.62202,151754100.93
82,0x0c349d9b92fbd172bbb5a17a9db0a673a6a10ad3,,1671764.74,358597.717693,0.273079,3229364.47,-24786.153903,-0.01461,18550709.68,1405844.736785,2.138634,153246082.98,2149894.25456,4.713715,290863750.12
83,0xe0ffc829349c88c159462942ad885f12130e7610,,8730822.54,383441.89573,0.051837,4316203.33,-1896716.780771,-0.195999,4316203.33,1384944.338901,0.21655,6369247.52,892448.984083,0.140272,115904288.6
84,0x5bba1df1bd0d44250246ef5b4697e9b847530dc4,,2211193.28,-5985.878424,-0.002476,0.0,226651.47128,0.092717,406187.45,1358587.02804,0.710332,14363669.46,921014.704817,0.391891,56687765.46
85,0x50a4d39bc020be2c86954eec2670541d300f8168,,5993214.92,121910.645908,0.020764,739988.12,50474.083078,0.008493,2801115.56,1336324.744797,0.286956,57202688.58,55856.868756,0.009408,106732822.23
86,0x71dfc07de32c2ebf1c4801f4b1c9e40b76d4a23d,VidaBWE,7532266.47,-115977.525056,-0.015164,0.0,67541.707872,0.009048,514414.96,1293451.795092,0.390088,5804071.55,14929555.410169,2.170357,212721480.81
87,0x3bcae23e8c380dab4732e9a159c0456f12d866f3,,11081858.92,41792.339305,0.003786,149538673.72,157723.613073,0.014438,385063356.23,1268469.464736,0.129259,1140480871.52,10725228.631152,21.468541,35036938744.51
88,0xd05808946809c180d190608e13f473db30aa8524,,1898443.33,75886.180785,0.041637,672609.21,163527.535646,0.094257,5655536.08,1260986.104054,1.97815,22704511.91,1625724.27802,5.961169,40926168.78
89,0x42b6d907f36255d48f70db8b4a2684088a162634,,4483247.12,-233420.333299,-0.049488,0.0,-298193.105529,-0.082148,0.0,1254148.192317,0.603654,499871.6,18558422.611682,7.660268,198957300.93
90,0xc6758a779bccee1ef0190dbe8292fdf44076795d,,2003975.38,-92771.183404,-0.044245,0.0,-172129.812119,-0.0791,0.0,1249376.693772,0.488271,28249260.71,4725373.657,13.188428,266309031.6
91,0x9c89f595f5515609ad61f6fda94beff85ae6600e,,10757057.25,364593.928085,0.035083,0.0,1972280.734934,0.224511,0.0,1237241.341722,0.148951,0.0,-4929244.293184,-0.340585,444375109.71
92,0x6df99d59cdada18ade521e05edd5e6a2ec91b734,,6926968.61,-252172.75029,-0.035125,0.0,-291281.46856,-0.040353,0.0,1228093.308022,0.11252,18030168.78,9281972.284021,0.455553,108581394.07
93,0xaf2896f9de201cf15d0bef9a8e643627ad2253b2,,6449820.6,448136.703689,0.074668,0.0,540438.649962,0.091454,0.0,1210867.170319,0.231128,0.0,1210867.170319,0.231128,0.0
94,0x42bc06d636e9a9a93edb1ddf781ee97821a73946,,2507747.15,186228.7057,0.080218,15203713.49,429766.627258,0.206819,60454083.77,1205967.646993,0.926399,250189387.55,1057748.1517,0.729482,269097202.6
95,0x350e33a777d510616fbdb483d1de3b50d1edfcfb,,3889701.68,-127864.427719,-0.031826,20784739.03,-976365.588476,-0.184426,156988761.28,1200203.57525,0.726681,335350435.56,15441201.358953,114.5296,5163565484.57
96,0xe867fbdad3291530e41530301ecb77693850c78e,,73258663.04,3359938.110604,0.048069,19559884.48,3684019.638066,0.052951,36365859.65,1193245.452669,0.301217,168350881.02,49672450.279573,2.105995,1183710483.59
97,0x1116b5fcc070945062e8879841c29807db373d0d,,1068852.93,4585.614726,0.004309,0.0,310442.519507,0.133643,41681547.86,1179281.196,0.355601,294010328.05,1770173.98902,0.649506,638092836.08
98,0x0c4a3a7ac74d43732f9b5ea507f01ab72a381b19,,3156568.84,630704.826726,0.249699,601258.06,961449.287573,0.437994,10989906.95,1143571.005964,0.568094,19705124.89,1143571.005964,0.568094,19705124.89
99,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,,11287852.08,534924.627478,0.049747,2106463.4,1715221.119965,0.17918,14908669.62,1140312.820956,0.151527,92564389.89,-4252762.701735,-0.15768,2751728210.08
100,0x591540f231055743a37f691c3ffd50e4e53561ab,,6967928.58,460472.655819,0.070761,0.0,548283.877833,0.085407,0.0,1133913.414443,0.054455,0.0,17772149.607054,0.802245,0.0
101,0x8372e5a546ce84e32d638a7934da41018f75ba8c,,28022975.93,1974531.609834,0.075802,0.0,1755485.18618,0.066831,0.0,1129935.736858,0.041993,0.0,4876589.571078,0.21055,0.0
102,0xc59498175d6d317642aeb97f895a7ce1aa992191,,5950113.03,-385813.607168,-0.060893,0.0,-582124.644125,-0.089116,0.0,1122762.351461,0.232584,499811.66,35684213.534465,7.105719,185959540.58
103,0x2d23b731e5f04996a2dfdbe434c7d922afdb5e00,thank you JEFF,7594946.85,-214449.776636,-0.027459,26710652.91,-1401847.68162,-0.155809,77655610.24,1122384.075146,0.179708,268447747.1,20455581.782312,3.088688,2684412344.15
104,0xb1ec7febea4f841d525785955b7fe0e812d6e86a,,5792978.5,541061.25278,0.103022,5333312.06,558390.257589,0.106673,54767526.9,1105283.143506,0.431592,401758335.79,-2012747.075456,-0.24577,3751965144.03
105,0x53517267db72fca16edf4260eadb71d229c78f8d,,6906604.99,479156.990579,0.074549,0.0,539389.208338,0.084714,0.0,1089406.402807,0.187273,0.0,1089406.402807,0.187273,0.0
106,0x5c26dfc723e7a1da7b6c3bd5cbd72716d09425c2,,3000228.52,33553.653492,0.01131,33810.79,183612.696695,0.065189,6303221.89,1086860.983602,0.37532,86575199.69,-2787294.781005,-0.354986,196747427.84
107,0x35270069b7a3c6d8c2caf73965f07a8a8b051e16,,13238165.07,1040955.476736,0.085344,0.0,1265900.87903,0.105736,450.23,1081222.846169,0.088939,531.84,1081222.846169,0.088939,531.84
108,0x72774e2fe1992d5da8c6e9cef73fd2ab980c0b98,,1911249.48,9667.776111,0.018214,0.0,-197911.180921,-0.093834,10929106.99,1077652.715641,0.698255,102046412.34,-250676.138705,-0.087294,264149888.13
109,0xbcd420d13362532756c968f663f96ba95e240dd2,,4710716.67,-425489.577385,-0.082841,20855412.2,65833.03819,0.014173,64754893.94,1076677.593563,0.144831,231082174.83,6502390.324333,1.041358,1167173980.47
110,0x4f7634c03ec4e87e14725c84913ade523c6fad5a,,3563065.35,-902057.846688,-0.202023,0.0,-849926.086439,-0.192596,3669686.68,1074772.492243,0.150249,43687411.12,41620826.18117,1.393164,356861589.26
111,0x6bb971430554e3af58fbd469bce46ab2359a2d23,,3726637.31,-880715.944721,-0.191154,0.0,55339.322719,0.015074,6276792.14,1065153.015877,0.354553,33425715.12,3789380.983587,1.169496,161951159.76
112,0x9cc53c5af67fb83a16cc41f61e242bade875ab3d,,2147159.24,-322059.28232,-0.130428,0.0,-285726.483417,-0.117439,333556611.14,1063449.859919,0.343735,698888082.13,1381852.45504,0.461728,1368012329.26
113,0xae6446c95cc4e455e9cf56f28757ab728d88e81e,,10744554.92,-247970.018868,-0.022558,20827860.67,-429201.839904,-0.038412,100331243.9,1041547.2938,0.093846,719082924.86,4561014.526742,0.399295,6359378073.48
114,0xfc98b6ec7f59ea13354bae6171a9120692fb8777,,1242327.96,-100431.133753,-0.074795,5612260.42,69144.268952,0.050353,22015391.41,1036066.867389,1.143228,115532632.79,1194737.873729,1.505196,911269121.04
115,0x960b6c2c4b1498681b8422eb572a8b3a6aa3f0fc,,16909181.64,740143.599934,0.045775,3610227.74,1236977.609122,0.078928,6643031.57,1033296.164275,0.065006,81468276.5,-7244772.378534,-0.299701,635800945.69
116,0xd5c7757d91cbd59543c8ef64738d806e57d2212b,,0.0,0.0,0.0,0.0,-465204.921803,-0.208665,82759964.29,1024897.558909,0.115947,266240510.79,1004820.500002,0.112881,315839516.05
117,0xf02d16a272a842f8bac1d9a9e773aba1933454c6,,20014652.85,267120.992523,0.013527,1213929.49,649576.929557,0.030404,21252376.12,1015810.051567,0.048375,98931576.54,3520295.723317,0.190344,476661156.11
118,0x364a45829e8ce2940d8cff911076d8dec40b2e73,,11427.89,0.644868,5.6e-05,0.0,1011429.68579,0.168572,21212568.96,1011429.68579,0.168572,21212568.96,1011429.68579,0.168572,21212568.96
119,0x5986347c1d0133d02d307f08bb1efd44c2eb89d9,,3299601.85,491831.156874,0.175168,0.0,898887.4234,0.374425,105127274.63,989880.916748,1.691675,553634398.24,1532658.303068,2.932717,2942216536.79
120,0xaa3d56e9695f75eecd6e3e78546154b727147b8a,,8965970.0,622960.0,0.074668,0.0,751270.0,0.091454,0.0,988390.01,0.123896,0.0,988390.01,0.123896,0.0
121,0x25882e0ad0a1a88f849d5622a759fb5ebe17f726,,6893283.77,455519.957519,0.070757,0.0,523355.941897,0.08216,0.0,974670.066002,0.164679,0.0,974670.066002,0.164679,0.0
122,0x6355f7cf36b24044cd5b089a845113327d0ee58e,,13477533.72,-412253.499329,-0.02968,78936719.26,-378020.202593,-0.022972,316717813.03,965407.470733,0.023195,1263628938.31,6706708.077894,0.167933,6138652065.26
123,0xdb6f5c58bb13d8aa101b0a5d1a70f737b5d1cd1c,,115291.33,1467.311765,0.012891,0.0,5320.166885,0.048378,57015.73,965186.53931,0.128518,39672168.13,965186.53931,0.128518,39672168.13
124,0xdcac85ecae7148886029c20e661d848a4de99ce2,,18678000.03,-615034.26705,-0.030723,24301408.54,-959041.805544,-0.041671,297565762.35,960630.993943,0.113016,1693001033.7,24453492.215482,0.752696,38788959144.18999
125,0x2025137a136bea7446deba681cbfc7cf1970840e,,5747087.54,58420.901634,0.01027,1489601.83,164018.641624,0.029378,12626652.74,956109.888469,0.177354,314445712.0,12840219.482148,3.560143,13799583621.03
126,0x8cc94dc843e1ea7a19805e0cca43001123512b6a,,5969672.53,-561335.231362,-0.085949,760475.1,-1497907.961343,-0.200588,3057890.91,956017.102247,0.150954,31012075.88,22380402.245674,1.02306,1531964076.3
