rank,address,display_name,account_value,pnl_day,roi_day,vlm_day,pnl_week,roi_week,vlm_week,pnl_month,roi_month,vlm_month,pnl_allTime,roi_allTime,vlm_allTime
1,0xe6111266afdcdf0b1fe8505028cc1f7419d798a7,,1002142251.36,87107125.264694,0.095195,0.0,941788.696778,0.000941,0.0,128214318.425868,0.146575,0.0,-500.0,-0.05,0.0
2,0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,,24192534.56,-323655.510845,-0.013201,3037585.38,643724.591453,0.027335,85483542.75,14951809.783213,0.432252,502500056.93,8243318.905157,0.195486,3838742112.09
3,0xfc667adba8d4837586078f4fdcdc29804337ca06,,73707832.41,-353265.593488,-0.00477,224772355.89,-533669.262877,-0.007188,1103458944.74,13040980.844305,0.145011,7392924791.77,33607858.915196,0.333762,36620988670.85
4,0xb3bd5fafb3dcb7ff0d27a6dcdb1974a2f8ac221d,,71364867.5,4289275.3653,0.063947,0.0,5028661.7582,0.075806,0.0,12147216.5992,0.205128,0.0,12147216.5992,0.205128,0.0
5,0x8cfac7c6f03e00db2f298699df96933a9694b6ab,,9769447.01,0.0,0.0,0.0,0.0,0.0,0.0,9105144.993787,13.706334,0.0,10097954.536344,100979.545363,0.0
6,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,39550054.47,-233713.857786,-0.005875,43393153.21,-1488391.827292,-0.036268,234648476.26,8122353.764747,0.147617,1525451291.61,185646667.948887,2.979863,13937870029.34
7,0x4e23288cee4960f9f962195c22948e4bc7ae20c3,,24999231.15,-278666.153258,-0.011024,107598192.88,6586600.17716,0.357722,360750578.79,8047649.50919,0.474743,2211402953.17,11658684.912154,0.86675,3557621373.86
8,0xfe7ce058edc7cfcde9ef8262ba51f8d4796ab7ae,,17005259.63,-1110253.919026,-0.061287,26949460.36,274949.726744,0.016434,57216444.96,7503091.735412,0.270849,163356456.59,5794400.474743,0.197016,232039241.9
9,0xebe126adabe1a8f08d3ce53b45e7cc994ca14070,,18226146.23,-1582381.358914,-0.079884,4144608.04,2414907.979826,0.152734,6575214.03,6943915.654466,0.615474,40774777.29,-1855413.779833,-0.054307,251345106.97
10,0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,,16142020.89,-766294.62023,-0.045321,50013998.18,-2540722.235266,-0.107019,385398430.48,6542373.607311,0.254987,1886868723.97,6702568.50427,0.262872,2216270020.26
11,0xa312114b5795dff9b8db50474dd57701aa78ad1e,,24526450.64,-180558.342665,-0.007308,10689931.02,-604814.488221,-0.022292,46233109.91,6039360.067905,0.473258,292290760.62,97170042.618774,3.384891,1691843620.1
12,0x1ab185be5ff61f7b678d6a871d439307cd0752e3,,120404313.66,7181606.314497,0.063429,0.0,6038335.142702,0.052798,0.0,6038335.142702,0.052798,0.0,6038335.182702,0.052798,0.0
13,0x0ddf9bae2af4b874b96d287a5ad42eb47138a902,Penision Fund,23460969.11,-5024506.19659,-0.176388,0.0,-9595677.67705,-0.29028,0.0,6019395.260338,0.138563,438135073.2,41221535.467128,1.373573,11907866871.72
14,0x0ad9e656d9e6211d0ea1c5462342e1fc94cc4cbf,,10293363.83,93239.023755,0.02545,14013210.44,2141508.809665,0.132586,70920459.01,5293367.04092,0.264668,247703348.64,5293367.04092,0.264668,247703348.64
15,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,93617423.85,-563868.787333,-0.005987,3038250.8,-558921.473973,-0.005935,8854064.87,4966157.287216,0.253675,128383739.94,131638691.168512,0.927865,4055606638.23
16,0xefd3ab65915e35105caa462442c9ecc1346728df,2 frères 2 fauves,74143.34,-3085.416517,-0.039849,0.0,5984.27041,0.087334,3366.79,4776732.210879,0.190259,549847840.85,-3518141.046241,-0.103384,22762490669.05
17,0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,,10376530.01,-323105.357804,-0.030198,1799552.6,-340047.428466,-0.031731,22962605.29,4711031.203951,0.83153,427488601.37,23823603.997154,69.092625,8762653159.18
18,0xcf90cfecf74e631feea816d02e757c0c8e895c0e,,14571681.96,-596552.491905,-0.039329,0.0,-1058849.449394,-0.067742,0.0,4656706.188376,0.469664,0.0,3428538.299983,0.307681,939019810.81
19,0xf822fa0fd364c573fcdb7009fcf47601bc8be01a,,41763177.5,-4392092.790268,-0.095159,5204635.79,-5287612.666003,-0.112381,73453118.8,4516082.673854,0.121247,235039538.18,7462881.045045,0.217575,269724578.07
20,0x6315c7d325ea3508ad503f197d1671e097d0074a,,17380051.44,3021991.23215,0.210474,0.0,4236901.824722,0.322366,0.0,4416255.829715,0.340661,43032744.92,4380051.443022,0.336927,43875909.55
21,0xa31441e058492bc7cfffda9aa7623c407ae83a81,,14832211.83,-501346.152418,-0.032696,14568839.98,1463543.463435,0.109476,48889008.97,4338044.658372,0.432264,373731222.41,10269310.519031,1.166263,1109331363.21
22,0x60a8c761f39696b3b419f31dcda20b405cb685f6,,32570334.67,-244136.728866,-0.00744,0.0,434588.499957,0.013524,1083234.27,4177633.86327,0.292196,16719468.48,3659124.787528,0.246973,62158169.5
23,0x152e41f0b83e6cad4b5dc730c1d6279b7d67c9dc,,17146446.85,625441.562096,0.037857,19714021.54,-154130.477072,-0.008909,127531265.93,4118611.506247,1.616991,577449977.24,28019690.23888,2.836316,4500900430.48
24,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,28549477.69,2093168.627593,0.079105,0.0,2048796.85654,0.063034,0.0,3999453.932518,0.110168,0.0,32168896.762601,0.323425,0.0
25,0x64a4fbb71858f681f3fa10a42b34180a9a48088d,,21401599.25,-413466.235784,-0.018953,2041240.26,244061.846551,0.01096,38661978.02,3971156.533324,0.195249,249166128.53,2092720.904653,0.059119,1565993222.52
26,0x32008fcb6bbd16532afc83ca8b6c920dde22c407,,14388367.9,466810.647005,0.033292,22529766.22,3022728.997104,0.256912,48492156.81,3649187.053088,0.261935,415930040.46,-3096274.343607,-0.14479,2870247152.95
27,0x9cd0a696c7cbb9d44de99268194cb08e5684e5fe,,487227.55,156078.279293,0.471323,0.0,729439.470057,0.397256,0.0,3288362.987811,0.368754,167.1,12330510.059972,123305.1006,167.1
28,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,,38920819.19,90185.806295,0.002293,6788641.13,3174111.030692,0.086969,109975100.63,3170170.00249,0.561303,312297061.42,43845295.178356,12.182702,2373628389.86
29,0x3dc908374e11623d8eb9f07dfc7a2e5e803a54b0,,22995362.22,18942.632195,0.000824,3195729.27,633914.696521,0.028349,8366271.35,3161696.196412,0.373139,40604482.55,4795064.044893,0.138913,57511528.12
30,0x251f933e62283b6178d6f8c5629859dfa8b96e5d,,21562329.29,1488081.170453,0.074129,0.0,1770473.917839,0.089455,0.0,3146897.404523,0.170884,434419.33,2997369.502212,0.161453,481337.44
31,0xd47587702a91731dc1089b5db0932cf820151a91,,53377923.56,-2930102.74358,-0.050863,3607037.38,-827242.098455,-0.013259,33974838.56,3062314.658134,0.040373,181881260.45,84887304.471741,0.679481,4914975587.08
32,0x091159a8106b077c13e89bc09701117e8b5f129a,,9172898.2,183957.53422,0.020465,13113385.14,-148328.26495,-0.015913,22617417.66,2980239.954042,0.481254,443576546.3,10506661.779426,2.059807,1210682875.19
33,0x987f82a4a19848eaac4fe0be550d1eb4e1518573,,34543626.68,2706911.311776,0.085025,0.0,2477762.221191,0.077271,0.0,2949537.03305,0.093357,0.0,2949537.03305,0.093357,0.0
34,0x92ea19eceb7a8de0f50978a1583a5d8b018050e9,,64580953.67,1028481.345129,0.016183,10283.66,1915116.520368,0.030559,6155477.63,2939794.117682,0.04769,100974227.62,-5417159.828718,-0.077387,244228812.8
35,0x7fba7e745bd97f828c824589680749b55a8c04ab,,7221903.56,2132722.770979,0.41907,93902693.3,2881225.62908,0.663773,194588746.6,2881225.62908,0.663773,194588746.6,2881225.62908,0.663773,194588746.6
36,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,,9886958.91,-220168.735246,-0.020186,5037589.53,-414280.86337,-0.037318,44960657.7,2847263.084638,0.137053,448680775.33,8784525.665725,0.414713,2141109588.78
37,0x87f9cd15f5050a9283b8896300f7c8cf69ece2cf,,80855046.04,-1638583.82502,-0.019851,848036418.36,-970134.87942,-0.011709,5643739472.649999,2809606.570719,0.039712,31986212951.299988,76648353.658083,0.460403,538975356885.6801
38,0xa445a0a15b1d50fa0c4bfe6796d9447e0da5329d,,15408603.52,1347327.506443,0.095818,0.0,1624831.283064,0.116634,248255163.03,2786978.421311,0.214386,1035992761.27,9324176.100003,1.051588,2818386363.15
39,0x9dcf1c87b82a35519a430457c1157f21e68f302d,,11847019.95,0.0,0.0,0.0,-4374276.136523,-0.196603,46981696.48,2702875.692407,0.178147,201379824.64,2702875.692407,0.178147,201379824.64
40,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,,18317714.82,18986.689786,0.001037,444591481.6,-134423.96858,-0.003692,1790087435.71,2403975.544938,0.060914,10952510809.46,-10333789.096418,-0.190188,93317251952.79999
41,0x6eba10acaaf584f662691a13795aef5741287359,,34055030.17,2031238.020201,0.063429,0.0,2085401.259872,0.065231,0.0,2368075.069397,0.074733,0.0,5074603.909823,0.175105,0.0
