address,coin,szi,entry_px,position_value,unrealized_pnl,leverage,leverage_type,liq_px
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,BTC,8.2969,60809.8,514283.3465,9750.488626,3,cross,
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,ETH,-65.4506,1618.67,114067.30568,-8124.248068,3,cross,38077.281924152
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,SUI,-32426.2,0.71554,24332.296218,-1129.798879,3,cross,71.9942464664
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,WLD,-468804.0,0.41137,198243.14748,-5387.060264,3,cross,5.3506597342
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,NEAR,188967.9,1.95676,377066.54766,7300.534983,3,cross,
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,FIL,-2335.8,0.77829,1842.152028,-24.222246,5,cross,944.8591810896
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,WIF,-4304.0,0.173562,759.61296,-12.59794,3,cross,512.5277732625
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,HYPE,2858.58,68.8084,197459.27208,764.783435,3,cross,
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,TRUMP,473.7,1.73415,831.95931,10.4882,10,cross,
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,PUMP,1026658.0,0.001408,1623.146298,177.390627,3,cross,
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,XPL,714963.0,0.097226,73805.63049,4292.229748,3,cross,
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,WLFI,1285182.0,0.058652,73655.065602,-1724.319385,5,cross,
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,ZEC,-48.13,413.585,22150.8699,-2245.022305,3,cross,48458.7244639617
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,MON,-11570.0,0.019096,238.08746,-17.144423,3,cross,190.6134840641
0xfc667adba8d4837586078f4fdcdc29804337ca06,BTC,-167.03146,60902.7,10353612.0795600004,-180932.681655,20,cross,138073.4934620559
0xfc667adba8d4837586078f4fdcdc29804337ca06,ETH,-5950.5697,1638.58,10370057.8161900006,-619538.781294,20,cross,3862.7586144959
0xfc667adba8d4837586078f4fdcdc29804337ca06,SOL,-82879.43,76.7309,6744479.3751100004,-385060.771699,20,cross,232.8502576392
0xfc667adba8d4837586078f4fdcdc29804337ca06,XRP,-263884.0,1.086483,292541.8024,-5836.124049,20,cross,48.6825993838
0xfc667adba8d4837586078f4fdcdc29804337ca06,HYPE,17116.96,63.5832,1182354.0120000001,94001.80079,5,cross,
0xfc667adba8d4837586078f4fdcdc29804337ca06,PAXG,149.729,4133.869,625283.2769000001,6323.081856,5,cross,
0x7fdafde5cfb5465924316eced2d3715494c517d1,BTC,-784.37269,60595.3,48631891.1526900008,-1102566.5400439999,20,cross,88553.0137520938
0x7fdafde5cfb5465924316eced2d3715494c517d1,ETH,-15807.3096,1657.92,27553721.3637599982,-1346379.361724,15,cross,3050.9466647799
0x7fdafde5cfb5465924316eced2d3715494c517d1,SOL,-86955.88,79.8862,7078643.4113999996,-132062.010769,20,cross,317.9926881112
0x7fdafde5cfb5465924316eced2d3715494c517d1,AVAX,-365222.69,13.2086,2518137.403012,2305955.0041060001,10,cross,61.5590851893
0x7fdafde5cfb5465924316eced2d3715494c517d1,BNB,-1553.193,763.004,880210.00503,304883.966135,10,cross,12971.0675115268
0x7fdafde5cfb5465924316eced2d3715494c517d1,LTC,13.43,96.343,584.6079,-709.279721,10,cross,
0x7fdafde5cfb5465924316eced2d3715494c517d1,DOGE,-34968449.0,0.103743,2647531.2106880001,980233.876106,10,cross,0.6464766841
0x7fdafde5cfb5465924316eced2d3715494c517d1,kPEPE,106434.0,0.003678,273.322512,-118.14174,10,cross,
0x7fdafde5cfb5465924316eced2d3715494c517d1,XRP,2026767.0,1.091213,2247076.5729,35441.779032,20,cross,
0x7fdafde5cfb5465924316eced2d3715494c517d1,WLD,-56580.3,0.98736,23926.111461,31939.511186,10,cross,355.2815491567
0x7fdafde5cfb5465924316eced2d3715494c517d1,ADA,-26179.0,0.549523,4422.41847,9963.562994,10,cross,767.1538055029
0x7fdafde5cfb5465924316eced2d3715494c517d1,WIF,-1226.0,0.784313,216.37674,745.19198,5,cross,16377.8993607222
0x7fdafde5cfb5465924316eced2d3715494c517d1,TAO,-1034.415,259.298,223661.2113,44561.032953,5,cross,18748.4407873251
0x7fdafde5cfb5465924316eced2d3715494c517d1,ENA,209641.0,0.131656,16287.00929,-11313.611809,10,cross,
0x7fdafde5cfb5465924316eced2d3715494c517d1,POPCAT,-4674.0,0.215958,228.610014,780.780287,3,cross,4295.9598402783
0x7fdafde5cfb5465924316eced2d3715494c517d1,GOAT,-327719.0,0.478596,4807.310011,152037.812657,3,cross,58.5099261127
0x7fdafde5cfb5465924316eced2d3715494c517d1,HYPE,164496.12,64.4423,11362404.9928799998,761893.802552,5,cross,
0x7fdafde5cfb5465924316eced2d3715494c517d1,PENGU,129017.0,0.028211,877.3156,-2762.382987,5,cross,
0x7fdafde5cfb5465924316eced2d3715494c517d1,FARTCOIN,-1288530.8,0.19139,227116.438808,19505.121533,10,cross,15.7511881277
0x7fdafde5cfb5465924316eced2d3715494c517d1,PUMP,317374.0,0.001716,502.085668,-42.56939,5,cross,
0x7fdafde5cfb5465924316eced2d3715494c517d1,XPL,645.0,0.11772,66.6672,-9.2622,5,cross,
0x7fdafde5cfb5465924316eced2d3715494c517d1,LINEA,-126660.0,0.027679,314.87676,3191.016999,3,cross,142.7040349091
0x7fdafde5cfb5465924316eced2d3715494c517d1,ASTER,1110116.0,0.633802,713271.73232,9677.95676,3,cross,
0x7fdafde5cfb5465924316eced2d3715494c517d1,ZEC,-9754.22,408.8477,4491037.9724000003,-503047.108406,10,cross,2497.9955298893
0x7fdafde5cfb5465924316eced2d3715494c517d1,MON,-15613.0,0.031901,321.331153,176.74135,5,cross,1227.8440079981
0x7fdafde5cfb5465924316eced2d3715494c517d1,LIT,-1393825.0,1.715019,2877272.9474999998,-486836.54008,3,cross,15.817825131
0x7fdafde5cfb5465924316eced2d3715494c517d1,XMR,-19941.649,339.891,6396283.9167499999,381704.538188,5,cross,1282.0550137288
0x4e23288cee4960f9f962195c22948e4bc7ae20c3,BTC,0.008,61129.3,496.008,6.973595,9,cross,
0x4e23288cee4960f9f962195c22948e4bc7ae20c3,SOL,12.71,82.02,1034.67026,-7.804086,20,cross,
0x4e23288cee4960f9f962195c22948e4bc7ae20c3,WLD,8496.2,0.3551,3592.873056,575.822967,10,cross,
0x4e23288cee4960f9f962195c22948e4bc7ae20c3,NEAR,720.1,2.45179,1436.81553,-328.722077,10,cross,
0x4e23288cee4960f9f962195c22948e4bc7ae20c3,ALGO,-1.0,0.115321,0.088059,0.027262,5,cross,16692952.5241390914
0xfe7ce058edc7cfcde9ef8262ba51f8d4796ab7ae,ZRO,-83492.5,1.35623,74593.86935,38641.364393,5,cross,27.408452584
0xfe7ce058edc7cfcde9ef8262ba51f8d4796ab7ae,NEAR,-3164379.5,2.49267,6313886.4163499996,1573892.3156010001,10,cross,2.7282164243
0xfe7ce058edc7cfcde9ef8262ba51f8d4796ab7ae,HYPE,57.87,64.3662,3996.21285,271.337297,10,cross,
0xfe7ce058edc7cfcde9ef8262ba51f8d4796ab7ae,ZEC,-3314.99,410.0861,1525856.7471,-166425.2673,10,cross,1159.9077087731
0xfe7ce058edc7cfcde9ef8262ba51f8d4796ab7ae,AZTEC,-2459630.0,0.025469,35408.83348,27235.702166,3,cross,0.8630208491
0xfe7ce058edc7cfcde9ef8262ba51f8d4796ab7ae,GRAM,-609790.0,1.67325,1029630.415,-9299.0258,5,cross,5.3189405747
0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,BTC,-45.70065,61572.2,2833486.0006499998,-19594.037616,10,cross,153647.5533648852
0xa312114b5795dff9b8db50474dd57701aa78ad1e,BTC,-47.36462,61805.1,2936653.8046200001,-9277.44941,40,cross,186318.4010531255
0xa312114b5795dff9b8db50474dd57701aa78ad1e,ETH,-474.6385,1730.77,827342.3693500001,-5847.69301,20,cross,14057.631017637
0xa312114b5795dff9b8db50474dd57701aa78ad1e,SOL,-5069.81,76.139,412707.88305,-26697.50581,20,cross,1228.6745380315
0xa312114b5795dff9b8db50474dd57701aa78ad1e,SUI,-194787.7,0.74556,146207.64762,-981.066529,10,cross,29.9000377922
0xa312114b5795dff9b8db50474dd57701aa78ad1e,kPEPE,-245270497.0,0.00382,630099.9067929999,306914.868329,10,cross,0.0257187551
0xa312114b5795dff9b8db50474dd57701aa78ad1e,AAVE,-717.17,87.0009,62314.18413,80.2562,10,cross,8004.0522162959
0xa312114b5795dff9b8db50474dd57701aa78ad1e,WLD,-195060.2,0.42138,82506.563396,-311.01137,10,cross,29.531695893
0xa312114b5795dff9b8db50474dd57701aa78ad1e,ZRO,-275861.4,1.38634,246424.230006,136013.590805,5,cross,20.5403418134
0xa312114b5795dff9b8db50474dd57701aa78ad1e,NEAR,-131955.9,1.94771,263291.60727,-6279.16235,10,cross,45.0244631055
0xa312114b5795dff9b8db50474dd57701aa78ad1e,kBONK,-23924552.0,0.006122,107325.540272,39152.675506,10,cross,0.2418134093
0xa312114b5795dff9b8db50474dd57701aa78ad1e,MNT,-16835.0,0.67084,7350.4977,3943.176958,5,cross,322.3768171554
0xa312114b5795dff9b8db50474dd57701aa78ad1e,HYPE,-206204.64,69.2059,14235749.7316800002,34843.073491,10,cross,96.5725197819
0xa312114b5795dff9b8db50474dd57701aa78ad1e,PENGU,-605645.0,0.006825,4123.23116,10.748736,5,cross,8.9557190273
0xa312114b5795dff9b8db50474dd57701aa78ad1e,FARTCOIN,-179313.9,0.22064,31609.454292,7955.950809,10,cross,31.8411534082
0xa312114b5795dff9b8db50474dd57701aa78ad1e,PUMP,-532417415.0,0.001498,841751.933115,-44154.910345,10,cross,0.0122454745
0xa312114b5795dff9b8db50474dd57701aa78ad1e,XPL,-1929652.0,0.115232,199699.68548,22658.07974,5,cross,2.9781791134
0xa312114b5795dff9b8db50474dd57701aa78ad1e,ASTER,-518101.0,0.737633,332895.43553,49273.118962,5,cross,11.1035467112
0xa312114b5795dff9b8db50474dd57701aa78ad1e,APEX,-1119731.0,0.324533,326110.45644,37279.794971,3,cross,4.8549760665
0xa312114b5795dff9b8db50474dd57701aa78ad1e,ZEC,-2844.8,449.6455,1309689.024,-30537.3413,5,cross,2456.2854920667
0xa312114b5795dff9b8db50474dd57701aa78ad1e,MEGA,-159035.0,0.049686,7936.959745,-35.002159,3,cross,32.1821844826
0xa312114b5795dff9b8db50474dd57701aa78ad1e,LIT,-305465.0,1.551724,630785.225,-156787.641472,5,cross,19.8079925494
0xa312114b5795dff9b8db50474dd57701aa78ad1e,AZTEC,-5906738.0,0.025353,85033.400248,64723.349697,3,cross,0.8795362431
0xa312114b5795dff9b8db50474dd57701aa78ad1e,GRAM,-73421.0,1.687536,123971.3585,-70.722,5,cross,75.5074784818
0x0ddf9bae2af4b874b96d287a5ad42eb47138a902,ETH,-50000.0,1700.06,87160000.0,-2156650.8456430002,3,cross,2169.6843488721
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,BTC,0.62802,71584.6,38929.70376,-6026.911343,5,cross,
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,ETH,0.5563,1667.9,969.68653,41.83376,10,cross,
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,SOL,-733.91,91.5472,59725.5958,7461.838834,4,cross,25607.6694059729
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,AVAX,-0.41,6.5726,2.826622,-0.131856,10,cross,44604766.5559558719
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,APE,-0.1,0.15831,0.01449,0.001341,5,cross,174566809.5484090447
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,DOGE,-1.0,0.107181,0.075702,0.031479,10,cross,18287951.5370219052
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,LINK,-6.0,9.76609,47.157,11.439576,10,cross,3047999.7697199997
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,XRP,11459.0,1.394549,12703.4474,-3276.6922,5,cross,
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,HYPE,-867488.6899999999,66.2403,59910503.9087800011,-2447779.8060389999,5,cross,89.1852375034
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,FARTCOIN,-6803285.0999999996,0.2474,1198398.6703649999,484766.524148,10,cross,2.8642559948
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,XPL,-847101.0,0.108604,87624.12744,4374.50636,5,cross,20.8672705962
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,ASTER,3229.0,1.092741,2075.2783,-1453.182439,3,cross,
0xcf90cfecf74e631feea816d02e757c0c8e895c0e,BTC,-763.47463,68858.8,47327028.8390699998,5244923.9451299999,15,isolated,79829.9060988187
0xf822fa0fd364c573fcdb7009fcf47601bc8be01a,BTC,-748.24407,62135.8,46382153.4111599997,110664.059278,3,cross,109533.4554264108
0xf822fa0fd364c573fcdb7009fcf47601bc8be01a,ETH,-9405.5946,1699.72,16394891.9472599998,-407985.649923,3,cross,5497.6759995656
0xf822fa0fd364c573fcdb7009fcf47601bc8be01a,SOL,-138549.68,76.4317,11275034.4087199997,-685434.483352,3,cross,335.0191111561
0xf822fa0fd364c573fcdb7009fcf47601bc8be01a,HYPE,-645801.71,65.7525,44586795.8601099998,-2123669.4796779999,3,cross,119.7465445883
0xf822fa0fd364c573fcdb7009fcf47601bc8be01a,PAXG,-600.043,4192.472,2505839.5723000001,9823.961147,3,cross,58785.8350343301
0x6315c7d325ea3508ad503f197d1671e097d0074a,ETH,13340.6794,1615.28,23254138.2621399984,1705164.4935699999,20,cross,564.6182708735
0x6315c7d325ea3508ad503f197d1671e097d0074a,HYPE,366407.26,60.9353,25297123.6376600005,2969974.0814100001,10,cross,24.017276598
0x60a8c761f39696b3b419f31dcda20b405cb685f6,BTC,0.021,66618.6,1301.748,-97.243,20,cross,
0x60a8c761f39696b3b419f31dcda20b405cb685f6,FARTCOIN,0.1,0.13313,0.017613,0.0043,10,cross,
0x152e41f0b83e6cad4b5dc730c1d6279b7d67c9dc,HYPE,322061.04,66.4078,22240569.2392800003,853190.49941,5,cross,16.0862113296
0x32008fcb6bbd16532afc83ca8b6c920dde22c407,HYPE,-37859.2,66.0341,2614707.7888000002,-114708.53221,10,cross,280.1259574128
0x32008fcb6bbd16532afc83ca8b6c920dde22c407,ZEC,-18491.11,608.294,8519594.0214000009,2728437.631455,10,cross,892.8739745467
0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,AAVE,-92577.62,80.862,8047772.5066,-561751.763986,10,cross,266.8762727532
0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,WLD,-9772495.5999999996,0.45304,4134156.5386239998,293203.577308,10,cross,2.1459253287
0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,XPL,-18827416.0,0.093167,1947131.3627200001,-193029.242687,10,cross,0.9619325148
0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,LIT,4857913.0,1.295797,10021388.7277000006,3726519.1928039999,5,cross,
0x3dc908374e11623d8eb9f07dfc7a2e5e803a54b0,LINK,-200000.0,7.55579,1571660.0,-60501.582923,10,cross,47.3760938986
0x3dc908374e11623d8eb9f07dfc7a2e5e803a54b0,AAVE,-25930.8,73.2335,2254008.8591999998,-355004.835045,10,cross,391.7182516125
0x3dc908374e11623d8eb9f07dfc7a2e5e803a54b0,HYPE,-70000.0,62.8016,4834760.0,-438645.49653,10,cross,181.9759825673
0x3dc908374e11623d8eb9f07dfc7a2e5e803a54b0,VVV,-80000.0,20.519,1112240.0,529280.43411,3,cross,102.8180362718
0x3dc908374e11623d8eb9f07dfc7a2e5e803a54b0,PAXG,-0.454,4596.297,1895.7678,190.951109,10,cross,16921760.6625750884
0xd47587702a91731dc1089b5db0932cf820151a91,BTC,1.46541,73399.9,90839.30049,-16721.78127,20,cross,
0xd47587702a91731dc1089b5db0932cf820151a91,SOL,3933.05,86.2438,320059.80985,-19141.494033,20,cross,
0xd47587702a91731dc1089b5db0932cf820151a91,WLD,-3742729.1000000001,0.43177,1583436.4003369999,32582.857545,10,cross,3.4035620332
0xd47587702a91731dc1089b5db0932cf820151a91,UNI,-92150.0,5.38747,296925.73,199530.272611,10,cross,124.2767226817
