name,category,chains,total_24h,total_7d,total_30d,change_1d_pct,change_7d_pct
Collector Crypt,Physical TCG,Solana,305279,2766884,15511368,-12.57,-51.4
Binance Staked SOL,Liquid Staking,Solana,280023,1044318,3885284,4930.96,135176.81
ether.fi Liquid,Onchain Capital Allocator,Ethereum,266347,1621934,7736558,28.83,-4.91
Flashbots,MEV,Ethereum,264195,1303422,10455865,0,-50.4
BSC,Chain,BSC,263874,2344808,10383557,-4.54,-0.15
Centrifuge Protocol,RWA,Ethereum;Avalanche;Plume Mainnet;Base;Monad;Pharos,259006,1264807,4782388,11.16,-6.53
Bitcoin,Chain,Bitcoin,251817,1416854,6170670,17.37,26.84
Ondo Yield Assets,RWA,Ethereum;Solana;Polygon;Mantle;Aptos;Arbitrum;Sui;Noble;Sei;Stellar;XRPL,243677,1907649,5886767,-0.01,513.64
Jito Liquid Staking,Liquid Staking,Solana,237475,874447,3034245,,
Grove Finance,Onchain Capital Allocator,Avalanche;Ethereum;Plume Mainnet;Base,228429,1351881,4796388,5.63,3.92
Phantom Wallet,Wallets,Solana;Ethereum;Base;Polygon;Monad,222618,1459193,5096240,0.7,63.3
Aerodrome Slipstream,Dexs,Base,203414,1447615,7406584,-42.28,-33.69
GMGN,Telegram Bot,Ethereum;Solana;Base;BSC;Monad;MegaETH;Hyperliquid L1,203161,1330701,5082951,-8.56,27.48
Aster Perps,Derivatives,Off Chain,199652,1165855,6116255,5.77,-9.3
Spark Liquidity Layer,Onchain Capital Allocator,Ethereum,192003,1602162,7108178,-0.32,-2.44
Raydium AMM,Dexs,Solana,172434,1129271,4717401,4.2,7.74
DEX Screener,Coins Tracker,Solana;Ethereum;Base;Polygon,157720,839933,2931234,32.7,79.71
MEV Capital,Risk Curators,BOB;Avalanche;BSC;Sonic;Berachain;Ethereum;Hyperliquid L1,151180,965406,2805875,3.93,12.08
Orca DEX,Dexs,Solana;Eclipse,150572,1023690,4081112,-9.88,-2.85
Jito MEV Tips,MEV,Solana,147656,867885,2810423,6.74,70.46
Kamino Lend,Lending,Solana,144983,779229,3961931,0,17.83
Ripple USD,Stablecoin Issuer,Off Chain,144264,987625,4410881,11.12,-0.05
Curve DEX,Dexs,Ethereum;Polygon;OP Mainnet;Gnosis;Fantom;Arbitrum;Avalanche;Fraxtal;Hyperliquid L1;Sonic;Base;Plasma;Celo;Ink;Mantle;Unichain;Monad;Stable,143774,760841,5350360,-20.04,-56.46
SparkLend,Lending,Gnosis;Ethereum,140199,997783,4526915,-3.17,-11.46
CatFee,Developer Tools,Tron,139856,914764,3899470,-17.34,19.62
PancakeSwap AMM V3,Dexs,BSC;Ethereum;Polygon zkEVM;ZKsync Era;Arbitrum;Linea;Base;opBNB;Solana;Monad,138649,905773,5609109,-6.15,-15.33
Steakhouse Financial,Risk Curators,Base;Ethereum;Corn;Monad;Katana;Arbitrum,133709,1021079,4360289,-3.63,-1.12
Jupiter Staked SOL,Liquid Staking,Solana,132061,487029,1744838,400084.85,38971.3
EtherFi Cash Liquid,Crypto Card Issuer,Scroll;OP Mainnet,129680,793017,3208217,-23.97,43.84
Terminal,Telegram Bot,Solana;Ethereum;BSC;Base,123874,840130,2635929,-5.5,55.04
GMTrade,Derivatives,Solana,123150,550836,2686366,26.64,48.24
Tonstakers LSD,Liquid Staking,TON,121854,550926,2025929,89.08,141.41
DoubleZero Staked SOL,Liquid Staking,Solana,121044,442659,1555114,,
edgeX V2,Derivatives,edgeX L1,119593,491615,2774667,52.17,3.57
Anchorage By Figment HYPE Staking,Staking Pool,Hyperliquid L1,117863,783014,3173577,6.49,12.44
Veda,Onchain Capital Allocator,Base;Ethereum;Sonic;Plasma;Ink;Scroll;Arbitrum;Berachain;Hyperliquid L1;BSC;OP Mainnet;BOB,117186,804856,2821972,-37.49,-21.85
Kelp,Liquid Restaking,Arbitrum;Scroll;OP Mainnet;Base;Blast;Ethereum;Linea;ZKsync Era,114715,459282,2569285,108.84,-14.72
Gacha TCG,SoFi,Abstract,106623,567108,1992436,11.16,12.49
Fluid Lending,Lending,Ethereum;Arbitrum;Base;Polygon;Solana;Plasma,106594,784880,2977070,-5.9,-6.78
ORE Protocol,Gamified Mining,Solana,106557,673969,2736334,13.35,18.44
Gauntlet,Risk Curators,Polygon;Base;Ethereum;Solana;Unichain;Hyperliquid L1;OP Mainnet;Katana;Arbitrum;Tempo;Stable;BSC,105813,780970,3135098,-2.59,-5.22
fomo Wallet,Trading App,Solana,105394,638091,2264103,0,51.37
Titan Builder,Block Builders,Ethereum,103109,671899,7801738,-5.25,-77.88
Jupiter Aggregator,DEX Aggregator,Solana,102393,660615,2212318,10.82,25.17
Yield Basis,Leveraged Farming,Ethereum,101648,230958,1003277,109.5,-246.11
Limitless Exchange,Prediction Market,Base,98394,369508,2599457,436,137.93
Lighter Perps,Derivatives,zkLighter,98005,652596,3723126,-33.34,-25.13
Maple,Lending,Ethereum;Off Chain,97798,2071834,8838292,77.7,-20.71
Polygon,Chain,Polygon,94898,601480,2697172,-0.14,4.61
GMX V2 Perps,Derivatives,Arbitrum;Avalanche,94465,379697,1932336,63.61,14.96
HypurrScan HYPE Staking,Staking Pool,Hyperliquid L1,94223,633173,2741804,6.51,3.65
BlackRock BUIDL,RWA,OP Mainnet;Arbitrum;Polygon;Avalanche;Ethereum;Aptos;Solana;BSC,93758,655478,3471761,-0.12,-0.97
Sentora,Risk Curators,Ethereum,91838,588230,2893071,-1.63,15.24
Phygitals,Physical TCG,Solana,91133,213350,1565657,291.7,228.75
Nansen-HypurrCollective HYPE Staking,Staking Pool,Hyperliquid L1,89656,605227,2659990,6.39,2.87
Project X,Dexs,Hyperliquid L1,88217,689751,3820206,-24.5,-38.21
Meteora Dynamic Bonding Curve,Launchpad,Solana,85339,422052,1601303,34.16,58.35
Fidelity Crypto Fund,CeDeFi,Off Chain,77973,543162,2525842,2.55,-2.66
PancakeSwap AMM,Dexs,BSC;Ethereum;Polygon zkEVM;ZKsync Era;Arbitrum;Linea;Base;opBNB;Aptos;Monad,77669,643524,3108589,16.9,-18.96
Midas RWA,RWA,Base;OP Mainnet;Ethereum;Plume Mainnet;Plasma;Monad;Katana;XRPL EVM,77217,710336,1983046,251.96,4.79
JustLend V1,Lending,Tron,74979,389402,2003634,-17.47,39.88
Ostium,Derivatives,Arbitrum,74429,354959,3361506,30.71,-25.71
Infinite Field HYPE Staking,Staking Pool,Hyperliquid L1,73350,490081,2130233,7.56,4.16
EigenCloud,Restaking,Ethereum,73113,214492,792393,10.29,12840.35
Courtyard,Physical TCG,Polygon,72669,521507,3982506,-34.7,-8.48
Spiko,RWA,Polygon;Ethereum;Arbitrum;Base;Starknet;Stellar;Etherlink,72325,269276,409788,-18.95,1085.27
WisdomTree,RWA,Off Chain;Stellar;Ethereum;Arbitrum;Plume Mainnet,71617,524607,2434099,-0.4,-7.21
Apollo Diversified Credit Securitize Fund,RWA,Solana;Avalanche;Aptos;Ink;Polygon;Sei;Ethereum,71532,126352,636149,-240.07,-3.16
Extended Perps,Derivatives,Starknet,71283,399263,2113394,-7.51,3.67
Antarctic,Derivatives,Off Chain,71234,302933,1690027,5.15,-11.01
edgeX Perps,Derivatives,edgeX L1;Ethereum,70702,847638,5804490,-15.05,-70.72
Invesco USTB,RWA,Ethereum;Plume Mainnet,70561,459836,3185993,-0.86,25.25
Drift Staked SOL,Liquid Staking,Solana,70462,259036,923618,,
Base,Chain,Base,67507,478606,3595095,-19.61,-70.37
ZINC,Gamified Mining,Solana,66956,493795,6147733,-19.82,-34.77
Blockchain Capital,RWA,ZKsync Era,66762,467445,2003785,0,-0.06
Apyx Protocol,RWA,Ethereum,65615,462253,2092857,-0.55,-0.83
Euler V2,Lending,Ethereum;Base;Swellchain;BOB;Arbitrum;Sonic;BSC;Avalanche;Berachain;Unichain;TAC;Linea;Plasma;Monad,65389,478467,2064146,-6.4,-1.84
OnRe,RWA,Solana,63701,436203,1787468,1.65,3.5
Hastra,RWA,Solana;Ethereum,62153,444496,1298576,-0.54,6.04
SolvBTC,Bridge,Ethereum;Arbitrum;Mantle;BSC;Merlin;Avalanche;BOB;Base;Linea;CORE;Soneium;Ink;Scroll;Solana;Berachain;Hyperliquid L1;AILayer,61622,421235,1899238,3.79,0.71
Hyperliquid Spot Orderbook,Dexs,Hyperliquid L1,60079,414651,2506388,-15.25,-23.01
Phantom Perps,Interface,Hyperliquid L1,57389,352669,1811197,-31.06,1.46
Coinbase Wrapped Staked ETH,Liquid Staking,Ethereum,56549,373590,1702333,4.57,2.59
SoSoValue Indexes,Indexes,Base,54611,279027,1462266,19.77,5.04
Kinetiq kHYPE,Liquid Staking,Hyperliquid L1,53838,389856,1794898,-2.87,-4.77
Rocket Pool,Liquid Staking,Ethereum,53818,104478,2379049,300.31,894.97
Telegram Wallet,Interface,zkLighter,53803,206179,801497,17.33,-8.45
Compound V3,Lending,Polygon;Scroll;Mantle;OP Mainnet;Base;Arbitrum;Ethereum;Linea;Unichain,53372,376768,1584548,0.19,1.24
MetaMask Wallet,Wallets,BSC;Ethereum;Polygon;Arbitrum;Linea;OP Mainnet;Base;Hyperliquid L1;Avalanche;Monad;Solana,52219,326854,1676887,-0.27,-6.09
Wildcat Protocol,Uncollateralized Lending,Ethereum,50108,342919,1494501,0.88,3.77
Securitize Tokenized AAA CLO Fund,RWA,Ethereum;Solana,49947,352865,633799,-40.29,33.18
Beezie,Physical TCG,Base,49301,464667,1951008,-37.28,68.74
four.meme,Launchpad,BSC,48878,191042,1103473,20.19,359.03
Trojan,Telegram Bot,Solana,48647,324420,1077112,-1.1,42.79
Ember Protocol,Onchain Capital Allocator,Sui,47532,186916,639710,-14.29,77.58
Chainflip AMM,Dexs,Chainflip,46725,181397,867063,71.67,71.42
InsightX,Prediction Market,Off Chain,45678,350919,750711,-6.57,-13.28
Opensea Seaport,NFT Marketplace,Ethereum;Arbitrum;Avalanche;Base;Blast;Kaia;OP Mainnet;Polygon;Zora;Hyperliquid L1,43616,378651,1744852,-27.52,41.76
HyperStake HYPE Staking,Staking Pool,Hyperliquid L1,39792,266654,1157857,6.48,4.56
Mellow Restaking,Liquid Restaking,Ethereum;Lisk;Fraxtal;BSC;Monad,38868,260376,807443,20.85,38.54
Imperator.co HYPE Staking,Staking Pool,Hyperliquid L1,38642,259955,1097854,6.43,3.46
CMI HYPE Staking,Staking Pool,Hyperliquid L1,37749,253582,1020519,6.54,3.55
GODL protocol,Gamified Mining,Solana,36882,184378,842900,50.48,-2.22
Phantom SOL,Liquid Staking,Solana,36601,134386,470351,,
Sanctum Infinity,Dexs,Solana,36221,134161,496628,,
ASXN HYPE Staking,Staking Pool,Hyperliquid L1,35876,241369,1012527,6.43,3.15
Liquid Collective,Liquid Staking,Ethereum,35800,249527,1171329,4.8,-6.08
Marinade Native,Staking Pool,Solana,35490,231032,939019,3.34,17.18
Forward Industries SOL,Liquid Staking,Solana,34912,128418,509592,,
Marinade Liquid Staking,Liquid Staking,Solana,34559,230639,1018007,1.79,10.17
BONK.fun Launchpad,Launchpad,Solana,34127,146172,243719,7.27,1321.37
Sushi Perps,Interface,Hyperliquid L1,34050,48084,52268,5651.69,28275
Dolomite,Lending,Polygon zkEVM;Mantle;Berachain;Arbitrum;Ethereum,33883,236762,1177475,2.7,-5.13
