chain,tvl_usd,token
Ethereum,39308152492.35302,ETH
Solana,5058442312.523843,SOL
BSC,4919545476.877884,BNB
Tron,4492461082.660254,TRON
Base,4291070488.734489,
Bitcoin,4031723467.4868436,BTC
Hyperliquid L1,1438225668.8047192,HYPE
Provenance,1404183912.1593444,HASH
Arbitrum,1209747677.9354916,ARB
Polygon,916766340.2209924,POL
Plasma,759877701.1753393,XPL
Avalanche,473883081.99587333,AVAX
Sui,430704433.52192473,SUI
Monad,423722342.189675,MON
OP Mainnet,286088174.7956524,OP
Cronos,256936415.89722124,CRO
Stellar,233453674.78130645,XLM
Anubis,186135264.1914543,
Starknet,174722824.05612403,STRK
Near,149689630.2362913,NEAR
Mantle,145331970.7605791,MNT
Movement,125561583.84404287,MOVE
Ink,124517078.72427757,
Flare,122119989.35731462,FLR
Aptos,112454346.32668377,APT
MegaETH,104829520.30351421,MEGA
Rootstock,103221579.73802085,RBTC
Gnosis,100673300.34941639,GNO
dYdX,92169211.66852805,dYdX
X Layer,85571060.32572038,
Cardano,81772867.44737373,ADA
Stacks,81083927.86600028,STX
Katana,79702325.26304722,KAT
Mixin,76541167.34273912,XIN
TON,71781682.0761052,GRAM
Mezo,61294605.79369386,MEZO
Berachain,56492796.985022485,BERA
Hydration,52725143.25705698,HDX
Sei,47829023.16606515,SEI
PulseChain,45323258.34699141,PLS
Bittensor,43190377.48365186,TAO
Hedera,41960829.89757724,HBAR
XPR Network,41503567.773534544,XPR
XRPL,38058616.711781636,XRP
Algorand,32402671.39784414,ALGO
World Chain,31495315.1115872,WLD
Vaulta,30882973.766791515,EOS
Stable,29249249.0369151,STABLE
Blast,29176469.420664217,BLAST
Thorchain,27276298.197139386,RUNE
Linea,26504090.928735282,LINEA
Unichain,25494393.369300302,-
Fluent,23175834.257279526,BLEND
Ethereal,22880118.588712744,USDe
Kava,21827523.984495983,KAVA
Tezos,21485120.982127234,XTZ
Fraxtal,18648875.546635225,FXTL
Celo,17907119.014067672,CELO
Robinhood Chain,17562807.036115948,
Sonic,17364570.463465646,S
Etherlink,16543867.264570411,
Strato,16329962.714246785,
Tempo,15693252.951104546,
Osmosis,14826637.84914336,OSMO
ZKsync Era,14361130.222817529,ZK
Chainflip,12098863.63459766,FLIP
Plume Mainnet,11599365.250882192,PLUME
Flow,11553062.580502413,FLOW
ICP,11228391.500127919,ICP
ReyaChain,11084984.548012603,REYA
Scroll,11028325.457577541,SCR
Immutable zkEVM,11004068.322081853,IMX
Bifrost Network,10886565.349678058,BFC
Kaia,10582178.21007914,KLAY
Abstract,10300804.55144902,
Rollux,10288868.858671954,
Ronin,9858585.523351274,RON
BOB,9395955.201290168,BOB
MultiversX,9361156.001601689,EGLD
RISE,8851611.75488407,RISE
Gala,8262161.457658639,GALA
Morph,8208595.24421047,-
Injective,7974761.552093657,INJ
Doge,7894097.71907906,DOGE
Soneium,7742321.575091541,
ZIGChain,7631951.178489117,ZIG
Bitcoincash,7388516.0950773815,BCH
Merlin,7343199.814107444,MERL
Conflux,7205299.881264313,CFX
Waves,6671578.882056922,WAVES
CORE,6612768.682833252,CORE
