chain,tvl_usd,token
WEMIX3.0,6524034.251743429,WEMIX
Neutron,5697171.920433444,NTRN
Mayachain,5355013.622833738,CACAO
Citrea,5080996.791420546,CTR
Verus,4986363.549285194,VRSC
Vite,4949487.653459508,VITE
aelf,4735890.314962885,ELF
Terra2,4644793.378076784,LUNA
Fantom,4561548.500943397,FTM
Taiko,4428456.227305568,TAIKO
Manta,4411072.813197004,MANTA
Fuel Ignition,4239988.799204815,FUEL
Ontology,4212394.007192999,ONT
Filecoin,3905209.9777159635,FIL
XDC,3566596.0064640287,XDC
Canto,3442186.16373592,CANTO
0G,3403280.2678106986,0G
Bifrost,3202738.000566721,BNC
Aurora,3179848.128160596,AURORA
Chiliz,3153086.124482918,CHZ
Initia,3106833.13815584,INIT
Nibiru,3041816.209029028,NIBI
Metis,2897778.14556322,METIS
ApeChain,2646975.754909671,APE
Wanchain,2515498.574776375,WAN
GateLayer,2478009.6173247686,GT
Hemi,2380389.541699906,HEMI
GRX Chain,2341290.6761818426,GRX
Echelon Initia,2267384.9419919644,ELON
Capx Chain,2213629.0688727153,CAPX
Somnia,2067482.9744046163,SOMI
BSquared,2061919.0143038956,B2
Boba,1968113.2551560942,BOBA
Cabal,1918900.7696771272,
Eventum,1858062.6072804467,
Mode,1837874.4627957412,MODE
Zcash,1819081.6364790534,ZEC
Telos,1809768.2820572774,TLOS
NEO,1736508.4568188754,NEO
Igra,1643434.535715326,IGRA
Astar,1602797.3636470952,ASTR
Fogo,1601326.5761458965,FOGO
TAC,1586612.6390504611,TAC
Moonriver,1531383.4487858545,MOVR
Icon,1510617.4932254776,ICX
Dexalot,1480091.975868081,ALOT
OKTChain,1452866.6372554444,OKT
Moonbeam,1372799.3797772455,GLMR
IoTeX,1340732.1189206706,IOTX
Secret,1302835.1618394982,SCRT
KUB,1287310.3619935233,KUB
Supra,1257858.8335729262,SUPRA
IOTA,1226208.8224579238,IOTA
Litecoin,1196564.1361608438,LTC
ENI,1171866.2798710158,ENI
Cronos zkEVM,1139306.51185794,ZKCRO
Equilibrium,1134428.7005913283,EQ
Eclipse,1116999.7171410592,ES
VeChain,1104460.2713354367,VET
Radix,1077071.8473676064,XRD
IOTA EVM,1073334.230807613,IOTA
opBNB,1059436.4679900685,
DefiChain,1012445.8342420162,DFI
MAP Protocol,938249.5684371252,MAP
Beam,925161.9649941222,BEAM
Shido,905659.6223463009,SHIDO
Ergo,864659.1971413216,ERG
SX Rollup,846221.5315696787,SX
Terra Classic,790377.7420794839,LUNC
KCC,774695.2538591507,KCS
Kujira,774029.8457120266,KUJI
Obyte,736905.1184730441,GBYTE
Pharos,712564.1530924871,PROS
Alephium,686454.2140241947,ALPH
Doma,686399.8726104456,
Lisk,679396.9956170114,LSK
Starcoin,674478.1555847935,STC
Coti,671962.398733398,COTI
Peaq,652970.5110732252,PEAQ
ShimmerEVM,625527.4782543192,SMR
K2,615587.0102272837,
DFK,599889.3553905144,JEWEL
Polynomial,594110.478394736,
MANTRA,589360.4002848363,MANTRA
BounceBit,543929.476996012,BB
Venom,541869,VENOM
Prom,506554.2121730491,PROM
Kasplex,471892.8909743903,
Bitlayer,435956.22569628985,BTR
Polygon zkEVM,412410.14116385404,
Dogechain,395932.6377656444,DG
Unit Zero,374336.957170803,UNIT0
GOAT,365482.2561433995,GOATED
Oasys,357146.54142751114,OAS
ZetaChain,349716.45736724295,ZETA
Data Network,329964.8371746638,DATA
AB,327461.94259876374,AB
Arbitrum Nova,320388.9516229743,
Chromia,308612.94983536814,CHR
Sophon,308436.7142647206,SOPH
Meter,290928.1200579872,MTRG
Carbon,277111.782144426,SWTH
Wax,276249.3694722227,WAXP
Theta,252013.95255739518,THETA
SatoshiVM,245173.47523773316,SAVM
Babylon Genesis,236160.3592289156,BABY
ThunderCore,235810.92966799982,TT
Vana,233363.12453754505,VANA
BESC Hyperchain,226949.50842706228,BESC
Zilliqa,226469.02506730208,ZIL
Fuse,217492.62911503224,FUSE
Canton,213179.815334491,CC
Harmony,207940.48858112103,ONE
Chia,207863.85395845817,XCH
Elastos,201864.43645059643,ELA
CSC,191554.32222583712,CET
Songbird,190117.83106705948,SGB
Oasis Emerald,188358.0492310468,ROSE
Bittorrent,178914.79085373948,BTT
EDU Chain,176036.50586580674,EDU
Oasis Sapphire,172779.7377625682,ROSE
Oraichain,170536.28541502758,ORAI
Viction,164759.52491598876,VIC
Shape,164724.50656299602,SHAPE
Velas,156247.94466979912,VLX
Nolus,155751.77050241712,NLS
Everscale,150522,EVER
Asset Chain,147673.2974828078,
Archway,147131.30204514618,ARCH
Inertia,146395.52775817298,
Voi Network,141404.28136611733,VOI
Lens,139715.7331221713,-
Energi,130624.91711235866,NRG
Zircuit,128679.40007893588,ZRC
Dash,128023.10113237512,DASH
CosmosHub,127791.60436776861,ATOM
Odyssey,127203.52294288225,DIONE
XO,126561.48957291247,
XPLA,125709.5858440546,XPLA
Libre,125057.02007363025,LIBRE
Dymension,124225.38716702872,DYM
Keeta,120162.54643712651,KTA
DeFiChain EVM,117818.84921016174,
HeLa,117067.47263850004,HELA
Zero Network,115704.43300157937,
EthereumClassic,112117.51049619324,ETC
Yominet,109818.10797416861,
Electroneum,107440.2522383251,ETN
UX,106764.55149555436,UX
Heco,97572.69871296972,HT
W Chain,93961.06848223014,WCO
Agoric,89824.2103016461,BLD
Juno,87046.27214887894,JUNO
Bittensor EVM,86466.14912103703,
Saakuru,84215.55204201845,SKR
Neon,83987.95024534952,NEON
Naka,82956.54765016434,
Acala,80984.86526036407,ACA
Gravity by Galxe,78405.71217477311,G
LightLink,77633.33647319539,
Zkfair,77580.5754236925,
Ultron,75996.3474283087,ULX
Superseed,72706.5428567392,SUPR
Polkadex,72043.04942898818,PDEX
RENEC,67579.56148654694,RENEC
zkLink Nova,66833.88594234642,ZKL
Qubic,65558.74034000514,QUBIC
Pepu,63794.92703569082,PEPU
Superposition,63505.32671720369,
Redbelly,62724.60920299737,RBNT
EnergyWeb,59622.30373474551,EWT
Crescent,55579.77213905445,CRE
Nahmii,54496.352869764014,NII
Q Protocol,51735.34478926996,QGOV
Karura,49700.74953514491,KAR
AILayer,49474.795240090076,AIL
Pego,47690.19904164177,PG
Civitia,47263.13351988093,
OpenGPU,46624.17392627099,OGPU
LaChain Network,44450.64801105838,LAC
Findora,42029.42288181803,FRA
smartBCH,41648.5377652218,BCH
CrossFi,38307.67616189654,XFI
BEVM,33661.84383216456,
Zora,33170.835871179326,
Interlay,30575.562825234472,INTR
QIE,28882.21756766706,QIE
AO,26499.90222845804,AO
XRPL EVM,25647.684422267448,XRP
Massa,23628.355004088415,MAS
Shibarium,23203.66706104767,BONE
Stratis,21849.912990653407,STRAX
Astar zkEVM,19758.457123036438,
SKALE Europa,19600.358546787444,
Hydra,19247.790503329375,HYDRA
Soon Network,18918.10835032191,SOON
Sora,18282.260000000002,XOR
Areum Network,18001.496564100722,AREA
Matchain,17037.477864423952,MAT
Persistence One,16883.48348304239,XPRT
Tombchain,16635.775257457997,TOMB
Lachain,16594.941282288648,LA
VirBiCoin,16350.414161741432,VBC
Chihuahua,15985.22203019931,HUAHUA
Aura Network,15878.410998052164,AURA
Comdex,15648.000987417912,CMDX
svmBNB,15309.281123321753,
Parex,14898.059659041839,PRX
GANchain,13742.577826817595,GPU
Hydra Chain,13491.39268004217,HYDRA
XCHAIN,11442.765490910964,IDEX
Loop,11372.809199590507,LOOP
EthereumPoW,11078.908899150048,ETHW
Penumbra,10999.3843775574,UM
Botanix,10960.669555177446,
Kintsugi,10946.536194754559,KINT
Etica,10659.78331013643,EGAZ
Omax,10413.763930586703,OMAX
Step,10319.471261857514,SPEX
Ancient8,7808.853448991529,
GoChain,7299.042428119224,GO
Haven1,6888.449633635075,H1
Xai,6806.84408175171,XAI
Xone Chain,6795.937564848915,XOC
Shiden,6757.698061200215,SDN
Silicon zkEVM,6696.6695157710965,-
Rari,6131.437448081549,RARI
Form Network,5936.929392705905,
VinuChain,5385.989445906731,VC
Neo X Mainnet,5076.8987125442,-
MultiVAC,4443.067452498959,MTV
Callisto,4116.612326042085,CLO
XION,4046.103193833858,XION
Elysium,3321.048072374656,
JBC,3250.71346012351,JBC
Cyber,3164.6907033284215,
Swan,2644.031518394124,SWAN
Darwinia,2192.6861144255677,RING
REIchain,1563.576785740828,
Concordium,1454.9542121835188,CCD
Manta Atlantic,1436.255219343965,MANTA
OntologyEVM,1411.2559645697127,ONG
CookieChain,1341.8785464851833,COOK
DuckChain,1322.9462821970471,DUCK
Elys,1294.1273194370494,ELYS
HashKey Chain,1253.5299106556486,HSK
Bitcichain,1212.8707671595803,BITCI
Bostrom,1188.7478208656994,BOOT
Milkomeda A1,1145.6817721721031,
REI,1080.6094393807875,REI
SX Network,825.2570225457392,SX
Aeternity,792.9026068705939,AE
Althea,652.910714788103,ALTHEA
Namada,546.0672322842657,NAM
Palm,524.4775273433214,
EOS EVM,440.3473304768799,
ADI,312.9407593957457,ADI
INRI,211.798333,
JOC,183.5708158595018,JOC
Camp Network,120.29518770244074,CAMP
Degen,45.66931785664774,DEGEN
Endurance,26.40903822300306,ACE
HAQQ,11.223322436500531,ISLM
MTT Network,5.037296080888174,MTT
Xphere,4.935605459110775,XP
Taraxa,1.0171828941673515,TARA
Kopi,0.08297541489471712,
Milkomeda C1 (Deprecated),0.02142208805858668,
Moonchain,0.016823934777086446,MXC
Bitgert,1.0018143252235377e-18,BRISE
Corn,0,CORN
Boba_Bnb,0,
Binance,0,BNB
Evmos,0,EVMOS
Horizen EON,0,ZEN
Cube,0,CUBE
Sifchain,0,EROWAN
Nuls,0,NULS
Hoo,0,HOO
DFS Network,0,
Genshiro,0,GENS
Lamden,0,TAU
CLV,0,CLV
HPB,0,HPB
Fusion,0,FSN
Kardia,0,KAI
ZKsync Lite,0,
Empire,0,EMPIRE
Polis,0,POLIS
ZYX,0,ZYX
Ubiq,0,UBQ
Godwoken,0,
GodwokenV1,0,
Echelon,0,ECH
Curio,0,
Syscoin,0,SYS
Kadena,0,KDA
Goerli,0,GETH
Boba_Avax,0,
Bahamut,0,FTN
LUKSO,0,LYX
Nova Network,0,SNT
Kroma,0,KRO
OXFUN,0,OX
Dexit,0,DXT
DChain,0,
Heiko,0,HKO
Parallel,0,PARA
Vision,0,VS
FunctionX,0,FX
Saga,0,SAGA
Kekchain,0,KEK
MUUCHAIN,0,MUU
DSC,0,DEL
ALV,0,ALV
Tlchain,0,TLC
Zeniq,0,ZENIQ
Bitindi,0,BNI
Stargaze,0,STARS
Optimism,0,OP
inEVM,0,
Crab,0,CRAB
Rangers,0,RPG
Lung,0,
Bone,0,BONE
WINR,0,WINR
ENULS,0,
Plume (Deprecated),0,PLUME
Onus,0,ONUS
Swellchain,0,
Migaloo,0,WHALE
Tenet,0,TENET
Mint,0,
Artela,0,ART
MVC,0,SPACE
Perennial,0,
NOS,0,
ETHF,0,ETHF
MEER,0,MEER
FSC,0,FON
Fluence,0,FLT
CMP,0,CMP
AirDAO,0,AMB
Bitnet,0,BTN
Bitrock,0,BROCK
DeFiVerse,0,
RSS3,0,RSS3
Planq,0,PLQ
re.al,0,RWA
Genesys,0,GSYS
Joltify,0,JOLT
Ham,0,
Mind Network,0,FHE
QL1,0,
Waterfall,0,WATER
Redstone,0,
Aleph Zero EVM,0,AZERO
Titan,0,TKX
soonBase,0,
Eteria,0,ERA
Open,0,OPEN
BCHyper,0,VTCN
Sentrix,0,SRX
MyRx,0,MRT
