name,category,chains,total_24h,total_7d,total_30d,change_1d_pct,change_7d_pct
Uniswap V4,Dexs,Ethereum;OP Mainnet;Base;Arbitrum;Polygon;Blast;Zora;World Chain;Ink;Soneium;Avalanche;BSC;Unichain;Monad;X Layer;Celo;Tempo;MegaETH,717508814,4672805528,24275829243,9.89,-17.8
PumpSwap,Dexs,Solana,651360206,3899996978,15572769904,2.82,-7.13
PancakeSwap AMM V3,Dexs,BSC;Ethereum;Polygon zkEVM;ZKsync Era;Arbitrum;Linea;Base;opBNB;Solana;Monad,497629286,3342515437,16873017295,-5.47,-20.32
Kalshi,Prediction Market,Off Chain,494077119,2811502939,9957249130,11.4,1.22
Aerodrome Slipstream,Dexs,Base,449466684,3099207581,15291372157,-11.49,-16.81
Uniswap V3,Dexs,Ethereum;Arbitrum;OP Mainnet;Polygon;Celo;ZKsync Era;Sei;Taiko;Scroll;Rootstock;Filecoin;Boba;Moonbeam;Manta;Mantle;Linea;BSC;Avalanche;Base;Polygon zkEVM;Blast;Gnosis;BOB;Lisk;Corn;Unichain;Hemi;Saga;LightLink;GOAT;XDC;Lens;Telos;World Chain;Nibiru;Plasma;Monad;Etherlink;Sonic;X Layer;Zora;MegaETH;Tempo,378338481,3259453792,16669847294,-36.06,-46.52
BisonFi,Dexs,Solana,256016583,1970948996,8658108157,-4.8,-35.21
Orca DEX,Dexs,Solana;Eclipse,255310747,1793796938,7668599436,-12.49,-3.93
Tessera V,Dexs,Solana;Base;BSC,160148203,986274853,2873205120,77.83,15.96
Fluid DEX,Dexs,Ethereum;Arbitrum;Polygon;Base;Plasma,147544386,849558850,4574854146,-11.76,-15.9
Polymarket International,Prediction Market,Polygon,144763082,1124935500,4381065360,-27.16,-15.4
Meteora DLMM,Dexs,Solana,143450960,1040417598,4466962325,-19.65,-12.55
Manifest Trade,Dexs,Solana,137769328,1258871934,5922710784,-15.26,-47.93
Raydium AMM,Dexs,Solana,129144279,832256212,4234402578,4.46,3.16
PancakeSwap Infinity,Dexs,BSC;Base,121661820,976065889,4693041298,-34.46,-15.22
Hyperliquid Spot Orderbook,Dexs,Hyperliquid L1,111895277,827398298,5243056941,-22.32,-31.86
GoonFi,Dexs,Solana,109394043,605189765,3206636838,0,-2.68
Flashnet,Dexs,Spark,96919896,696247213,2702730320,-13.36,-20.95
