address,pnl_rank_window,account_value,n_fills,median_gap_s,is_bot
0xe6111266afdcdf0b1fe8505028cc1f7419d798a7,87269425.35,961186953.47,0,,0
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,14790478.05,24029707.42,2000,4.9,1
0xfc667adba8d4837586078f4fdcdc29804337ca06,13240867.69,69768647.66,2000,0.5,1
0xb3bd5fafb3dcb7ff0d27a6dcdb1974a2f8ac221d,11077244.19,70294895.09,0,,0
0x8cfac7c6f03e00db2f298699df96933a9694b6ab,9105144.99,9769447.01,0,,0
0x7fdafde5cfb5465924316eced2d3715494c517d1,8240071.71,37667774.01,2000,1.1,1
0x4e23288cee4960f9f962195c22948e4bc7ae20c3,8033906.06,24985487.71,2000,0.1,1
0xfe7ce058edc7cfcde9ef8262ba51f8d4796ab7ae,7796437.01,17289685.3,2000,3.8,1
0x24de6b77e8bc31c40aa452926daa6bbab7a71b0f,7671658.22,2048461401.96,0,,0
0x0ddf9bae2af4b874b96d287a5ad42eb47138a902,7489023.18,24930597.03,2000,0.5,1
0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,7035153.92,16633586.66,2000,0.4,1
0xebe126adabe1a8f08d3ce53b45e7cc994ca14070,6931121.62,16396888.4,2000,0.4,1
0xa312114b5795dff9b8db50474dd57701aa78ad1e,6270218.32,24568170.82,2000,1.0,1
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,5869896.56,93631169.65,2000,0.9,1
0xf822fa0fd364c573fcdb7009fcf47601bc8be01a,5610796.39,42857891.21,2000,2.8,1
0x0ad9e656d9e6211d0ea1c5462342e1fc94cc4cbf,5293367.04,10293363.83,2000,0.2,1
0xefd3ab65915e35105caa462442c9ecc1346728df,4777206.43,74617.56,2000,3.8,1
0xcf90cfecf74e631feea816d02e757c0c8e895c0e,4729043.7,14644019.46,0,,0
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,4590968.99,10241552.9,804,6.9,1
0xa31441e058492bc7cfffda9aa7623c407ae83a81,4487845.43,14980949.03,2000,1.9,1
0x87f9cd15f5050a9283b8896300f7c8cf69ece2cf,4252464.73,81526210.88,0,,0
0x64a4fbb71858f681f3fa10a42b34180a9a48088d,4212725.07,21630533.66,1,,0
0x60a8c761f39696b3b419f31dcda20b405cb685f6,4103670.87,32496370.29,2000,1.6,1
0x1ab185be5ff61f7b678d6a871d439307cd0752e3,4062048.79,118428027.31,0,,0
0xd47587702a91731dc1089b5db0932cf820151a91,4015572.4,54331181.3,2000,0.5,1
0x152e41f0b83e6cad4b5dc730c1d6279b7d67c9dc,3916159.74,16943994.89,2000,0.2,1
0x32008fcb6bbd16532afc83ca8b6c920dde22c407,3912664.49,14650480.43,2000,0.2,1
0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,3720746.42,39077336.99,52,122.9,0
0x3dc908374e11623d8eb9f07dfc7a2e5e803a54b0,3469339.7,23137178.46,2000,1.7,1
0x6315c7d325ea3508ad503f197d1671e097d0074a,3453693.03,16417488.64,2000,3.3,1
0x0d0707963952f2fba59dd06f2b425ace40b492fe,3362830.42,27443766.44,0,,0
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,3283497.95,95027396.16,2000,0.5,1
0x9cd0a696c7cbb9d44de99268194cb08e5684e5fe,3272087.02,470951.58,1,,0
0x091159a8106b077c13e89bc09701117e8b5f129a,2943492.11,9136150.35,2000,0.4,1
0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,2885577.28,10724980.21,2000,1.4,1
0x45d26f28196d226497130c4bac709d808fed4029,2873503.53,30779777.74,613,1.8,1
0x92ea19eceb7a8de0f50978a1583a5d8b018050e9,2849202.83,64490362.39,943,0.2,1
0x9dcf1c87b82a35519a430457c1157f21e68f302d,2702875.69,11847019.95,2000,0.1,1
0xd3cb1823da2ff584dec3f49ef6a3eea51471e5bc,2685705.79,7958936.58,0,,0
0x251f933e62283b6178d6f8c5629859dfa8b96e5d,2678428.69,21093860.58,90,6.8,1
0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,2546454.86,18437777.79,2000,0.3,1
0x7fba7e745bd97f828c824589680749b55a8c04ab,2489733.04,6830410.97,843,0.3,1
0x123dbca6a27005a3c4ce10cb66ee8ece8fc13bff,2483256.61,5899745.08,2000,2.9,1
0xa445a0a15b1d50fa0c4bfe6796d9447e0da5329d,2449915.4,15071540.5,2000,0.4,1
0xcf5343ba750a6e30afbb1dadda08bc78f8c8ee11,2365445.2,13461492.14,2000,1.5,1
0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,2284482.55,1547461.55,579,0.8,1
0x987f82a4a19848eaac4fe0be550d1eb4e1518573,2264472.01,33858561.66,0,,0
0x51f63885534cb494f4592a0311551f369bff2b39,2148121.14,4120078.66,2000,4.0,1
0x4c78a97cef589b01bb91dbf893fffa14243d2444,2126118.0,11176556.24,2000,1.5,1
0x66f889094739dbb7d20aa60f645acd88feba75a9,2124477.17,1615894.15,2000,0.4,1
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,2097189.73,30250922.82,2000,0.9,1
0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3,2042808.23,12712523.48,2000,4.1,1
0x48d826da83e69844f2f84b2db50703a933d137a2,1999560.37,6557356.9,2000,1.4,1
0xd8c5228c515db3043dfa0c8cd6f22450ee9a99b0,1930724.09,18226067.64,2000,1.7,1
0x007c20e5c339015c924735cf76cb092bc5d9bacc,1879390.32,5386491.22,7,100.1,0
0xb798aef79972ce8f73d47b9ebbcda6bbb7ec4fbf,1871492.55,8856161.04,570,0.6,1
