address,pnl_rank_window,account_value,n_fills,median_gap_s,is_bot
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,1852465.37,13489469.39,1122,1.6,1
0x6eba10acaaf584f662691a13795aef5741287359,1809104.3,33496059.41,0,,0
0x49e96e255ba418d08e66c35b588e2f2f3766e1d0,1789627.36,27019963.5,2000,2.4,1
0xad227f63d34e7251c1d0ab65e64eeea07aee4e44,1762604.28,4214275.08,2000,2.2,1
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,1747975.1,22154283.95,2000,0.9,1
0x484bc1608211d0604bf70bae72792a56884562f8,1734566.57,19895014.5,2000,3.3,1
0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,1721510.85,17044118.4,2000,0.4,1
0xaeaab54bbf65bfd6efed7d2eb68372298e3c2416,1720418.91,9168804.54,522,4.2,1
0xa65ce1d604fa901c13aa29f2126a57d9032e412b,1711404.57,12193671.45,403,0.1,1
0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,1698485.29,20713842.28,2000,8.5,1
0x08e9c89f46dccee91bdb85c6532eb93a4c335efe,1666966.08,33760548.39,0,,0
0xfd9415c5172f3ba22862870a7ff2de572cae1aab,1659006.37,5889871.27,0,,0
0xd67ca2c6f8bc84acf4fa4472b82a8740dc0a53ff,1648279.27,3114274.55,2000,0.4,1
0x91a9cadcd7e36cbe8ff604cb634307d7b7643f70,1636496.53,4881030.04,160,0.7,1
0xd62d484bda5391d75b414e68f9ddcedb207b7d91,1607970.92,9068803.55,0,,0
0x610b8dd6b392d010c2b6ad8d121dfc09524cb613,1550693.78,4069634.65,950,0.5,1
0x7839e2f2c375dd2935193f2736167514efff9916,1533591.64,13088962.64,39,12.2,1
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,1507253.48,11477177.7,527,0.4,1
0x3b883b85fd41b81ef23b6041248bc6ac0b1c04a7,1498934.54,2572046.71,2000,0.3,1
0xa6ee1ed1ae80b8352603654b39f5e7b9bedd5078,1490422.69,4807580.62,2000,0.4,1
0xf517639a8872e756ac98d3c65507d2ebc25cc032,1483405.87,8420524.0,2000,0.4,1
0xe867fbdad3291530e41530301ecb77693850c78e,1439442.03,72548114.75,1852,1.0,1
0x42b6d907f36255d48f70db8b4a2684088a162634,1429456.2,4658555.11,2,14.5,0
0xc59498175d6d317642aeb97f895a7ce1aa992191,1403502.67,6230853.35,19,0.5,1
0x4cd80aa0ce4881eb8679eda1f6fbe3d89aec0f7f,1394675.32,2099722.87,410,0.3,1
0x71dfc07de32c2ebf1c4801f4b1c9e40b76d4a23d,1387637.95,7612965.3,2000,9.2,1
0x5bba1df1bd0d44250246ef5b4697e9b847530dc4,1374207.4,2226813.66,2000,0.9,1
0x50a4d39bc020be2c86954eec2670541d300f8168,1345468.75,6002358.92,1257,0.5,1
0x4f7634c03ec4e87e14725c84913ade523c6fad5a,1340995.48,3575888.34,2000,0.8,1
0x38de32620cf96426b87274ad2331c95f6dab63bc,1316193.35,10601221.04,0,,0
0x0c349d9b92fbd172bbb5a17a9db0a673a6a10ad3,1314558.66,1580478.67,2000,0.4,1
0xe0ffc829349c88c159462942ad885f12130e7610,1302238.07,8648116.26,100,0.3,1
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,1272503.79,11085893.24,2000,1.3,1
0xc6758a779bccee1ef0190dbe8292fdf44076795d,1270154.07,2024752.75,627,0.2,1
0x350e33a777d510616fbdb483d1de3b50d1edfcfb,1235502.31,3909516.57,2000,2.8,1
0xd05808946809c180d190608e13f473db30aa8524,1234556.98,1872014.2,703,1.5,1
0x6df99d59cdada18ade521e05edd5e6a2ec91b734,1234406.17,6933281.48,13,31.5,1
0x6bb971430554e3af58fbd469bce46ab2359a2d23,1223703.13,3885081.21,122,0.8,1
0x42bc06d636e9a9a93edb1ddf781ee97821a73946,1221065.44,2522844.94,2000,0.2,1
0xdcac85ecae7148886029c20e661d848a4de99ce2,1198622.44,18807427.03,147,1007.2,0
0xae6446c95cc4e455e9cf56f28757ab728d88e81e,1193087.21,10893512.28,0,,0
0xbcd420d13362532756c968f663f96ba95e240dd2,1189767.24,4820491.26,2000,3.3,1
0x1116b5fcc070945062e8879841c29807db373d0d,1178156.64,1067728.38,2000,0.3,1
0x2d23b731e5f04996a2dfdbe434c7d922afdb5e00,1169085.14,7639546.23,1,,0
0x9cc53c5af67fb83a16cc41f61e242bade875ab3d,1155300.51,2239009.88,2000,0.4,1
0x9c89f595f5515609ad61f6fda94beff85ae6600e,1136032.33,10644585.83,0,,0
0x5c26dfc723e7a1da7b6c3bd5cbd72716d09425c2,1117517.07,3029765.8,2000,0.6,1
0xa1a2401268b976cb46c35550f2b2428908dd53cb,1116590.04,5737656.72,2000,0.8,1
0x8cc94dc843e1ea7a19805e0cca43001123512b6a,1101212.35,6103493.38,2000,1.0,1
0x6daec5ff434924e0839358e710e6ae5f158590de,1087818.68,2116266.3,2000,0.4,1
0x72774e2fe1992d5da8c6e9cef73fd2ab980c0b98,1079732.98,1913321.0,2000,0.4,1
0xaf2896f9de201cf15d0bef9a8e643627ad2253b2,1070310.1,6309263.53,0,,0
0xb1ec7febea4f841d525785955b7fe0e812d6e86a,1068864.64,5674171.88,2000,0.3,1
0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,1016630.74,11163123.2,65,0.1,1
0x0c4a3a7ac74d43732f9b5ea507f01ab72a381b19,1013168.81,3026166.64,20,1085.3,0
0x364a45829e8ce2940d8cff911076d8dec40b2e73,1011429.55,11427.75,699,0.2,1
0x4937c6b353864c7586198eb42b1c91dc917e0bd6,991252.96,2391496.1,2000,0.9,1
0xfc98b6ec7f59ea13354bae6171a9120692fb8777,987532.29,1193786.82,1339,3.7,1
0xa55e490ab10f1e90b288a5f69c96f9e47547ae2e,985902.61,8147693.59,2000,0.9,1
0xd487e26c62ed8c28ce3cc70b5791e501c2934982,978832.87,1976453.57,2000,20.4,1
0x591540f231055743a37f691c3ffd50e4e53561ab,977990.57,6812005.73,0,,0
0xdb6f5c58bb13d8aa101b0a5d1a70f737b5d1cd1c,965172.31,115277.1,2000,2.2,1
0x6355f7cf36b24044cd5b089a845113327d0ee58e,958035.25,13470140.62,0,,0
0x2025137a136bea7446deba681cbfc7cf1970840e,957387.69,5737067.08,2000,0.0,1
0xdf9ea6ec3b7109935ccb4fb267e15ac1fb077ab1,952746.71,3271354.22,2000,2.3,1
0x4ff9b58ed112bf3df108d1d62bd95e7352ef38d3,951390.62,7261296.77,1450,0.2,1
0xf02d16a272a842f8bac1d9a9e773aba1933454c6,936578.17,19935420.98,2000,0.2,1
0x525232cb6ed5030d2b052b36bfc0baec96986ee3,934137.33,7742143.11,184,0.5,1
0x5559da6ec434c5723d0ce9c4da7f29e3f8a3d43b,926233.57,6831549.3,0,,0
0x53517267db72fca16edf4260eadb71d229c78f8d,919335.4,6736533.99,0,,0
0x5647249079e257329ecb6f46ed41821d3c69e7de,906999.64,3348599.73,2000,2.4,1
0x5986347c1d0133d02d307f08bb1efd44c2eb89d9,903800.43,3204033.82,1921,0.3,1
0x960b6c2c4b1498681b8422eb572a8b3a6aa3f0fc,895458.01,16771343.49,1168,0.3,1
0xc7290b4b308431a985fa9e3e8a335c2f7650517c,886124.46,2116111.54,89,17.2,1
0x2d99fe0f36c1aebd28a1a2c0e82e8ca13c2ea351,883364.7,7640381.43,363,0.5,1
0x8ed318c5eefd8c9b15b6ee351734c8a350b2f23a,882435.31,3094468.88,513,877.4,0
0x325edd95bb016c36027ce3b9f7595af7094a9564,853988.98,6357985.27,935,2.2,1
0xe24166173f1e956845a0660c8b26db334dced71a,848259.76,1437945.26,203,4.0,1
0x049bdc370620beab340b01072fa580fd57745e7d,847555.11,2047418.78,2000,0.4,1
0x69906b0ed626ca01a4b7c001e5711e5714ccf207,835640.34,5989395.79,2000,3.9,1
0x399965e15d4e61ec3529cc98b7f7ebb93b733336,830623.51,15221882.16,2000,0.7,1
0xdd9f274410c8c704bdbb599dce6c4fb34be4f50a,829498.33,16592446.23,311,0.3,1
0x461cc78cc9ddd66b0778aea759bdf0866a5ad2f2,826589.82,599719.08,336,184.1,0
0x25882e0ad0a1a88f849d5622a759fb5ebe17f726,820424.28,6739037.98,0,,0
0x79ec68d35878cedf61a4363b40ec30b89698bcad,820415.58,3323735.3,2000,5.4,1
0x35270069b7a3c6d8c2caf73965f07a8a8b051e16,818647.0,12975589.22,1460,1.8,1
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,809355.18,98303139.06,2000,7.4,1
0xaa3d56e9695f75eecd6e3e78546154b727147b8a,793000.01,8770580.0,0,,0
0x0facac3bd128fe6d799898a059d3634b877c7a0a,782724.89,2038983.53,2000,0.8,1
0x015354106478dda69c4aae3c0cf801290b738052,761674.6,13912647.61,317,0.2,1
0x4b1c09fa8322548360a76a3747e32a60a864bc38,757567.89,1989188.21,2000,17.1,1
0x8e096995c3e4a3f0bc5b3ea1cba94de2aa4d70c9,748375.22,2936281.48,938,3.9,1
0x418aa6bf98a2b2bc93779f810330d88cde488888,744323.16,4606608.18,2000,1.0,1
0x6859da14835424957a1e6b397d8026b1d9ff7e1e,744034.15,8733930.7,2000,2.2,1
0x404ca2035b37bf2e83505134ebcf8d03babb5f03,738134.44,1188210.68,2000,12.3,1
0x089fe537f4b2af55fa990bc64ff4125800bba4f8,736199.85,11640110.31,408,0.4,1
0xb319964af11f5d8975e729f93e81a1bb34e06ffa,730506.25,4215599.03,0,,0
0xda744273f80b22412417f7cfe0503f3d721f987d,728761.19,6069985.94,910,0.7,1
0x51f3a19c1dfd8d7fe670e43ce0f66648789c8b34,726150.8,1991984.02,298,0.2,1
0xe0698483810b7ac6ece05988efe06707fd8049f5,698558.06,5046475.91,1311,0.3,1
0x8372e5a546ce84e32d638a7934da41018f75ba8c,695110.04,27588150.23,0,,0
0xa4dedda59f2908b92ae192cfd494839373bcb3c4,690941.82,2124789.6,678,4.0,1
0x3440f23a87f1950e7a88cd248fd270e92d1132c5,670163.09,3568886.52,2000,5.9,1
0xb69928c8891fda94f534f79b8acfe3b83773392e,662389.23,1464084.3,1713,0.4,1
0x051c2e6d49cf82ebc47f08f9b85800f94fc9693c,652080.94,5709363.98,795,2.9,1
0xed48b856556a69c7c40229c9c4c829b909257c9b,643873.01,2516255.87,74,0.2,1
0x06cecfbac34101ae41c88ebc2450f8602b3d164b,636787.09,2888710.9,828,0.9,1
0xeee0d806e4f0a427277433d6b580619918770b53,636462.35,7045685.6,0,,0
0x992d92fb337a867f2629e440e149ca3bb98a8dc8,632401.84,10073250.85,0,,0
0xf704ebc79aee732265c7c986fea50a9c01ab7f8d,629160.98,4967990.46,7,307366.4,0
0x15b325660a1c4a9582a7d834c31119c0cb9e3a42,626136.55,3789537.17,0,,0
0xf4a3c6c39424208803feff01d7f3c809cb88fd1c,623767.36,5943584.58,576,0.1,1
0xfe764b90cad3965d6e98c03794959b58c065c38b,604645.39,7535749.51,0,,0
0xb4caaff781251594911cc76aec61cef46ba00894,601681.56,2187446.35,2000,10.0,1
0x93ab7dbdeb996806454de19c35c8247f4b2511f8,601621.29,4602923.64,9,14.9,0
0x29de2668d0c8a5879ebb2f6afbec1c6f485a3e93,598744.97,4053109.02,147,5.7,1
0xceec48581b3145a575508719f45da07dc57fa7ce,595990.42,13256831.81,124,5.4,1
0xa98143608a6846453c88f29506d64a8b85532e65,595487.65,15320734.16,21,87.3,0
0x781e95fdc049433565cf8e05265361b8402196b7,590506.17,1216863.91,2000,8.9,1
0x004edcd40360e293e4cf260d2ebdf8c7076c1bb8,584177.32,4182319.8,30,0.3,1
0x041836d6c0617c694b70b57680f45905811076db,579331.25,805655.1,2000,0.7,1
0xfce053a5e461683454bf37ad66d20344c0e3f4c0,573609.96,4843016.56,719,0.8,1
0x834ce0cb3092a2ab56d0a636c0bd678154b4c61f,569773.69,916650.84,519,0.7,1
0x7249f79f2e159df0d90b2f7a7f268b997f109cde,569039.04,6713694.2,0,,0
0x992ec71207c9e183e64c81461908f1a1a783af6a,568553.76,6701718.5,178,0.2,1
0x880ac484a1743862989a441d6d867238c7aa311c,564824.44,3564957.69,2000,7.1,1
0xa7da476783090e6bcad1643ac5a0f31ddb84204b,563468.08,1377859.28,15,0.5,1
0xfc692a90cb4e98eb4761d84a6ecc6cd8c577acf3,562241.78,6725986.81,0,,0
0x9ffdf919da72213588f7517598394cc5535bce40,560822.68,8161375.18,1112,0.7,1
0xec4a6f59960fb55a7fa49262e2628687b322cf62,555555.77,1738787.92,2000,0.3,1
0xc5f033a47dde827133850ced50009c3802c989ba,552175.51,1234720.77,0,,0
0x8c96e5a2d770f9f2c9d2464ce4e741df0b2bca57,551277.55,1585129.0,857,0.8,1
0xdf52df044f1b150dfa79590909cdac6ad83d59fc,550461.47,1641656.72,2000,28.5,1
0x3eb6bed67d046fbffb8ada21167e592f3fef5470,549393.2,3429824.87,2000,4.5,1
0x288ed4efc8fbd1e42a06fe083ea942d20c90b336,548289.34,1750041.43,876,1.5,1
0xe927f4a34074229d5432c17091af8828514498ef,547495.06,3672127.42,0,,0
0x4c46f7295a1fe70d2ad04dfd5fa0e8007b17cba5,540765.01,871199.13,34,1386.6,0
0xdeb0b9c1e1b234981c4731ea927c464449c1ade2,535521.45,6720394.25,1535,0.3,1
0xe1b2155b8fbc16c1146d5d16247896f06f68686e,527113.66,2297832.65,2000,0.5,1
0x24fb6523036ebcb3cc51deff138066dccf6bed0f,521287.49,622720.3,1778,8.6,1
0x1714fa1d4db089a7dd036fc8d1a9d1fd759a0250,519914.0,988757.94,2000,0.2,1
0x3d89bcea338f35edfaeb313b1c713978c6dceb14,517791.53,2181338.0,2000,2.2,1
0xc30c7ea910a71ce06ae840868b0c7e47616ba4c9,515750.95,1705984.06,1534,116.3,0
0x005844b2ffb2e122cf4244be7dbcb4f84924907c,514743.76,4545119.77,1013,4.4,1
