name,category,chains,tvl_usd,change_7d_pct,listed_at_unix
RocketSwap Anubis,Dexs,Anubis,188341880,,1782858937
Circle Gateway,Cross Chain Bridge,Ethereum,50915719,,1782778325
USDCx,Stablecoin Wrapper,Ethereum,50859271,2.7518586946471544,1782415477
Tori Finance,Basis Trading,Ethereum,49995243,8.52857792002493,1782275555
T3tris Finance,Yield,Arbitrum,6016135,,1782356237
Jupiter Offerbook,Lending,Solana,4050310,-3.2699636986056646,1782413447
Kinetiq Launch,Liquid Staking,Hyperliquid L1,3876070,10.131553110280805,1782411305
Extended Spot,Dexs,Starknet,3137155,6.723013203534862,1782411305
UNCX Network V4,Token Locker,Ethereum;Base;Arbitrum;Binance;Unichain;,2644057,,1783047169
Boar Finance,Yield Aggregator,Mezo,1134748,6.0559348074936,1782415829
world,Prediction Market,Solana,910695,,1783019087
WaterX,Derivatives,Sui,651051,2.540495403416429,1782420909
Overpass,Yield,Solana,590650,,1782933571
