code,name,bucket,sector
5713,住友金属鉱山,leader,非鉄金属
5714,ＤＯＷＡホールディングス,leader,非鉄金属
5802,住友電気工業,leader,非鉄金属
5831,しずおかフィナンシャルグループ,leader,銀行業
6098,リクルートホールディングス,leader,人材・HRテック
6103,オークマ,leader,機械
6113,アマダ,leader,機械
6178,日本郵政,leader,サービス業
6273,ＳＭＣ,leader,機械
6301,コマツ,leader,建設機械
6302,住友重機械工業,leader,機械
6305,日立建機,leader,機械
6326,クボタ,leader,機械
6361,荏原製作所,leader,機械
6367,ダイキン工業,leader,空調
6471,日本精工,leader,機械
6472,ＮＴＮ,leader,機械
6473,ジェイテクト,leader,機械
6479,ミネベアミツミ,leader,電気機器
6501,日立製作所,leader,総合電機
6503,三菱電機,leader,電気機器
6504,富士電機,leader,電気機器
6506,安川電機,leader,電気機器
6532,ベイカレント,leader,サービス業
6645,オムロン,leader,電気機器
6701,日本電気,leader,電気機器
6702,富士通,leader,電気機器
6724,セイコーエプソン,leader,電気機器
6752,パナソニックホールディングス,leader,電気機器
6753,シャープ,leader,電気機器
6758,ソニーグループ,leader,電機・エンタメ
6762,ＴＤＫ,leader,電気機器
6770,アルプスアルパイン,leader,電気機器
6841,横河電機,leader,電気機器
6861,キーエンス,leader,FA・センサー
6902,デンソー,leader,自動車部品
6954,ファナック,leader,FA・産業用ロボット
6963,ローム,leader,電気機器
6971,京セラ,leader,電気機器
6976,太陽誘電,leader,電気機器
6981,村田製作所,leader,電子部品(MLCC)
6988,日東電工,leader,化学
7004,カナデビア,leader,機械
7012,川崎重工業,leader,輸送用機器
7186,横浜フィナンシャルグループ,leader,銀行業
7201,日産自動車,leader,輸送用機器
7202,いすゞ自動車,leader,輸送用機器
7203,トヨタ自動車,leader,自動車
7211,三菱自動車工業,leader,輸送用機器
7261,マツダ,leader,輸送用機器
7267,ホンダ,leader,自動車
7269,スズキ,leader,輸送用機器
7270,ＳＵＢＡＲＵ,leader,輸送用機器
7272,ヤマハ発動機,leader,輸送用機器
7453,良品計画,leader,小売業
7532,パン・パシフィック・インターナショナルホールディングス,leader,小売業
7731,ニコン,leader,精密機器
7733,オリンパス,leader,精密機器
7735,ＳＣＲＥＥＮホールディングス,leader,電気機器
7741,HOYA,leader,光学・半導体マスク
7751,キヤノン,leader,精密機器
7752,リコー,leader,電気機器
7832,バンダイナムコホールディングス,leader,その他製品
7911,ＴＯＰＰＡＮホールディングス,leader,その他製品
7912,大日本印刷,leader,その他製品
7951,ヤマハ,leader,その他製品
7974,任天堂,leader,ゲーム
8001,伊藤忠商事,leader,総合商社
8002,丸紅,leader,卸売業
8015,豊田通商,leader,卸売業
8031,三井物産,leader,総合商社
8035,東京エレクトロン,leader,半導体製造装置
8053,住友商事,leader,卸売業
8058,三菱商事,leader,総合商社
8233,高島屋,leader,小売業
8252,丸井グループ,leader,小売業
8253,クレディセゾン,leader,その他金融業
8267,イオン,leader,小売業
8304,あおぞら銀行,leader,銀行業
8306,三菱UFJフィナンシャルG,leader,銀行
8308,りそなホールディングス,leader,銀行業
8309,三井住友トラストグループ,leader,銀行業
8316,三井住友フィナンシャルG,leader,銀行
8331,千葉銀行,leader,銀行業
8354,ふくおかフィナンシャルグループ,leader,銀行業
8411,みずほフィナンシャルG,leader,銀行
8591,オリックス,leader,その他金融業
8601,大和証券グループ本社,leader,証券、商品先物取引業
8604,野村ホールディングス,leader,証券、商品先物取引業
8630,ＳＯＭＰＯホールディングス,leader,保険業
8697,日本取引所グループ,leader,その他金融業
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,leader,保険業
8750,第一ライフグループ,leader,保険業
8766,東京海上ホールディングス,leader,損害保険
8795,Ｔ＆Ｄホールディングス,leader,保険業
8801,三井不動産,leader,不動産業
8802,三菱地所,leader,不動産業
8804,東京建物,leader,不動産業
8830,住友不動産,leader,不動産業
9001,東武鉄道,leader,陸運業
9005,東急,leader,陸運業
9007,小田急電鉄,leader,陸運業
9008,京王電鉄,leader,陸運業
9009,京成電鉄,leader,陸運業
9020,東日本旅客鉄道,leader,陸運業
9021,西日本旅客鉄道,leader,陸運業
9022,東海旅客鉄道,leader,陸運業
9064,ヤマトホールディングス,leader,陸運業
9101,日本郵船,leader,海運
9104,商船三井,leader,海運業
9107,川崎汽船,leader,海運業
9147,ＮＩＰＰＯＮＥＸＰＲＥＳＳホールディングス,leader,陸運業
9201,日本航空,leader,空運業
9202,ＡＮＡホールディングス,leader,空運業
9432,日本電信電話,leader,通信
9433,KDDI,leader,通信
9434,ソフトバンク,leader,通信
9501,東京電力ホールディングス,leader,電気・ガス業
9502,中部電力,leader,電気・ガス業
9503,関西電力,leader,電気・ガス業
9531,東京瓦斯,leader,電気・ガス業
9532,大阪瓦斯,leader,電気・ガス業
9602,東宝,leader,情報・通信業
9735,セコム,leader,サービス業
9766,コナミグループ,leader,情報・通信業
9843,ニトリホールディングス,leader,小売業
9983,ファーストリテイリング,leader,小売(SPA)
9984,ソフトバンクグループ,leader,投資持株・通信
1333,Ｕｍｉｏｓ,core,水産・農林業
1414,ショーボンドホールディングス,core,建設業
1417,ミライト・ワン,core,建設業
1719,安藤・間,core,建設業
1820,西松建設,core,建設業
1860,戸田建設,core,建設業
1878,大東建託,core,不動産業
1893,五洋建設,core,建設業
1911,住友林業,core,建設業
1942,関電工,core,建設業
1944,きんでん,core,建設業
1951,エクシオグループ,core,建設業
1959,クラフティア,core,建設業
1969,高砂熱学工業,core,建設業
2127,日本Ｍ＆Ａセンターホールディングス,core,サービス業
2181,パーソルホールディングス,core,サービス業
2201,森永製菓,core,食料品
2206,江崎グリコ,core,食料品
2212,山崎製パン,core,食料品
2222,寿スピリッツ,core,食料品
2229,カルビー,core,食料品
2264,森永乳業,core,食料品
2267,ヤクルト本社,core,食料品
2327,日鉄ソリューションズ,core,情報・通信業
