timestamp_jst,epoch,ticker,open,high,low,close,volume
2000-02-01 00:00:00,949330800,8601.T,1745.0,2115.0,1661.0,1745.0,111929000
2000-03-01 00:00:00,951836400,8601.T,1805.0,1985.0,1517.0,1930.0,122858000
2000-04-01 00:00:00,954514800,8601.T,1921.0,1950.0,1432.0,1650.0,83441000
2000-05-01 00:00:00,957106800,8601.T,1625.0,1696.0,1166.0,1310.0,89260000
2000-06-01 00:00:00,959785200,8601.T,1329.0,1535.0,1310.0,1400.0,62164000
2000-07-01 00:00:00,962377200,8601.T,1450.0,1505.0,1116.0,1194.0,66493000
2000-08-01 00:00:00,965055600,8601.T,1214.0,1432.0,1150.0,1330.0,64761000
2000-09-01 00:00:00,967734000,8601.T,1370.0,1398.0,1215.0,1267.0,40550000
2000-10-01 00:00:00,970326000,8601.T,1241.0,1344.0,1192.0,1209.0,48324000
2000-11-01 00:00:00,973004400,8601.T,1258.0,1405.0,1133.0,1165.0,59853000
2000-12-01 00:00:00,975596400,8601.T,1125.0,1302.0,1067.0,1193.0,61280000
2001-01-01 00:00:00,978274800,8601.T,1193.0,1301.0,1098.0,1189.0,61523000
2001-02-01 00:00:00,980953200,8601.T,1169.0,1224.0,1028.0,1071.0,61321000
2001-03-01 00:00:00,983372400,8601.T,1051.0,1240.0,860.0,1187.0,107978000
2001-04-01 00:00:00,986050800,8601.T,1167.0,1417.0,1142.0,1400.0,75979000
2001-05-01 00:00:00,988642800,8601.T,1400.0,1480.0,1295.0,1298.0,51670180
2001-06-01 00:00:00,991321200,8601.T,1310.0,1329.0,1191.0,1305.0,60497000
2001-07-01 00:00:00,993913200,8601.T,1325.0,1338.0,1062.0,1085.0,71654000
2001-08-01 00:00:00,996591600,8601.T,1100.0,1182.0,975.0,1006.0,70308000
2001-09-01 00:00:00,999270000,8601.T,1015.0,1025.0,806.0,830.0,62716000
2001-10-01 00:00:00,1001862000,8601.T,836.0,965.0,800.0,800.0,87419000
2001-11-01 00:00:00,1004540400,8601.T,799.0,879.0,709.0,827.0,112376000
2001-12-01 00:00:00,1007132400,8601.T,825.0,825.0,679.0,689.0,89906000
2002-01-01 00:00:00,1009810800,8601.T,689.0,745.0,579.0,597.0,90450000
2002-02-01 00:00:00,1012489200,8601.T,617.0,835.0,512.0,811.0,168257000
2002-03-01 00:00:00,1014908400,8601.T,801.0,947.0,760.0,768.0,141766000
2002-04-01 00:00:00,1017586800,8601.T,770.0,903.0,739.0,881.0,81394000
2002-05-01 00:00:00,1020178800,8601.T,900.0,1009.0,798.0,913.0,181374000
2002-06-01 00:00:00,1022857200,8601.T,913.0,957.0,710.0,777.0,138443000
2002-07-01 00:00:00,1025449200,8601.T,784.0,842.0,618.0,643.0,161785000
2002-08-01 00:00:00,1028127600,8601.T,643.0,654.0,573.0,616.0,114317000
2002-09-01 00:00:00,1030806000,8601.T,608.0,696.0,546.0,672.0,139928000
2002-10-01 00:00:00,1033398000,8601.T,642.0,658.0,524.0,572.0,138522000
