code,custom_group,basis
285A,半導体,半導体メモリ(NAND)
6723,半導体,半導体(車載マイコン)
6526,半導体,半導体設計(SoC)
6963,半導体,パワー/アナログ半導体
6707,半導体,パワー半導体
8035,半導体,半導体製造装置
6857,半導体,半導体検査装置(テスタ)
6146,半導体,半導体製造装置(ダイサ)
6920,半導体,半導体検査装置(EUVマスク)
7735,半導体,半導体洗浄装置
6728,半導体,半導体/FPD製造装置(真空)
7729,半導体,半導体検査装置(プローバ)
3436,半導体,半導体シリコンウェハ
