code,name,bucket,sector,group,surge_ratio,zscore,recent_turnover_yen,baseline_median_yen,share_recent_pct,share_base_pct,share_delta_pp,last_close,pct_window
4540.T,ツムラ,core,医薬品,医薬品,2.179,1.21,131829900,60499100,0.019,0.010,+0.009,3826.0,+0.60
5901.T,東洋製罐グループホールディングス,core,金属製品,金属製品,2.158,1.18,78683600,36464400,0.011,0.006,+0.005,4024.0,-2.66
6753.T,シャープ,leader,電気機器,電気機器,2.130,1.85,211575679,99338635,0.030,0.016,+0.015,626.1,-3.19
6857.T,アドバンテスト,hot,半導体検査装置(テスタ),半導体,2.116,1.24,35066226500,16573761500,5.044,2.757,+2.287,27080.0,-5.30
8593.T,三菱ＨＣキャピタル,core,その他金融業,その他金融業,2.103,1.46,551914450,262482725,0.079,0.043,+0.037,1384.5,+0.11
1942.T,関電工,core,建設業,建設業,2.100,1.47,653702200,311248950,0.094,0.049,+0.045,5820.0,-12.78
9506.T,東北電力,core,電気・ガス業,電気・ガス業,2.093,1.53,261491500,124949275,0.038,0.021,+0.017,1121.0,+2.37
5255.T,(株)モンスターラボ,hot,,不明,2.091,0.02,3175500,1518600,0.000,0.000,+0.000,87.0,+6.10
6194.T,(株)アトラエ,hot,,不明,2.084,-0.18,11190400,5369900,0.002,0.003,-0.001,825.0,+15.06
9003.T,相鉄ホールディングス,core,陸運業,陸運業,2.079,1.87,61477050,29572050,0.009,0.004,+0.004,2583.5,+0.86
7337.T,ひろぎんホールディングス,core,銀行業,銀行業,2.040,1.28,153261500,75122850,0.022,0.012,+0.010,2121.5,-5.16
7309.T,シマノ,core,輸送用機器,輸送用機器,2.040,0.56,612893000,300427750,0.088,0.057,+0.031,18835.0,+9.09
4676.T,フジ・メディア・ホールディングス,core,情報・通信業,情報・通信業,2.040,0.99,226191200,110874850,0.033,0.019,+0.013,4003.0,-2.60
2871.T,ニチレイ,leader,食料品,食料品,2.035,-0.05,381484350,187476325,0.055,0.055,-0.001,2128.5,-3.49
2433.T,博報堂ＤＹホールディングス,core,サービス業,サービス業,2.031,0.86,81147450,39952500,0.012,0.007,+0.005,1266.5,+2.80
5020.T,ＥＮＥＯＳホールディングス,leader,石油・石炭製品,石油・石炭製品,2.028,1.39,633653750,312484450,0.091,0.052,+0.039,1231.0,-1.56
9072.T,ニッコンホールディングス,core,陸運業,陸運業,2.021,1.11,127745600,63196650,0.018,0.010,+0.008,5345.0,-0.37
8595.T,ジャフコ　グループ,core,証券、商品先物取引業,証券、商品先物取引業,1.994,1.38,71131050,35670100,0.010,0.006,+0.005,2291.0,-2.43
3941.T,レンゴー,core,パルプ・紙,パルプ・紙,1.984,1.22,125540150,63281425,0.018,0.010,+0.008,1418.5,+0.25
7189.T,西日本フィナンシャルホールディングス,core,銀行業,銀行業,1.958,0.79,155655000,79499100,0.022,0.014,+0.009,4066.0,-6.10
9505.T,北陸電力,core,電気・ガス業,電気・ガス業,1.953,0.80,75371589,38593490,0.011,0.006,+0.005,904.6,-1.14
3697.T,ＳＨＩＦＴ,leader,情報・通信業,情報・通信業,1.952,0.36,561259213,287532011,0.081,0.057,+0.023,737.4,+3.67
8012.T,長瀬産業,core,卸売業,卸売業,1.944,1.25,74535750,38332700,0.011,0.006,+0.005,1143.0,-2.22
5444.T,大和工業,core,鉄鋼,鉄鋼,1.942,1.00,159249500,82017250,0.023,0.014,+0.009,12670.0,+1.00
4887.T,サワイグループホールディングス,core,医薬品,医薬品,1.938,1.31,69626400,35935975,0.010,0.006,+0.004,1676.0,-3.90
6327.T,北川精機(株),hot,,不明,1.932,0.49,536923500,277857000,0.077,0.051,+0.026,3900.0,-27.10
3405.T,クラレ,leader,化学,化学,1.924,0.70,177879000,92468425,0.026,0.017,+0.009,1772.5,+3.87
5831.T,しずおかフィナンシャルグループ,leader,銀行業,銀行業,1.921,1.83,599666200,312097900,0.086,0.046,+0.040,3121.0,-7.36
7532.T,パン・パシフィック・インターナショナルホールディングス,leader,小売業,小売業,1.909,1.50,770796359,403732901,0.111,0.062,+0.049,887.5,+1.96
6856.T,堀場製作所,core,電気機器,電気機器,1.900,1.27,774741500,407756750,0.111,0.064,+0.047,25445.0,-1.03
1414.T,ショーボンドホールディングス,core,建設業,建設業,1.895,0.82,71276200,37610475,0.010,0.006,+0.004,1265.5,-1.02
9202.T,ＡＮＡホールディングス,leader,空運業,空運業,1.895,1.34,582562600,307474950,0.084,0.046,+0.038,3012.0,-2.90
2181.T,パーソルホールディングス,core,サービス業,サービス業,1.891,0.55,124435020,65812700,0.018,0.012,+0.006,263.7,+1.35
7988.T,ニフコ,core,化学,化学,1.891,1.45,101290300,53573300,0.015,0.008,+0.006,4996.0,-2.31
4516.T,日本新薬,core,医薬品,医薬品,1.883,0.33,57023800,30282200,0.008,0.006,+0.002,3990.0,-3.46
3591.T,ワコールホールディングス,core,繊維製品,繊維製品,1.881,1.13,36158700,19220400,0.005,0.003,+0.002,4517.0,+0.31
4527.T,ロート製薬,core,医薬品,医薬品,1.872,0.65,186121800,99411600,0.027,0.018,+0.009,2460.0,-2.61
5021.T,コスモエネルギーホールディングス,core,石油・石炭製品,石油・石炭製品,1.870,1.43,238965600,127809400,0.034,0.020,+0.015,3761.0,-2.92
2531.T,宝ホールディングス,core,食料品,食料品,1.869,0.74,80413350,43030025,0.012,0.007,+0.004,2148.0,-0.32
1417.T,ミライト・ワン,core,建設業,建設業,1.852,1.17,90435100,48819000,0.013,0.008,+0.005,3595.0,-5.34
9076.T,セイノーホールディングス,core,陸運業,陸運業,1.852,1.56,85175100,45990125,0.012,0.007,+0.005,2686.0,-0.19
9962.T,ミスミグループ本社,core,卸売業,卸売業,1.852,0.79,380722100,205580000,0.055,0.035,+0.020,3574.0,-6.73
5844.T,京都フィナンシャルグループ,core,銀行業,銀行業,1.843,1.17,382762700,207702650,0.055,0.033,+0.022,4337.0,-8.33
4194.T,ビジョナル,core,情報・通信業,情報・通信業,1.828,1.08,151616100,82928900,0.022,0.013,+0.009,8465.0,+0.65
5832.T,ちゅうぎんフィナンシャルグループ,core,銀行業,銀行業,1.824,0.47,79807000,43745500,0.011,0.008,+0.003,3115.0,-4.39
9064.T,ヤマトホールディングス,leader,陸運業,陸運業,1.820,0.71,148498950,81604600,0.021,0.013,+0.008,2002.5,+1.55
4612.T,日本ペイントホールディングス,core,化学,化学,1.809,0.92,277832650,153542775,0.040,0.025,+0.015,1083.0,-2.83
8111.T,ゴールドウイン,core,繊維製品,繊維製品,1.800,0.65,78748650,43745975,0.011,0.007,+0.004,2258.5,-1.65
1820.T,西松建設,core,建設業,建設業,1.798,0.86,65317600,36323200,0.009,0.006,+0.004,5187.0,-3.91
2413.T,エムスリー,leader,サービス業,サービス業,1.794,1.22,645769750,359882075,0.093,0.055,+0.038,1920.0,-1.29
9069.T,センコーグループホールディングス,core,陸運業,陸運業,1.783,0.48,71711650,40226425,0.010,0.007,+0.003,2171.5,+7.39
9404.T,日本テレビホールディングス,core,情報・通信業,情報・通信業,1.782,1.00,95915950,53815075,0.014,0.008,+0.005,2921.0,-1.68
6370.T,栗田工業,core,機械,機械,1.781,0.80,331431800,186045650,0.048,0.030,+0.018,8555.0,-2.46
6592.T,マブチモーター,core,電気機器,電気機器,1.781,1.82,128087900,71937900,0.018,0.010,+0.008,1578.0,-3.99
8015.T,豊田通商,leader,卸売業,卸売業,1.777,1.01,962294900,541509400,0.138,0.091,+0.047,6014.0,-3.44
2914.T,日本たばこ産業,leader,たばこ,食料品,1.767,0.18,2130621200,1205952850,0.306,0.249,+0.058,6295.0,+1.42
7276.T,小糸製作所,core,電気機器,電気機器,1.755,0.84,129658600,73878550,0.019,0.012,+0.007,2448.5,-5.13
9147.T,ＮＩＰＰＯＮＥＸＰＲＥＳＳホールディングス,leader,陸運業,陸運業,1.750,0.76,440843900,251894050,0.063,0.041,+0.022,5335.0,-2.34
6268.T,ナブテスコ,core,機械,機械,1.747,0.77,608703000,348491650,0.088,0.058,+0.030,4728.0,-12.10
8697.T,日本取引所グループ,leader,その他金融業,その他金融業,1.746,1.18,537821450,308005725,0.077,0.049,+0.029,2125.0,-1.73
6465.T,ホシザキ,core,機械,機械,1.728,0.42,235838900,136508350,0.034,0.024,+0.010,5324.0,-5.90
9513.T,電源開発,core,電気・ガス業,電気・ガス業,1.723,0.64,182044700,105648350,0.026,0.018,+0.008,3632.0,-0.79
6861.T,キーエンス,leader,FA・センサー,電気機器,1.723,0.59,3442104000,1997768500,0.495,0.350,+0.145,69980.0,-8.19
2212.T,山崎製パン,core,食料品,食料品,1.718,0.30,163904400,95406400,0.024,0.017,+0.006,3387.0,+1.83
3132.T,マクニカホールディングス,core,卸売業,卸売業,1.686,0.50,180714300,107201700,0.026,0.018,+0.008,3182.0,+2.88
6988.T,日東電工,leader,化学,化学,1.685,0.40,649472400,385409600,0.093,0.067,+0.027,3217.0,+1.74
1808.T,長谷工コーポレーション,leader,建設業,建設業,1.681,0.62,173210300,103058700,0.025,0.017,+0.008,2811.5,-2.07
5471.T,大同特殊鋼,core,鉄鋼,鉄鋼,1.680,0.77,233741200,139172300,0.034,0.023,+0.011,2288.0,-12.00
1893.T,五洋建設,core,建設業,建設業,1.677,0.40,249039600,148462350,0.036,0.026,+0.009,1521.0,-10.03
4091.T,日本酸素ホールディングス,core,化学,化学,1.676,0.49,145526500,86813600,0.021,0.015,+0.006,5965.0,-4.10
8334.T,群馬銀行,core,銀行業,銀行業,1.673,1.10,232245600,138848200,0.033,0.021,+0.013,2410.5,-2.35
2875.T,東洋水産,core,食料品,食料品,1.672,0.85,265965000,159034750,0.038,0.025,+0.014,10755.0,-0.74
2201.T,森永製菓,core,食料品,食料品,1.659,0.36,60482850,36462750,0.009,0.006,+0.002,2697.0,-0.70
6849.T,日本光電工業,core,電気機器,電気機器,1.650,1.17,84857450,51427450,0.012,0.008,+0.004,1555.5,+2.03
7936.T,アシックス,core,その他製品,その他製品,1.641,0.57,1296809200,790096250,0.187,0.127,+0.059,4880.0,+4.61
9006.T,京浜急行電鉄,core,陸運業,陸運業,1.636,0.75,104406350,63835025,0.015,0.010,+0.005,1582.0,+1.31
7733.T,オリンパス,leader,精密機器,精密機器,1.634,0.39,506591500,310023000,0.073,0.055,+0.018,1769.5,-1.97
3549.T,クスリのアオキホールディングス,core,小売業,小売業,1.627,1.13,78325200,48146200,0.011,0.007,+0.004,3877.0,-1.32
6481.T,ＴＨＫ,core,機械,機械,1.625,0.75,712731900,438604750,0.103,0.070,+0.032,6623.0,-6.28
6728.T,アルバック,core,電気機器,半導体,1.622,0.58,448346300,276376750,0.064,0.046,+0.018,9395.0,+0.92
8473.T,ＳＢＩホールディングス,core,証券、商品先物取引業,証券、商品先物取引業,1.621,0.45,1034991600,638363575,0.149,0.110,+0.038,2698.5,-1.73
7752.T,リコー,leader,電気機器,電気機器,1.621,0.60,267404900,164968400,0.038,0.027,+0.012,1492.0,+0.95
8086.T,ニプロ,core,精密機器,精密機器,1.619,0.67,55341100,34182175,0.008,0.006,+0.002,1586.0,+1.21
9001.T,東武鉄道,leader,陸運業,陸運業,1.609,0.32,105018000,65249925,0.015,0.011,+0.004,3030.0,+2.96
6845.T,アズビル,core,電気機器,電気機器,1.609,0.01,174270150,108342300,0.025,0.024,+0.001,1611.5,-4.62
9045.T,京阪ホールディングス,core,陸運業,陸運業,1.604,0.58,62534700,38988900,0.009,0.006,+0.003,3238.0,-0.12
5991.T,日本発條,core,金属製品,金属製品,1.604,0.32,270005700,168384100,0.039,0.029,+0.010,3472.0,-8.56
6473.T,ジェイテクト,leader,機械,機械,1.593,0.74,194758050,122259175,0.028,0.019,+0.009,2016.0,-4.97
6460.T,セガサミーホールディングス,core,機械,機械,1.591,0.07,128336550,80642625,0.018,0.016,+0.002,2515.0,+1.35
1951.T,エクシオグループ,core,建設業,建設業,1.589,0.94,119236500,75047950,0.017,0.011,+0.006,2563.0,-5.25
4182.T,三菱瓦斯化学,core,化学,化学,1.589,0.36,366851200,230928250,0.053,0.040,+0.013,4278.0,-6.90
9509.T,北海道電力,core,電気・ガス業,電気・ガス業,1.586,0.34,163670829,103178070,0.024,0.018,+0.005,987.1,+1.97
3086.T,Ｊ．フロントリテイリング,leader,小売業,小売業,1.583,0.57,298150000,188314650,0.043,0.031,+0.012,3260.0,+3.30
9031.T,西日本鉄道,core,陸運業,陸運業,1.579,0.20,41854700,26508650,0.006,0.005,+0.001,3102.0,+3.43
9041.T,近鉄グループホールディングス,core,陸運業,陸運業,1.573,0.98,121092600,76959100,0.017,0.012,+0.006,3451.0,-1.00
8795.T,Ｔ＆Ｄホールディングス,leader,保険業,保険業,1.572,0.71,526883800,335223400,0.076,0.051,+0.024,4772.0,-3.20
6754.T,アンリツ,core,電気機器,電気機器,1.561,0.44,448086600,287139200,0.064,0.048,+0.016,3620.0,-9.32
8316.T,三井住友フィナンシャルG,leader,銀行,銀行業,1.560,0.43,7035449000,4508717600,1.012,0.768,+0.244,6678.0,-2.92
8802.T,三菱地所,leader,不動産業,不動産業,1.557,1.09,754760200,484690650,0.109,0.073,+0.036,4117.0,-4.05
5301.T,東海カーボン,leader,ガラス・土石製品,ガラス・土石製品,1.556,0.67,241307200,155033300,0.035,0.024,+0.011,1607.0,-5.16
1333.T,Ｕｍｉｏｓ,core,水産・農林業,水産・農林業,1.556,0.32,56518800,36324300,0.008,0.006,+0.002,1329.5,+0.95
9989.T,サンドラッグ,core,小売業,小売業,1.550,0.79,121696600,78521650,0.018,0.012,+0.006,3851.0,-0.88
5947.T,リンナイ,core,金属製品,金属製品,1.545,0.48,79594900,51508000,0.011,0.008,+0.003,3621.0,-0.96
8750.T,第一ライフグループ,leader,保険業,保険業,1.544,0.97,1125023350,728564800,0.162,0.109,+0.052,1780.5,-4.27
9433.T,KDDI,leader,通信,情報・通信業,1.544,0.58,1453783650,941720750,0.209,0.152,+0.057,2849.5,+1.57
4980.T,デクセリアルズ,core,化学,化学,1.542,0.39,465469700,301936450,0.067,0.052,+0.015,3488.0,-11.70
6951.T,日本電子,core,電気機器,電気機器,1.539,0.04,246681200,160326250,0.035,0.032,+0.003,7998.0,+12.28
4704.T,トレンドマイクロ,leader,情報・通信業,情報・通信業,1.535,0.22,321407200,209389350,0.046,0.039,+0.008,6458.0,+2.22
2371.T,カカクコム,core,サービス業,サービス業,1.527,-0.08,122294400,80083450,0.018,0.019,-0.002,3609.0,-0.44
4042.T,東ソー,leader,化学,化学,1.523,0.84,254664900,167175250,0.037,0.026,+0.011,2694.5,-1.08
4587.T,ペプチドリーム,core,医薬品,医薬品,1.523,0.56,58110590,38150675,0.008,0.006,+0.002,970.6,-7.56
8058.T,三菱商事,leader,総合商社,卸売業,1.522,0.57,2440703100,1603622050,0.351,0.260,+0.091,4407.0,-2.93
2897.T,日清食品ホールディングス,core,食料品,食料品,1.517,0.43,262075950,172799725,0.038,0.029,+0.009,2950.5,-0.29
2811.T,カゴメ,core,食料品,食料品,1.516,0.21,46401100,30598275,0.007,0.006,+0.001,2741.0,+0.79
9364.T,上組,core,倉庫・運輸関連業,倉庫・運輸関連業,1.514,0.71,117474500,77581350,0.017,0.012,+0.005,5149.0,-2.48
7181.T,かんぽ生命保険,core,保険業,保険業,1.507,0.34,177518000,117759500,0.026,0.020,+0.005,1599.5,-1.84
3231.T,野村不動産ホールディングス,core,不動産業,不動産業,1.507,0.83,240993340,159950990,0.035,0.024,+0.011,945.4,-1.52
4202.T,ダイセル,core,化学,化学,1.504,0.71,131245250,87262400,0.019,0.013,+0.006,1454.5,+3.30
7313.T,テイ・エス　テック,core,輸送用機器,輸送用機器,1.503,0.16,38726650,25774225,0.006,0.005,+0.001,1745.5,-1.36
6273.T,ＳＭＣ,leader,機械,機械,1.501,0.38,1734203000,1155605000,0.249,0.191,+0.058,68630.0,-3.00
5401.T,日本製鉄,leader,鉄鋼,鉄鋼,1.491,0.38,1234413671,827703269,0.178,0.138,+0.040,583.5,+4.66
1719.T,安藤・間,core,建設業,建設業,1.491,0.48,112356850,75339375,0.016,0.012,+0.004,1790.5,-1.70
8341.T,七十七銀行,core,銀行業,銀行業,1.490,0.77,137391700,92210650,0.020,0.014,+0.006,3295.0,-6.92
1925.T,大和ハウス工業,leader,建設業,建設業,1.486,0.52,541104400,364084700,0.078,0.056,+0.022,4595.0,+0.50
8002.T,丸紅,leader,卸売業,卸売業,1.481,0.67,1316524100,889005100,0.189,0.137,+0.052,4940.0,-1.85
6103.T,オークマ,leader,機械,機械,1.480,0.15,193283500,130556750,0.028,0.023,+0.004,4725.0,-0.21
2264.T,森永乳業,core,食料品,食料品,1.479,0.68,197037400,133213550,0.028,0.020,+0.008,1192.0,-9.04
1802.T,大林組,leader,建設業,建設業,1.476,0.37,500544200,339222300,0.072,0.056,+0.016,3175.0,-4.34
1860.T,戸田建設,core,建設業,建設業,1.475,0.71,115091900,78039275,0.017,0.012,+0.005,1496.0,-5.59
8253.T,クレディセゾン,leader,その他金融業,その他金融業,1.468,0.79,188203200,128220300,0.027,0.020,+0.007,4545.0,-4.03
4922.T,コーセーホールディングス,core,化学,化学,1.468,0.20,98696000,67250500,0.014,0.012,+0.002,5478.0,+0.68
4272.T,日本化薬,core,化学,化学,1.465,1.46,104687650,71450675,0.015,0.010,+0.005,1941.5,-4.29
4045.T,東亞合成,core,化学,化学,1.465,0.66,28896100,19728450,0.004,0.003,+0.001,1709.5,-2.70
6146.T,ディスコ,hot,半導体製造装置(ダイサ),半導体,1.464,0.48,9328407000,6371543500,1.342,1.026,+0.315,64100.0,-8.72
8035.T,東京エレクトロン,leader,半導体製造装置,半導体,1.461,0.20,25670899000,17570294500,3.692,3.151,+0.542,64760.0,-4.78
8304.T,あおぞら銀行,leader,銀行業,銀行業,1.461,0.84,355574650,243394975,0.051,0.036,+0.015,2872.5,-1.51
2127.T,日本Ｍ＆Ａセンターホールディングス,core,サービス業,サービス業,1.453,0.46,59257750,40772070,0.009,0.006,+0.002,669.0,-3.24
2593.T,伊藤園,core,食料品,食料品,1.448,0.09,69954600,48297675,0.010,0.009,+0.001,3094.0,+1.71
4626.T,太陽ホールディングス,core,化学,化学,1.446,0.45,159141900,110035250,0.023,0.017,+0.006,4787.0,-3.29
6645.T,オムロン,leader,電気機器,電気機器,1.445,0.15,552486400,382323450,0.079,0.066,+0.013,5273.0,-7.25
9508.T,九州電力,core,電気・ガス業,電気・ガス業,1.444,0.51,204215400,141438100,0.029,0.022,+0.007,1751.0,+1.51
6302.T,住友重機械工業,leader,機械,機械,1.444,0.89,283205800,196182000,0.041,0.029,+0.011,4935.0,-5.80
2810.T,ハウス食品グループ本社,core,食料品,食料品,1.430,0.49,66400100,46438600,0.010,0.007,+0.002,3900.0,-0.71
2269.T,明治ホールディングス,leader,食料品,食料品,1.423,0.17,220360500,154889550,0.032,0.027,+0.005,3787.0,-2.70
3401.T,帝人,leader,繊維製品,繊維製品,1.422,0.26,83932850,59039975,0.012,0.010,+0.002,1678.0,-3.17
4205.T,日本ゼオン,core,化学,化学,1.420,0.22,126330600,88962275,0.018,0.015,+0.003,2199.0,-4.78
7731.T,ニコン,leader,精密機器,精密機器,1.420,0.62,319349150,224947150,0.046,0.034,+0.012,2198.5,+2.33
4689.T,ＬＩＮＥヤフー,leader,情報・通信業,情報・通信業,1.417,0.15,318775320,224912670,0.046,0.040,+0.006,445.8,-0.29
7735.T,ＳＣＲＥＥＮホールディングス,leader,電気機器,半導体,1.417,0.20,5367816500,3789183250,0.772,0.656,+0.116,16355.0,-0.70
4927.T,ポーラ・オルビスホールディングス,core,化学,化学,1.416,0.03,45142750,31871750,0.006,0.006,+0.000,1333.0,-0.45
8354.T,ふくおかフィナンシャルグループ,leader,銀行業,銀行業,1.416,0.10,288563800,203733800,0.042,0.037,+0.004,7037.0,-5.63
4502.T,武田薬品工業,leader,医薬品,医薬品,1.416,0.34,1253364700,885271000,0.180,0.142,+0.038,5442.0,-0.75
7164.T,全国保証,core,その他金融業,その他金融業,1.411,0.38,113089800,80149800,0.016,0.013,+0.003,3055.0,-2.55
3288.T,オープンハウスグループ,core,不動産業,不動産業,1.410,0.27,133397900,94639450,0.019,0.016,+0.003,8488.0,-4.93
3107.T,ダイワボウホールディングス,core,卸売業,卸売業,1.409,0.39,80300700,56976550,0.012,0.009,+0.002,3377.0,-2.03
8088.T,岩谷産業,core,卸売業,卸売業,1.407,0.31,111046300,78952100,0.016,0.013,+0.003,1913.5,-3.77
8053.T,住友商事,leader,卸売業,卸売業,1.406,0.53,1110505400,789955975,0.160,0.125,+0.035,1502.0,-6.10
6472.T,ＮＴＮ,leader,機械,機械,1.403,0.33,100043010,71294730,0.014,0.012,+0.003,365.1,-8.93
9201.T,日本航空,leader,空運業,空運業,1.402,0.87,583973500,416468975,0.084,0.061,+0.023,2882.0,-5.76
3099.T,三越伊勢丹ホールディングス,leader,小売業,小売業,1.400,0.38,559353000,399613000,0.080,0.064,+0.017,3875.0,+2.81
6005.T,三浦工業,core,機械,機械,1.399,0.12,79147100,56585900,0.011,0.010,+0.002,3127.0,-2.22
7912.T,大日本印刷,leader,その他製品,その他製品,1.398,0.76,387987900,277440850,0.056,0.041,+0.015,3124.0,+1.13
9044.T,ＮＡＮＫＡＩ,core,陸運業,陸運業,1.390,0.50,43070450,30981025,0.006,0.005,+0.001,2927.0,-1.51
9301.T,三菱倉庫,core,倉庫・運輸関連業,倉庫・運輸関連業,1.388,0.49,103541900,74612150,0.015,0.011,+0.003,1556.0,-2.81
9048.T,名古屋鉄道,core,陸運業,陸運業,1.387,0.37,98246800,70837075,0.014,0.011,+0.003,1910.5,+1.87
4543.T,テルモ,leader,精密機器,精密機器,1.384,0.40,534505850,386310800,0.077,0.060,+0.017,2258.0,-2.84
8801.T,三井不動産,leader,不動産業,不動産業,1.381,0.70,683715650,495031225,0.098,0.073,+0.025,1538.0,-1.76
4967.T,小林製薬,core,化学,化学,1.380,0.27,61382400,44468000,0.009,0.007,+0.002,5520.0,-3.21
7832.T,バンダイナムコホールディングス,leader,その他製品,その他製品,1.378,0.37,560825500,406916800,0.081,0.065,+0.016,4206.0,+2.21
1959.T,クラフティア,core,建設業,建設業,1.378,0.12,135459400,98321350,0.019,0.017,+0.003,8487.0,-7.83
5393.T,ニチアス,core,ガラス・土石製品,ガラス・土石製品,1.376,0.38,155526700,113025900,0.022,0.018,+0.004,3243.0,-10.76
7803.T,(株)ブシロード,hot,,不明,1.372,-0.02,69250800,50466400,0.010,0.010,+0.000,410.0,+27.73
9531.T,東京瓦斯,leader,電気・ガス業,電気・ガス業,1.365,0.47,393029700,287933850,0.057,0.045,+0.011,6041.0,-1.18
7201.T,日産自動車,leader,輸送用機器,輸送用機器,1.365,0.43,866273778,634728336,0.125,0.097,+0.028,324.6,+2.75
9435.T,光通信,core,情報・通信業,情報・通信業,1.363,-0.02,210195000,154249500,0.030,0.030,+0.000,36840.0,-1.55
8830.T,住友不動産,leader,不動産業,不動産業,1.360,0.22,494584800,363761100,0.071,0.060,+0.011,3747.0,-3.45
8031.T,三井物産,leader,総合商社,卸売業,1.357,0.33,2069897200,1524930850,0.298,0.242,+0.055,4623.0,-2.92
2331.T,ＡＬＳＯＫ,core,サービス業,サービス業,1.356,0.29,88853750,65514300,0.013,0.010,+0.002,1126.0,+0.36
6387.T,サムコ(株),hot,,不明,1.353,-0.06,99835000,73765000,0.014,0.015,-0.000,9910.0,-14.57
6770.T,アルプスアルパイン,leader,電気機器,電気機器,1.351,0.37,229693500,170036625,0.033,0.027,+0.006,2027.5,-0.64
6758.T,ソニーグループ,leader,電機・エンタメ,電気機器,1.348,0.12,3018830600,2239599050,0.434,0.383,+0.051,3456.0,-0.83
6954.T,ファナック,leader,FA・産業用ロボット,電気機器,1.346,0.15,2755541900,2046595500,0.396,0.348,+0.048,6576.0,-4.00
4208.T,ＵＢＥ,leader,化学,化学,1.344,0.26,229601000,170803100,0.033,0.027,+0.006,3186.0,-0.22
9007.T,小田急電鉄,leader,陸運業,陸運業,1.341,0.08,156980150,117024025,0.023,0.020,+0.002,1746.0,+2.17
8359.T,八十二長野銀行,core,銀行業,銀行業,1.339,0.08,225949100,168730700,0.032,0.030,+0.003,2439.0,-5.12
9042.T,阪急阪神ホールディングス,core,陸運業,陸運業,1.338,0.48,380268000,284158250,0.055,0.043,+0.012,4621.0,-1.85
543A.T,ＡＲＣＨＩＯＮ,leader,輸送用機器,輸送用機器,1.335,0.25,103247600,77312650,0.015,0.012,+0.003,291.0,-4.90
8424.T,芙蓉総合リース,core,その他金融業,その他金融業,1.334,0.26,45329900,33984900,0.007,0.005,+0.001,4322.0,+1.00
6532.T,ベイカレント,leader,サービス業,サービス業,1.334,0.10,924156200,692955450,0.133,0.118,+0.015,6586.0,-4.08
8306.T,三菱UFJフィナンシャルG,leader,銀行,銀行業,1.333,0.03,10407954000,7805538600,1.497,1.402,+0.095,3449.0,+0.47
5232.T,住友大阪セメント,core,ガラス・土石製品,ガラス・土石製品,1.328,0.15,98255400,73970300,0.014,0.012,+0.002,5269.0,-6.74
8308.T,りそなホールディングス,leader,銀行業,銀行業,1.323,0.38,1463958850,1106797650,0.211,0.168,+0.042,2222.0,-4.74
6368.T,オルガノ,core,機械,機械,1.322,0.08,245597000,185708250,0.035,0.032,+0.003,14200.0,-6.61
6326.T,クボタ,leader,機械,機械,1.320,0.51,426600450,323145275,0.061,0.048,+0.013,2660.0,-2.97
4005.T,住友化学,leader,化学,化学,1.319,0.34,476737739,361326931,0.069,0.056,+0.013,517.5,-4.13
5411.T,ＪＦＥホールディングス,leader,鉄鋼,鉄鋼,1.315,0.20,520069300,395498250,0.075,0.064,+0.011,1692.0,+2.55
6806.T,ヒロセ電機,core,電気機器,電気機器,1.313,0.09,235433500,179359750,0.034,0.030,+0.003,26250.0,-3.72
2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,core,食料品,食料品,1.312,0.20,200478000,152804650,0.029,0.025,+0.004,4263.0,-5.39
7741.T,HOYA,leader,光学・半導体マスク,精密機器,1.309,-0.08,1427762000,1091111500,0.205,0.208,-0.003,24895.0,-0.08
8227.T,しまむら,core,小売業,小売業,1.308,0.26,151918400,116165300,0.022,0.018,+0.004,3370.0,-2.85
9432.T,日本電信電話,leader,通信,情報・通信業,1.306,0.09,2337607224,1789485364,0.336,0.307,+0.029,151.3,+1.27
6965.T,浜松ホトニクス,core,電気機器,電気機器,1.300,0.18,608623950,468048500,0.088,0.077,+0.011,2274.0,-6.25
4901.T,富士フイルムホールディングス,leader,化学,化学,1.300,0.22,681688700,524259650,0.098,0.085,+0.013,3600.0,-0.33
1878.T,大東建託,core,不動産業,不動産業,1.298,0.20,302219900,232895300,0.043,0.037,+0.006,3238.0,+1.44
9101.T,日本郵船,leader,海運,海運業,1.296,0.00,895236700,690532050,0.129,0.123,+0.006,5655.0,+6.10
8766.T,東京海上ホールディングス,leader,損害保険,保険業,1.295,0.13,2344222000,1810660050,0.337,0.301,+0.036,7479.0,-3.35
6707.T,サンケン電気,core,電気機器,半導体,1.295,0.18,81218400,62732850,0.012,0.010,+0.002,8988.0,-12.86
4751.T,サイバーエージェント,leader,サービス業,サービス業,1.295,0.34,348580800,269255900,0.050,0.041,+0.009,1473.5,-5.94
7747.T,朝日インテック,core,精密機器,精密機器,1.295,0.42,205449100,158704550,0.030,0.024,+0.005,3561.0,-4.27
9142.T,九州旅客鉄道,core,陸運業,陸運業,1.294,0.09,141007000,108956850,0.020,0.018,+0.002,3633.0,-0.08
4401.T,ＡＤＥＫＡ,core,化学,化学,1.294,0.25,104388500,80701400,0.015,0.013,+0.002,3980.0,-3.86
2282.T,日本ハム,leader,食料品,食料品,1.292,0.29,197296200,152732750,0.028,0.024,+0.005,6248.0,-1.17
