code,name,bucket,sector,group,surge_ratio,zscore,recent_turnover_yen,baseline_median_yen,share_recent_pct,share_base_pct,share_delta_pp,last_close,pct_window
6501.T,日立製作所,leader,総合電機,電気機器,0.988,-0.20,2620056300,2651685300,0.377,0.426,-0.049,4694.0,-3.14
9697.T,カプコン,core,情報・通信業,情報・通信業,0.979,-0.31,292048100,298359250,0.042,0.050,-0.008,3410.0,+0.68
4151.T,協和キリン,leader,医薬品,医薬品,0.978,-0.30,119564350,122269700,0.017,0.020,-0.003,2631.0,-1.90
7951.T,ヤマハ,leader,その他製品,その他製品,0.978,-0.22,110178800,112691200,0.016,0.017,-0.001,1223.0,+3.60
1963.T,日揮ホールディングス,leader,建設業,建設業,0.974,-0.35,227234600,233352425,0.033,0.037,-0.004,2186.0,-11.21
8630.T,ＳＯＭＰＯホールディングス,leader,保険業,保険業,0.973,-0.27,873171900,897619800,0.126,0.138,-0.012,6642.0,-1.23
3382.T,セブン＆アイ・ホールディングス,leader,小売業,小売業,0.972,-0.37,941782150,968818650,0.135,0.165,-0.030,2067.5,+0.83
3436.T,SUMCO,hot,半導体シリコンウェハ,半導体,0.972,-0.31,7791169500,8019032300,1.121,1.343,-0.222,3915.0,-12.98
4062.T,イビデン,leader,電気機器,電気機器,0.965,-0.36,10547226500,10925183250,1.517,1.791,-0.274,15355.0,-20.11
6674.T,ジーエス・ユアサ　コーポレーション,core,電気機器,電気機器,0.965,-0.23,305634200,316739550,0.044,0.047,-0.003,5480.0,-12.74
5110.T,住友ゴム工業,core,ゴム製品,ゴム製品,0.965,-0.22,176674750,183114325,0.025,0.026,-0.001,2197.0,-3.47
6701.T,日本電気,leader,電気機器,電気機器,0.963,-0.26,1618942600,1680493250,0.233,0.282,-0.049,4382.0,-0.93
3659.T,ネクソン,leader,情報・通信業,情報・通信業,0.963,-0.26,223802600,232518800,0.032,0.036,-0.004,2292.5,-2.18
5013.T,(株)ユシロ,hot,,不明,0.961,-0.33,11460300,11922700,0.002,0.004,-0.002,2871.0,-2.01
4186.T,東京応化工業,core,化学,化学,0.960,-0.34,593131000,618138900,0.085,0.097,-0.012,9800.0,-0.52
6981.T,村田製作所,leader,電子部品(MLCC),電気機器,0.955,-0.37,19865133600,20809424100,2.857,3.399,-0.542,7515.0,-17.34
285A.T,キオクシアホールディングス,hot,半導体メモリ(NAND),半導体,0.953,-0.36,235148174000,246645235000,33.822,37.234,-3.412,52110.0,-27.68
9759.T,ＮＳＤ,core,情報・通信業,情報・通信業,0.950,-0.29,30100200,31687150,0.004,0.005,-0.000,2710.0,+0.04
9024.T,西武ホールディングス,core,陸運業,陸運業,0.947,-0.41,257024500,271386250,0.037,0.048,-0.011,3640.0,+1.70
2670.T,エービーシー・マート,core,小売業,小売業,0.946,-0.43,152255650,161015025,0.022,0.037,-0.015,2670.5,-8.72
7984.T,コクヨ,core,その他製品,その他製品,0.941,-0.36,38524100,40938810,0.006,0.006,-0.001,853.5,+0.39
5803.T,フジクラ,hot,電線・光ファイバ(DC),非鉄金属,0.940,-0.42,12923933500,13748378800,1.859,2.288,-0.429,4431.0,-10.19
6479.T,ミネベアミツミ,leader,電気機器,電気機器,0.938,-0.37,739729100,788474150,0.106,0.131,-0.024,3785.0,-12.18
2607.T,不二製油,core,食料品,食料品,0.938,-0.30,50813500,54176800,0.007,0.009,-0.002,3938.0,-4.02
4716.T,日本オラクル,core,情報・通信業,情報・通信業,0.935,-0.28,117702600,125907500,0.017,0.020,-0.003,8532.0,-3.50
5406.T,神戸製鋼所,leader,鉄鋼,鉄鋼,0.935,-0.20,209347800,223984375,0.030,0.032,-0.002,1919.5,+1.29
5938.T,ＬＩＸＩＬ,core,金属製品,金属製品,0.930,-0.31,168486800,181151825,0.024,0.031,-0.007,1865.5,-0.16
2502.T,アサヒグループホールディングス,leader,食料品,食料品,0.930,-0.31,580005050,623935425,0.083,0.115,-0.032,1595.0,-1.15
4523.T,エーザイ,leader,医薬品,医薬品,0.928,-0.29,329690500,355307000,0.047,0.054,-0.007,4399.0,+1.38
5105.T,ＴＯＹＯ　ＴＩＲＥ,core,ゴム製品,ゴム製品,0.927,-0.29,147434500,158998400,0.021,0.024,-0.003,3962.0,+1.75
4564.T,オンコセラピー・サイエンス(株),hot,,不明,0.927,-0.41,445700,480750,0.000,0.020,-0.020,20.0,+0.00
7202.T,いすゞ自動車,leader,輸送用機器,輸送用機器,0.925,-0.33,198283150,214448925,0.029,0.034,-0.006,2302.0,-2.85
5019.T,出光興産,leader,石油・石炭製品,石油・石炭製品,0.917,-0.48,173354800,189012800,0.025,0.030,-0.005,1236.5,-0.64
6586.T,マキタ,core,機械,機械,0.909,-0.30,186054300,204630400,0.027,0.041,-0.014,5517.0,-5.40
5802.T,住友電気工業,leader,非鉄金属,非鉄金属,0.906,-0.41,2640559850,2913393025,0.380,0.480,-0.100,2206.5,-5.89
6417.T,ＳＡＮＫＹＯ,core,機械,機械,0.898,-0.45,61135250,68047900,0.009,0.011,-0.002,1690.0,+0.12
7956.T,ピジョン,core,その他製品,その他製品,0.873,-0.60,71866900,82337800,0.010,0.013,-0.003,2016.5,-2.84
